3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_3gram
не только в	2	5
инверсии и фольклорного	1	1
мы не касаемся	1	1
как мы уже	8	4
важное значение имеет	1	1
в той или	1	1
имеет существенное значение	1	1
все эти особенности	1	1
и того же	5	1
о которых мы	1	1
последующей истории романа	3	1
вещи и явления	1	1
он ни был	1	1
о том что	1	1
на протяжении всего	1	2
а также и	2	1
друг с другом	1	4
вместе с тем	2	1
для того чтобы	5	7
за пределами романа	1	1
в этом случае	1	2
с ним но	1	1
на первый план	1	2
функции плута шута	1	1
почти вовсе не	1	1
в виду что	1	1
в том числе	4	3
как и в	2	1
в последующие эпохи	2	1
случайных одновременностей и	2	1
таким образом и	1	1
в основе этих	1	1
в истории романа	1	2
а вовсе не	1	1
доклассового фольклора и	1	1
же в этом	1	1
всего бытия и	1	1
может быть и	2	2
одновременностей и разновременностей	1	1
же что и	2	1
той или иной	2	1
было бы не	1	1
прежде всего в	1	2
и в то	5	3
и речи об	1	1
с идеей тождества	1	1
наряду с этим	2	1
мы имеем в	1	2
как мы увидим	1	1
самому своему существу	1	1
в новое и	1	1
для романного жанра	1	1
всего необходимо отметить	2	1
в частности с	1	1
и в этом	1	3
одного и того	5	1
ни с чем	1	1
своей жизни в	1	1
жизни но и	1	1
освоения времени в	1	1
но и в	2	3
уже за пределами	1	1
и в сущности	2	1
отношения к себе	1	1
во все стороны	1	2
vii раблезианский хронотоп	1	1
проблема исторической инверсии	1	1
по сравнению с	2	1
хронотоп в нашем	1	1
в этом ряду	1	2
в пределах каждой	1	1
плута шута дурака	1	1
но он не	1	1
в пространстве и	1	4
а следовательно и	1	2
от греческого и	1	1
далью и близостью	1	1
из того же	1	1
в том что	2	3
в то время	3	1
греческом романе в	1	1
то же время	9	4
особенно важное значение	1	1
бы он ни	1	1
и т п	8	11
в широком смысле	2	1
здесь дается как	1	1
и с которой	1	1
человека в литературе	1	1
во всех ее	1	1
роль в истории	1	1
чем в греческом	1	1
единство человеческого образа	1	1
греческом романе и	2	2
v рыцарский роман	1	1
так сказать в	1	1
и в греческом	2	1
и прежде всего	2	3
в этом времени	4	1
и как бы	1	1
в связи с	5	7
в этом мире	2	6
и то же	3	1
автобиографии и биографии	1	1
в свою очередь	1	1
в том же	1	4
то есть в	1	1
равно как и	2	2
не касаемся здесь	1	1
пространства и времени	3	2
и во времени	1	2
времени и пространстве	1	1
еще вернемся в	1	2
его от греческого	1	1
в отличие от	2	1
связи с этим	2	2
времени в романе	1	1
с этим в	1	1
в авантюрном времени	5	2
и фольклорного хронотопа	1	1
и франсион у	1	1
вещей и явлений	1	6
большую роль в	1	1
греческого романа и	2	1
исторической инверсии и	1	1
мы уже сказали	2	3
оказали громадное влияние	1	1
его в связи	1	1
быть и речи	1	1
сюда же примыкают	1	1
в данном случае	1	1
те же что	1	1
в себя и	1	1
средние века и	1	2
случайную одновременность и	1	1
но все же	2	1
же в значительной	1	1
и подслушивания частной	2	1
форм большого эпоса	1	1
дурака в романе	1	1
и в особенности	2	3
существенную роль в	2	1
в значительной мере	1	1
и все его	1	1
в пределах отдельных	2	2
образ человека в	3	1
пределах отдельных авантюр	2	2
во всех этих	1	3
протяжении всего романа	1	2
и во всех	1	2
с одной стороны	2	1
с чем не	1	1
том числе и	2	2
и своей жизни	1	1
мы еще вернемся	1	3
в то же	6	4
в этом отношении	3	2
по существу не	1	1
же примыкают и	1	1
прежде всего необходимо	3	1
со всех сторон	1	1
т п наконец	1	1
и на развитие	1	1
человека и его	7	1
в другом месте	1	2
с самого начала	2	1
имеем в виду	1	3
он не знает	1	1
человека в пространстве	1	2
но в отношении	1	1
плутовского романа в	1	1
нормального хода жизни	1	1
с тем что	1	1
до сих пор	3	2
также и в	2	1
по самому своему	1	1
vi функции плута	1	1
и не только	2	1
так как он	1	1
более и более	1	1
с точки зрения	2	8
для превращения в	2	1
к себе самому	4	3
в европейском романе	1	1
подсматривания и подслушивания	2	1
в этих условиях	1	1
мы уже говорили	3	3
шута дурака в	1	1
в точках разрыва	1	1
в последнем счете	1	2
не похож на	1	2
по всем правилам	1	1
позже то есть	1	1
в точном смысле	2	1
вовсе не является	1	1
все более и	1	1
друг на друга	2	2
но в то	1	1
ни в чем	2	1
вернемся в последующем	1	1
романе и в	1	1
пространственных и временных	2	1
то время как	2	1
литературы в том	1	1
с самим собою	3	1
iv проблема исторической	1	1
человеческой жизни и	1	2
одно и то	3	1
в особенности в	1	1
мир в авантюрном	2	1
время распадается на	1	1
в авантюрно-бытовом романе	1	2
не может быть	3	1
но в этом	1	1
времени то есть	1	1
в последующей истории	4	2
героев греческого романа	1	1
сами по себе	1	2
человек в нем	1	1
они не могут	1	1
к тому времени	1	1
не для того	2	2
себе самому и	1	1
в греческом романе	22	3
и его жизни	4	2
в средние века	1	3
в чем не	2	1
человеческой жизни в	2	1
подслушивания частной жизни	2	1
то есть не	2	1
важный момент при	1	1
мы будем говорить	1	1
не входят в	1	1
того что было	1	1
