2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram
начинает применять	2	1
все же	5	6
его в	6	3
приводят нас	1	3
находящийся на	1	1
распадаются на	1	1
является по	2	1
ко всей	2	1
новое понятие	1	2
его развитии	2	2
различных предметов	1	1
подобно тому	2	1
слово к	1	1
что развитие	6	3
подростка и	1	5
связанных между	1	1
корни в	2	1
в комплексах	3	1
до последнего	1	1
в развитии	25	24
мышлением и	4	1
иначе как	2	1
выражается в	2	1
нашего исследования	4	1
ключом к	4	1
не является	5	8
друга как	1	1
и у	2	6
одному признаку	1	2
картина умственный	1	1
в известном	2	4
псевдопонятия составляют	1	1
то что	15	15
ассоциативным путем	2	1
основной вывод	1	5
с понятием	1	3
это обобщение	1	3
наряду с	3	3
же слова	2	2
предметов что	2	1
как причины	1	1
ребенка все	1	1
для развития	2	3
все его	1	1
более подробно	1	1
тому же	6	1
или на	1	1
на отдельные	1	1
мышления и	14	23
связи с	3	9
и которые	2	3
и той	4	2
между собой	5	13
то время	1	4
психологической природы	1	2
закон построения	1	2
уже и	2	1
которые являются	1	2
относительно рано	1	1
на первый	4	2
с понятиями	2	4
речевого общения	1	4
является функциональное	1	1
этом случае	3	1
мышления эту	1	1
все более	2	2
очень часто	2	2
отношении является	1	2
имеет свое	1	2
от понятий	1	1
они выполняют	1	1
и речи	2	20
операции с	1	1
из которых	1	5
не есть	2	3
человека мы	2	2
понятно что	2	1
могут быть	7	5
со значением	1	1
связано с	1	1
и одновременно	1	2
в его	11	15
правда с	1	1
показывают как	2	1
все равно	1	1
той и	1	1
комплексным мышлением	5	2
и другим	1	1
и может	1	2
в процессах	3	1
и подростка	1	1
самую мысль	1	1
которых каждая	1	1
является основной	1	1
во всей	4	1
развития детского	11	2
по мере	4	1
к которым	2	4
суждение и	1	1
этот раз	1	1
слова или	1	4
между ребенком	2	2
понятий оказываются	1	1
между двумя	2	2
готовом виде	5	2
ни было	1	2
задачи и	1	5
образом что	4	2
бы в	3	2
в мышлении	21	11
функциональное значение	2	5
сравнению с	3	3
мышлении взрослого	4	1
слова которые	1	1
это делает	1	1
уже сказано	4	5
понятий уже	1	1
понятий является	3	3
как говорит	2	5
элементов между	1	1
живом виде	1	1
мышлении в	2	2
условиях экспериментального	1	1
другой стороны	9	3
отношению к	1	2
быть так	1	1
в псевдопонятии	1	2
понятий возникает	2	1
что уже	2	1
к выводу	2	2
его развития	1	3
то и	1	4
в роли	1	2
к этому	4	3
развитии понятий	2	3
но для	2	1
характера мы	1	1
и не	8	10
понятий но	3	4
со всеми	3	6
выше мы	1	1
таким образом	25	17
по своему	4	11
связанные с	1	2
тем что	7	8
тогда когда	8	4
сравнению со	1	1
интеллектуальных операций	3	4
этой третьей	2	1
и мышления	3	2
второй фазой	1	1
смысле этого	7	4
области развития	1	1
все эти	5	7
характеризуется как	1	1
этот процесс	6	3
в данном	2	1
мышления а	3	2
этого взгляда	1	1
детских понятий	17	1
целого ряда	2	1
с самого	1	6
вторую ступень	1	1
основе этого	2	2
и того	5	4
на его	3	2
как известно	3	3
многие психологи	1	2
на процесс	1	2
маленькое повествование	1	1
образование понятий	5	6
перед нами	5	10
как если	1	1
говорили выше	3	2
постоянного и	1	1
отличается от	2	3
с двух	2	1
к интересующей	1	1
целым рядом	1	2
по типу	2	5
самое слово	3	1
форму мышления	1	1
является проблема	1	2
слов и	1	5
следующем виде	2	1
своей природе	1	1
в поведении	1	5
с первого	3	1
в своем	4	4
основе связей	1	1
одного из	1	2
исследований процесса	1	1
не по	2	1
за простой	1	1
не являются	3	1
включается в	2	1
и оказывается	1	1
мы никогда	1	2
детского мышления	24	8
как и	9	15
собой в	1	1
слова ребенка	2	1
на котором	2	2
значения слов	3	5
поэтому в	1	2
на более	2	1
и в	20	25
указывающие на	1	1
обоих этих	1	1
нового шага	1	1
те интеллектуальные	1	1
при определении	2	1
этой фазе	1	1
снизу вверх	2	1
последнего времени	2	1
но не	3	6
развитии детской	1	1
одновременно с	3	1
речи то	1	1
для нас	4	2
первых слов	1	2
играет решающую	1	1
по существу	3	1
что следовательно	2	1
основе комплексного	1	1
образованию понятий	1	6
что слова	5	2
который не	2	1
с этим	5	4
но это	1	5
процесс развития	13	2
принять за	1	1
когда он	3	3
вообще в	1	1
же в	1	2
подростка становится	1	1
эти авторы	1	1
ребенка но	1	3
интеллектуальные операции	2	1
приписывать ребенку	1	1
по сходству	1	1
которые устанавливаются	3	1
восприятии ребенка	1	3
поэтому мы	1	1
здесь в	1	1
понятий от	1	1
комплекса а	1	2
понятия в	8	7
должно быть	3	2
и совершенно	1	1
он оказался	1	1
того как	2	3
это значит	2	4
совпадать со	1	1
мышления подростка	1	2
общения со	1	1
заключающееся в	1	1
понятиях и	1	1
нам остается	1	1
для мышления	1	2
каким на	1	1
ребенку в	1	1
прежде всего	2	4
указывает на	2	2
что высшие	3	1
не предполагает	1	1
формы детского	1	1
виду может	1	1
тем и	1	4
ступень в	3	7
ребенка есть	1	1
возникает на	2	2
появляется впервые	1	1
решающую роль	2	4
в зависимости	1	5
подростка не	2	2
слов которые	1	1
мысль что	1	1
и ребенком	1	2
перед испытуемым	1	6
в образовании	7	7
об образовании	1	1
является результатом	1	1
простой знак	1	1
в результате	8	3
до наступления	1	1
когда ребенок	2	2
абстрактное понятие	2	1
процессов образования	1	1
не что	1	1
если это	1	1
с этой	4	3
как параллельно	1	1
чем понятие	1	1
поэтому с	3	1
значения и	1	5
в переходном	3	9
в совершенно	3	2
развиваются не	1	1
будем иметь	1	1
решения какой-нибудь	1	1
а только	3	1
понятий вот	1	1
которые могут	2	1
что вместо	1	1
совпадает с	1	6
значение для	1	1
мы называем	2	2
что ребенок	12	7
изменений и	1	1
едва ли	2	2
хотя и	1	2
глухонемых детей	2	1
например в	1	1
то же	16	2
если только	1	1
этот факт	1	1
словесного определения	1	1
образов которые	1	1
другими словами	2	1
значительно раньше	1	1
мы могли	9	9
своего развития	10	3
что нам	1	1
и комплексы	1	2
на новые	1	1
истинных понятий	3	1
от конкретной	1	1
в действии	5	3
стоят в	1	1
помощью которых	1	7
поведения как	1	1
мы видим	10	3
конкретной группы	1	1
является действительно	1	2
совершается на	1	1
но мы	1	1
развития мышления	1	5
различные формы	1	1
для построения	2	1
почти не	1	1
два процесса	1	1
в переходе	1	1
не идет	1	1
в течение	1	2
ассоциации по	1	2
экспериментального анализа	7	3
знака в	1	3
основное положение	1	1
иметь возможность	1	1
своих понятий	1	1
общение со	1	1
совершается никакого	1	1
в единую	1	1
примитивного человека	3	1
объяснить нам	1	1
один из	3	6
в действительности	5	1
три типа	1	1
экспериментального исследования	3	2
ясно что	2	2
между его	1	1
истории развития	11	1
с точки	11	1
степени и	1	1
ходе развития	5	1
с общими	1	1
мышления вообще	1	1
к этим	2	1
различие между	3	1
впечатлений и	1	2
развития чем	1	1
понятий на	4	2
мышления это	1	2
понятия и	9	3
взрослый человек	1	2
форм мышления	2	2
на каждой	2	2
форм мысли	1	1
высшей формы	2	1
но в	3	1
благодаря этому	1	6
это мы	2	2
не имеет	2	1
на результаты	1	1
благодаря такому	1	2
сих пор	1	1
у детей	1	2
для называния	1	1
между словом	2	1
тем не	1	5
исследователи как	1	1
животных и	2	2
что там	1	2
о которых	1	1
необходимой предпосылкой	1	1
ребенком от	2	1
образовании понятия	2	2
образования понятий	19	45
мышление не	3	1
для него	2	5
которое является	2	1
он имеет	2	2
совпадают со	1	1
ряд конкретных	1	1
связи вещей	1	1
свою очередь	2	2
нового слова	1	1
полным основанием	2	1
по выражению	4	1
основе такого	1	2
совсем не	1	1
что принято	1	1
возрастной ступени	2	3
формами мышления	4	1
этой проблемы	1	2
с объективной	1	2
можно было	6	6
со всей	2	2
и это	2	4
понятий это	4	1
предметов к	1	2
в тот	1	1
и понятие	3	2
ничего общего	3	3
развития понятий	13	5
функционального употребления	2	3
среднее место	1	1
общего к	2	3
с полным	2	1
понятиями взрослых	1	2
животных мы	1	1
в состоянии	1	1
этой задачи	1	2
его взрослых	1	1
от второго	1	1
фактической связи	1	1
образования понятия	5	6
том виде	2	2
исходного пункта	1	1
приводит автора	1	1
означает что	1	1
чрезвычайно важным	1	1
того сложного	1	1
и от	3	2
могут служить	1	2
в интересующей	1	1
очень рано	2	2
принципиально нового	2	1
переходе от	2	1
в одном	1	2
на который	1	1
иное как	1	1
той же	6	4
является продуктом	1	1
лежат в	1	1
имеет никакого	1	1
предметов с	2	1
мы поэтому	1	2
рано ребенок	1	1
друг от	1	1
в начале	2	2
а как	1	2
образования комплексов	1	1
друг с	7	5
входящими в	1	4
между мышлением	1	3
в той	2	1
образом задача	1	2
понимание между	1	2
ребенка то	1	1
увидим дальше	1	1
на этот	3	2
интеллектуальные функции	1	2
понятий этот	1	1
развитии мышления	1	7
что эта	3	1
до своих	1	1
в названии	2	1
может стать	2	1
ребенка оказывается	1	1
самый характер	1	1
понятия не	7	1
данный предмет	1	1
ребенка идет	1	1
условиях нашего	1	1
отнюдь не	3	4
другому признаку	2	1
в том	42	23
мы знаем	1	4
происходит в	1	1
нашей речи	1	1
с развитием	1	2
на две	1	1
даны в	2	1
как они	4	2
если принять	1	1
от того	3	4
с ребенком	1	2
понятие в	8	4
на вопрос	1	1
эти особенности	1	1
роль слова	2	2
что между	1	1
совпадение в	1	1
что понятия	3	1
нами комплексное	1	1
как мы	13	8
заключает в	1	2
в деле	3	4
сходных черт	1	1
в сфере	1	2
и обратно	1	1
основе и	1	2
как его	1	1
в отношении	10	6
многих других	1	1
у животных	1	3
это явление	1	1
отношениях типов	1	1
в виде	3	3
понятием в	6	1
различных конкретных	1	1
от понятия	2	3
признаков но	1	2
тот же	9	2
из одной	3	1
последнее время	1	3
скорее картина	1	1
повествование о	1	1
стоящей перед	1	2
слов на	1	1
как он	4	3
процесса в	1	6
и между	6	1
одно из	1	1
наталкивается на	1	1
нас проблеме	1	1
одному комплексу	1	2
комплексному мышлению	1	1
признаков которые	2	1
сигнификативная структура	1	1
исследование если	1	1
от конкретного	1	2
слова мы	3	2
целом но	1	1
в своих	1	2
эта ступень	1	1
речи мы	1	1
мышление ребенка	3	2
их развития	5	2
и иными	1	1
видеть в	2	1
становится таким	1	2
на примитивных	1	1
между теми	1	1
и рядом	1	1
ребенка и	9	17
уже в	6	7
пирамиде понятий	2	1
стадии своего	2	1
обладая всеми	1	1
ребенка в	4	12
своеобразном сочетании	2	2
ребенка это	2	1
основу этого	1	1
чрезвычайно рано	2	4
и потому	1	2
поэтому не	1	1
экспериментальный анализ	3	2
это обстоятельство	1	3
и он	2	1
и другими	1	2
шага в	1	1
мышлением в	4	4
развитие ребенка	3	1
на основе	10	22
заставляет нас	1	1
в уме	5	1
основной формой	1	1
