3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram
несколько слов о	1	1
его работе над	1	1
не только в	3	4
представляется своего рода	1	1
доходят до меня	1	1
в прямом смысле	1	1
каждом отдельном случае	1	1
ни для кого	1	1
можно было бы	1	8
в той или	1	1
во всяком случае	4	6
ответ на эти	1	1
у пушкина но	1	2
в том чтобы	2	1
не может не	1	1
для того чтобы	1	10
чем у пушкина	1	2
в наше время	1	1
о том что	4	11
на то что	3	4
нет ни одного	1	1
в пушкинское время	1	2
и xix в	1	1
т п но	1	1
пир во время	2	1
если не считать	1	1
и в этих	2	1
на самом деле	1	6
первому из этих	1	1
имею в виду	1	1
вопрос о том	1	2
более раннего времени	1	1
и мн др	1	3
дело не в	1	2
на эти темы	1	1
кукиш в кармане	1	1
начале xix века	3	1
бориса годунова является	1	1
отношение пушкина к	2	1
не говоря уже	1	1
что в россии	1	1
но и это	1	1
и у пушкина	1	1
объясняется тем что	1	1
бориса годунова и	3	1
том что здесь	2	2
ответ на вопрос	1	1
пушкина как на	1	1
в своей статье	1	4
той или иной	1	1
могло бы показаться	1	1
на эти вопросы	1	3
автографа бориса годунова	1	2
при его жизни	1	2
в свое время	1	2
как раз в	1	2
в целом это	1	1
в своей трагедии	2	1
к тому что	2	1
ср с другой	1	2
пушкина у нас	1	1
и в этом	2	3
в том смысле	2	2
говорит что он	2	1
россии никогда не	1	1
но и в	2	2
то обстоятельство что	5	2
как можно было	1	1
собрание сочинений пушкина	1	1
но то что	1	1
грубыми и примитивными	1	1
академического издания сочинений	1	1
истории государства российского	1	1
тем или иным	1	3
в том что	11	17
в то время	4	2
но это не	3	1
отметить что в	1	1
к борису годунову	2	2
в начале xix	3	1
и не в	2	1
то же время	3	4
и тех же	1	1
во время чумы	2	2
и т п	6	9
г д д	2	1
в печатном тексте	2	1
одних и тех	1	1
тем не менее	2	2
я думаю что	1	4
говорит о том	1	2
по тем или	1	1
по крайней мере	4	2
в том же	1	1
указания на то	1	1
т д разумеется	1	1
и то обстоятельство	1	1
говорит что пушкин	1	1
с другой стороны	4	6
таким образом в	1	1
тем более что	2	2
на протяжении всей	1	1
в рукописи пушкина	2	1
в том отношении	1	4
здесь дело в	1	1
моцарта и сальери	2	1
пушкина в его	2	1
словаре академии российской	1	3
том что пушкин	1	3
на мой взгляд	1	1
в данном отношении	1	5
в отдельных случаях	1	1
бориса годунова между	1	1
я хотел бы	1	1
два стиха в	2	1
в г д	2	1
в борисе годунове	38	2
в конце первой	1	2
том что он	1	1
должно было бы	1	1
том что этот	1	1
в одном из	1	1
но все же	2	3
из современников пушкина	2	1
как и вообще	1	1
а не на	1	1
в россии никогда	1	1
целиком совпадает с	1	1
издании бориса годунова	1	2
во всех этих	2	1
ни в малой	1	1
он должен был	1	2
тем что это	1	1
с одной стороны	2	2
в применении к	1	3
т п в	1	3
в то же	3	4
вещей в этом	1	1
в этом отношении	4	7
является не только	1	1
виде в каком	1	1
об этом не	1	1
как в наше	1	1
в каждом отдельном	1	1
прежде всего необходимо	1	1
в печатном издании	2	1
так как в	1	2
а не в	1	1
в малой мере	1	1
в его работе	2	1
том смысле что	1	1
я имею в	1	1
а сверх того	1	1
том отношении что	1	2
в самом деле	1	5
потому что он	2	1
за рамки его	1	1
пушкина может быть	1	1
было бы совершенно	2	1
до сих пор	2	7
а иногда и	1	2
но в целом	1	2
обстоятельство что в	1	1
и разумеется совершенно	1	1
по этому пути	1	1
на вопрос о	1	2
так или иначе	1	2
т е не	1	1
объясняется и то	1	1
с точки зрения	4	8
но я считаю	1	1
к vii тому	1	1
речь идет о	1	2
в г в	3	1
говоря уже о	1	1
в этом смысле	4	1
в одно целое	1	1
пушкина это в	1	1
в одних и	1	1
это слово в	2	1
и в самом	1	3
биографии пушкина это	1	1
что же касается	1	3
бориса годунова в	2	2
этой области не	1	1
малой мере не	1	1
вовсе не является	1	1
то было бы	1	1
укажу еще на	1	1
в лучшем случае	1	1
и в других	1	1
вытекает из его	1	1
в статье о	1	2
в одной из	1	1
бориса годунова а	3	1
в конце концов	3	1
во многих случаях	1	2
то время как	4	1
у пушкина в	1	1
по этому поводу	2	2
у пушкина этот	1	1
издания сочинений пушкина	1	6
пушкина как и	1	1
пушкина таким образом	1	1
не может быть	5	5
не в том	3	2
в словаре академии	1	3
нет никакого сомнения	1	1
что в этой	2	2
слов доходят до	1	1
в какой степени	1	1
на тему о	2	1
пушкина в этом	1	1
это объясняется тем	1	1
и т д	2	21
которая была бы	1	1
в этой области	2	5
заключается в том	2	3
должна была бы	2	3
только у нас	1	1
то что он	1	1
проявляется в том	1	1
тем что в	2	2
а с другой	2	1
из этих двух	1	2
у нас не	1	1
то что в	1	2
