3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_3gram
жизни и в	1	1
и потому может	1	1
нет и не	1	1
о диалогической природе	1	2
вовсе еще не	1	1
сказать что и	1	1
можно было бы	1	1
достоевский очень хорошо	1	1
позволено если нет	1	1
в той или	1	2
и вступают в	1	1
по-своему то есть	1	1
мы будем называть	1	1
к слову как	1	1
иногда и в	1	1
отношение к слову	1	1
о том что	2	3
он ни был	1	1
на протяжении всего	1	2
мы можем сказать	1	2
отношению к героям	1	1
на земле и	2	1
но только в	1	1
с самим собой	1	1
почти вовсе не	1	1
в большей или	2	1
в большинстве случаев	4	2
и человека идеи	1	1
для правильного понимания	2	2
в том числе	11	2
которая ведет к	1	1
в его целом	1	3
платона и ксенофонта	1	1
друг от друга	1	2
в основе жанра	1	1
по последним вопросам	1	1
еще раз подчеркнуть	1	2
потому что они	1	2
более или менее	3	1
и правильнее понять	1	1
как у достоевского	3	1
смешение прозаической и	1	1
в братьях карамазовых	2	2
той или иной	1	3
прежде всего в	1	1
записок из подполья	1	1
и особенно у	1	1
идей в его	1	2
прозаической и стихотворной	1	1
единство и непрерывность	1	1
в зависимости от	2	3
то есть с	2	2
идея о том	1	1
даже и не	2	1
одной и той	1	1
и так сказать	1	1
том что все	1	1
основе жанра лежит	1	1
нем нет здесь	1	1
диалогической природе истины	1	2
по сравнению с	4	2
и не может	1	2
диалогическое отношение к	3	1
при всей их	1	1
вернемся в дальнейшем	1	1
в том что	3	4
в некоторых жанрах	1	1
может быть даже	1	2
отметить что в	1	1
на пороге жизни	1	1
быть даже и	1	1
последних вопросов и	2	1
я всю жизнь	1	1
идеи у достоевского	1	3
сказать что в	1	1
серьезного и смешного	1	1
то же время	5	3
к творчеству достоевского	1	1
хотя и не	1	1
бы он ни	1	1
тем не менее	2	1
все позволено если	1	1
там где она	1	2
новое отношение к	1	2
именно потому что	1	1
как он сам	1	2
по крайней мере	1	2
униженных и оскорбленных	1	1
то есть в	2	8
образа идеи у	1	1
их отношение к	1	1
всю жизнь мою	1	1
по отношению к	1	8
идеи и человека	1	1
с другой стороны	1	1
в ее целом	1	1
что дело идет	1	1
в отличие от	1	1
и тот и	1	1
еще вернемся в	1	1
в этих жанрах	1	1
а потому и	1	1
остановимся на некоторых	1	1
конечно гораздо сложнее	1	1
мы уже отмечали	2	1
в нем и	1	1
с карнавальным мироощущением	2	1
основные жанровые особенности	1	1
этот рассказ в	1	1
здесь мы должны	1	1
но здесь в	1	1
жанрам эпопее трагедии	1	1
нужно отметить что	1	1
и неотделим от	1	1
в новое время	4	1
вся область серьезно-смехового	1	1
смысле этого слова	1	2
можем сказать что	1	2
преступлении и наказании	2	2
более широкое значение	1	1
все это очень	1	1
последним вопросам мировоззрения	1	1
свободно-творческое отношение к	1	1
но у каждого	1	1
и мениппова сатира	2	1
как мы сказали	1	3
я не могу	1	1
в сущности почти	1	1
связь с карнавальным	1	1
достоевского но это	1	1
можно сказать что	4	2
большей или меньшей	3	1
в нем нет	3	1
зоне фамильярного контакта	1	1
том числе и	10	2
он в сущности	1	1
но тем не	1	1
мы еще вернемся	3	1
до нас дошли	1	1
здесь конечно не	1	2
понять и оценить	1	2
в то же	5	3
в этом отношении	1	2
кризисы и переломы	1	1
на равных правах	2	2
неотделим от него	1	1
человека с человеком	1	1
стр нашей работы	1	1
друг к другу	1	3
открытие диалогической природы	1	1
некоторых из них	1	1
необходимо еще раз	1	1
у платона в	1	1
раскрыть в предшествующих	1	1
на первом плане	1	1
том что на	1	1
духе и в	1	1
и т.п так	1	1
человека и его	3	2
в области серьезно-смехового	2	2
фамильярного контакта с	1	2
представления о диалогической	1	1
с самого начала	3	1
и той же	1	1
это конечно не	1	1
и т.п и	1	1
и карнавального мироощущения	1	1
хотя и в	1	1
в его творчестве	2	3
человека из подполья	1	1
философских школ и	1	1
тех или иных	1	1
мы охарактеризовали выше	1	1
жизни и смерти	2	7
что все позволено	1	1
до сих пор	5	2
самим собою в	1	1
в преступлении и	2	2
в произведениях достоевского	1	3
в сократическом диалоге	6	1
в творчестве достоевского	5	1
с точки зрения	2	9
то что я	1	1
мы уже говорили	2	2
может быть только	1	2
сих пор еще	2	1
и т.п все	1	1
в этом смысле	1	5
что образ идеи	1	1
каждом из них	2	2
но именно этот	1	1
это в сущности	1	1
и в дальнейшем	2	1
или меньшей степени	2	1
и в целом	1	2
всего творчества достоевского	2	1
слову как материалу	1	1
возрождается и обновляется	2	1
с другими образами	1	1
художественной прозы в	1	1
является одним из	1	1
европейской художественной прозы	1	2
и над которым	1	1
образов идей в	1	3
но если и	1	1
глубины души человеческой	1	2
во всех сферах	1	1
но в то	1	3
всех других ведущих	1	1
в конце концов	1	3
карнавального мироощущения здесь	1	1
нужно сказать что	2	1
проникновения в глубины	1	1
с самим собою	4	1
человеческой жизни и	1	2
сократический диалог это	1	1
все в нем	1	1
очень важное значение	1	1
неразрывно связана с	1	1
сочетается с образом	1	1
не может быть	1	6
и др в	2	1
карнавала и карнавального	1	1
у достоевского на	1	1
а может быть	1	2
в предшествующих главах	1	1
в предисловии к	1	1
проявляется и в	2	1
мы видим что	1	1
ведет к творчеству	1	1
в xix веке	1	2
и стихотворной речи	1	1
сократический диалог как	1	1
в зоне фамильярного	1	1
он сам себя	1	1
помнит свое прошлое	1	1
мы говорили в	1	1
как материалу литературы	1	1
в каждом из	3	2
