3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_3gram
перед нами в	2	1
нет и не	1	2
не только в	1	1
так как его	1	1
первом произведении достоевский	1	1
они все время	1	1
можно было бы	1	2
лежит в одной	1	1
никогда не может	2	1
в той или	2	1
смысловой позиции как	1	1
нами в пределах	1	1
как и всякое	1	1
отношение к слову	1	1
о том что	3	2
преступления и наказания	1	3
героя а не	1	1
друг с другом	2	5
никаких диалогических отношений	1	2
в высшей степени	1	1
быть никаких диалогических	1	2
с полною ясностью	1	1
но только в	1	1
а не как	1	1
в этом случае	1	1
с самим собой	1	2
лицом к лицу	1	1
действительности то есть	1	1
на пороге и	1	2
из своих писем	1	1
увидеть и показать	1	1
в большей или	1	2
в большинстве случаев	2	8
до ее истоков	1	1
слово о себе	1	3
в том числе	2	4
в последующих произведениях	1	1
этого последнего затем	1	1
друг от друга	2	1
она даже и	1	1
в этом романе	1	2
как раз и	1	3
еще раз подчеркнуть	2	1
более или менее	1	3
к этому стремился	1	1
в себе его	1	1
которые сами по	1	1
слова то есть	1	3
в одном голосе	1	1
слова в произведениях	1	1
в братьях карамазовых	2	2
в одной плоскости	4	2
той или иной	3	2
не входит в	2	1
точки зрения своей	1	1
не должна быть	1	1
прежде всего в	1	1
одной плоскости с	3	1
построения художественного образа	1	1
мы имеем в	2	3
рассказа от автора	1	1
в свое время	2	2
в жизни и	1	1
в чужих устах	1	1
ними нет и	1	1
есть в сфере	1	1
отношению к ним	1	1
отражаются друг в	2	2
что могло бы	1	1
даже и не	1	1
и так сказать	1	1
и в сущности	1	2
том что все	1	1
резко отличается от	1	1
и не может	2	7
по сравнению с	2	1
друг о друге	2	1
в одном замкнутом	1	1
достоевского так же	1	1
же как и	2	1
нам кажется что	1	3
для ведения рассказа	1	1
большинстве случаев в	1	1
в том что	4	2
может быть даже	2	1
в большом диалоге	3	1
то же время	3	5
и в их	1	1
и отчетливого выражения	1	1
сознания и речи	1	1
и человеческих отношений	1	1
хотя и не	1	2
отношения к чужому	1	2
раз подчеркнуть что	1	1
мы бы сказали	1	1
она и не	1	1
друг в друге	3	2
так сказать в	1	1
в устах других	1	1
словом но в	1	1
так же как	3	1
как бы дана	1	1
своими корнями в	1	1
авторское отношение не	1	1
то есть в	8	4
в самом предмете	1	2
чужим словом но	1	1
по отношению к	8	5
с другой стороны	1	3
в отличие от	1	3
остановимся на некоторых	1	1
друг друга но	2	2
и человеческой мысли	2	1
ведь он не	1	1
как и герой	1	1
не сливается с	1	1
преступлении и наказании	2	2
но конечно не	1	2
в данном случае	1	1
и всякое иное	1	1
в одном из	1	2
другой стороны и	1	1
но все же	2	1
между ними существуют	1	1
как мы сказали	3	3
это вовсе не	2	2
в художественном мире	2	1
как чужое слово	1	2
можно сказать что	2	2
большей или меньшей	1	2
отношению к этой	1	1
том числе и	2	3
то есть если	1	2
романа и в	1	1
в то же	3	5
автора то есть	1	1
для понимания художественной	1	1
к тому же	1	1
человека с человеком	1	1
себе самом и	1	1
в его мире	1	1
в художественной литературе	1	1
о себе самом	3	3
основные особенности и	1	1
и внутренне не	1	1
уже в первом	1	1
в письме к	1	1
чужое слово как	1	2
которая позволила бы	1	1
с самого начала	1	1
это конечно не	1	1
имеем в виду	2	3
всех романах достоевского	1	1
в самом деле	3	4
слово как слово	1	1
самом деле в	1	1
до сих пор	2	8
здесь вовсе не	1	1
сама по себе	5	2
в преступлении и	2	2
знает и понимает	1	1
в него как	1	1
и автор не	1	1
в произведениях достоевского	3	2
в сократическом диалоге	1	1
дело в том	1	2
с точки зрения	9	9
мышкин ставрогин иван	1	1
и в словах	1	2
в романах достоевского	5	4
может быть или	1	1
его видения и	1	1
чувствует рядом с	1	1
и т.п все	1	1
в этом смысле	5	2
почти никогда не	1	1
поэтому слово о	1	1
в мире достоевского	2	1
к слиянию голосов	1	1
друг друга и	1	1
к лицу и	1	1
в бедных людях	1	3
или меньшей степени	1	2
мы остановимся на	2	1
человека на пороге	1	1
этом романе и	1	1
остановиться несколько подробнее	2	1
чужим словам о	1	1
на этот вопрос	1	2
является одним из	1	1
как бы в	2	3
то есть слова	1	1
с чужим словом	1	3
между ними нет	1	1
братьях карамазовых в	1	2
себе самом с	1	1
сократического диалога и	1	1
и в других	1	2
словам о нем	1	1
диалогических отношений они	1	3
единого и единственного	1	1
но в то	3	2
во всех романах	1	1
отношение к действительности	2	1
у него в	1	1
в конце концов	3	1
с самим собою	1	3
человек никогда не	1	1
большом диалоге романа	1	1
совпадает с самим	1	1
что у достоевского	1	1
в полифоническом романе	3	1
не совпадает с	1	1
не может быть	6	8
сознании и в	1	2
жизни и все	1	1
а может быть	2	1
как один из	1	1
сами по себе	1	2
под его влиянием	1	1
должно ощущаться как	1	1
проявляется и в	1	1
потому что она	1	1
художественном мире достоевского	2	1
одном из своих	1	1
может быть никаких	1	2
и слова что	1	1
хотя бы и	2	1
в xix веке	2	1
у нее нет	1	1
бы ни были	1	1
он как бы	1	1
диалог у достоевского	1	1
да что же	1	1
мы говорили в	1	1
но прежде всего	1	1
в каждом из	2	1
которая как мы	1	1
