N	3gram	Medvedev_V	Morfolog
1	и т д	16	60
2	мы видим что	1	11
3	в этом случае	1	10
4	не может быть	8	9
5	в связи с	4	9
6	по отношению к	7	7
7	подобно тому как	3	5
8	с другой стороны	8	5
9	в том что	5	4
10	не могут быть	4	4
11	к тому что	4	4
12	но все же	1	4
13	т д но	1	4
14	на то что	1	3
15	о том что	3	3
16	для того чтобы	3	3
17	не значит что	1	3
18	в то время	1	3
19	прежде всего следует	1	3
20	в том случае	1	3
21	то время как	1	3
22	о том как	3	2
23	дело не в	1	2
24	то что в	1	2
25	более или менее	6	2
26	том случае если	1	2
27	хотя и не	1	2
28	можно было бы	2	2
29	в данном случае	1	2
30	при помощи которой	1	2
31	во всяком случае	2	2
32	с одной стороны	2	2
33	в этом отношении	14	2
34	мы не будем	1	2
35	вопрос о том	1	2
36	то прежде всего	1	2
37	оно может быть	1	2
38	может быть и	1	2
39	в качестве примеров	1	1
40	при помощи которых	1	1
41	на вопрос что	1	1
42	сих пор не	1	1
43	имеет ничего общего	1	1
44	все это мы	1	1
45	в свою очередь	1	1
46	следующим образом i	1	1
47	с этим и	1	1
48	т е не	1	1
49	тому что они	1	1
50	некоторые из этих	1	1
51	вспомним хотя бы	1	1
52	как один из	1	1
53	положительной или отрицательной	1	1
54	за это время	1	1
55	в применении к	1	1
56	и может быть	1	1
57	это одна из	1	1
58	в чем же	2	1
59	однако все это	1	1
60	точном смысле слова	2	1
61	того или другого	1	1
62	его т е	1	1
63	а не по	1	1
64	как составная часть	1	1
65	с этой точки	1	1
66	как это видно	2	1
67	можно сказать что	4	1
68	только в том	2	1
69	другой мы видим	1	1
70	далеко не всегда	1	1
71	в этом и	2	1
72	могло бы быть	1	1
73	с теми или	1	1
74	в то же	5	1
75	тех или иных	1	1
76	и то же	1	1
77	на этот вопрос	1	1
78	и есть то	1	1
79	в таком случае	1	1
80	в этом нет	1	1
81	в противном случае	2	1
82	до сих пор	2	1
83	один из его	1	1
84	ни одна из	1	1
85	как это обычно	1	1
86	иметь в виду	2	1
87	во время прогулки	1	1
88	одно и то	1	1
89	той или иной	1	1
90	т д наконец	1	1
91	бросается в глаза	1	1
92	в этой области	3	1
93	во всех этих	2	1
94	в том или	1	1
95	противном случае он	1	1
96	что его можно	1	1
97	из них не	2	1
98	не имеет ничего	1	1
99	к этому же	1	1
100	в точном смысле	2	1
101	одна из форм	1	1
102	когда говорят о	1	1
103	этой точки зрения	2	1
104	может быть достигнуто	1	1
105	во всех других	1	1
106	один из них	1	1
107	одна из них	1	1
108	можно ли считать	1	1
109	и в качестве	1	1
110	в целом и	1	1
111	то же время	5	1
112	некоторые из них	1	1
113	приводит к тому	2	1
114	все эти явления	2	1
115	д но это	1	1
116	этого не могут	1	1
117	после того как	2	1
118	те или иные	1	1
