N	2gram	Vinokur_St	RusskieA
1	и в	61	79
2	в том	56	64
3	том что	49	59
4	что в	41	57
5	т е	21	54
6	не только	36	41
7	во время	5	38
8	так как	7	34
9	и другие	3	33
10	в этом	37	33
11	как бы	8	31
12	но и	28	31
13	в других	2	30
14	в и	143	30
15	п в	4	30
16	как и	11	28
17	и на	7	28
18	может быть	16	28
19	и м	1	25
20	а н	1	25
21	одна из	1	24
22	о том	30	23
23	и т	36	23
24	при этом	4	22
25	т д	25	21
26	там же	1	20
27	это не	8	20
28	е в	3	20
29	а в	18	20
30	как мы	1	20
31	из них	11	19
32	представляют собой	1	18
33	xix в	6	18
34	все это	13	18
35	с тем	3	17
36	таким образом	16	17
37	то что	27	17
38	вместе с	5	17
39	об этом	9	17
40	показывает что	1	17
41	потому что	13	17
42	во многих	3	16
43	мы не	3	16
44	будто бы	4	15
45	один из	1	15
46	в них	2	14
47	и с	6	14
48	не менее	8	14
49	тем не	4	14
50	как это	6	14
51	и что	8	14
52	и не	23	14
53	для нас	7	14
54	у нас	12	14
55	уже не	1	13
56	к этому	4	13
57	в некоторых	3	13
58	так что	8	13
59	и по	6	13
60	как в	15	13
61	в которых	5	13
62	еще не	4	13
63	не может	10	13
64	тем что	6	12
65	между собой	1	12
66	полагает что	1	12
67	этом случае	3	12
68	мы имеем	2	12
69	в виде	3	12
70	а затем	1	11
71	не имеет	5	11
72	но это	9	11
73	а на	4	11
74	далеко не	1	11
75	что на	3	11
76	все же	12	10
77	так например	12	10
78	это делалось	1	10
79	том чтобы	1	10
80	его в	4	10
81	между тем	7	10
82	что и	8	10
83	в течение	7	10
84	так и	15	10
85	или в	1	10
86	а также	4	10
87	по существу	3	10
88	и других	1	10
89	то же	7	9
90	о чем	4	9
91	видно что	3	9
92	е ф	1	9
93	что они	9	9
94	в деревню	1	9
95	с ней	1	9
96	и все	3	9
97	данном случае	7	9
98	того как	8	9
99	том же	3	9
100	но в	16	9
101	в г	10	9
102	но не	5	9
103	одно из	3	8
104	в этих	5	8
105	представление о	5	8
106	что по	1	8
107	так же	7	8
108	связи с	3	8
109	на себя	3	8
110	во всех	8	8
111	что это	5	8
