N	2gram	Losev_Dial	Literetu
1	а не	24	50
2	и не	51	47
3	не только	26	46
4	и в	35	44
5	может быть	30	43
6	при этом	2	41
7	но и	17	41
8	в том	20	39
9	в этом	18	38
10	том что	18	32
11	в частности	4	30
12	то что	25	29
13	в мире	3	28
14	в качестве	2	27
15	то же	21	26
16	как и	10	23
17	в то	10	23
18	себя в	2	22
19	не в	12	22
20	того что	6	22
21	так и	18	22
22	не может	16	22
23	я и	3	21
24	же время	9	21
25	в себе	23	20
26	я в	3	19
27	прежде всего	14	19
28	как бы	19	18
29	с другой	10	17
30	точки зрения	25	17
31	то есть	1	17
32	в его	4	17
33	в жизни	3	16
34	сознания в	1	16
35	в этой	3	16
36	не менее	5	15
37	я не	9	15
38	только в	7	15
39	со стороны	2	15
40	тем самым	1	15
41	в целом	1	15
42	и даже	23	14
43	что он	16	14
44	уже не	3	13
45	в своем	7	13
46	с одной	4	13
47	как это	8	13
48	но не	9	13
49	и его	6	13
50	в своей	9	12
51	о том	8	12
52	в данном	5	12
53	одной стороны	3	12
54	еще не	4	12
55	а также	1	12
56	в другом	6	11
57	никогда не	18	11
58	и сам	1	11
59	столь же	1	11
60	еще в	2	11
61	вместе с	3	11
62	как в	3	11
63	в основе	4	11
64	данном случае	1	11
65	это не	18	11
66	отличие от	1	11
67	или иначе	3	11
68	а в	8	11
69	даже в	6	10
70	в принципе	1	10
71	из них	5	10
72	в ее	3	10
73	что в	19	10
74	так или	3	10
75	жизни в	1	10
76	потому что	23	10
77	этом отношении	2	10
78	жизни и	9	10
79	отнюдь не	13	10
80	в области	2	10
81	с этой	3	9
82	к тому	6	9
83	связи с	3	9
84	один из	3	9
85	что я	5	9
86	в поэзии	8	9
87	одно из	2	9
88	же в	2	9
89	говоря уже	1	8
90	быть может	5	8
91	в своих	1	8
92	тем что	2	8
93	все же	9	8
94	одна из	1	8
95	того же	1	8
96	с точки	18	8
97	как раз	7	8
98	на себя	1	8
99	что не	13	8
100	в конце	5	8
101	о себе	1	8
102	а именно	3	8
103	слова и	1	8
104	той же	1	8
105	но в	8	8
106	уже в	5	8
107	для него	2	8
108	по существу	2	8
109	и как	14	8
110	и я	3	8
111	не говоря	1	8
112	субъекта и	4	8
113	в искусстве	2	8
114	вплоть до	3	8
115	в самом	6	7
116	в одном	4	7
117	другой стороны	7	7
118	на свою	1	7
119	именно в	4	7
120	для этого	2	7
121	в противоположность	6	7
122	по преимуществу	1	7
123	не как	4	7
124	тому же	3	7
125	он не	5	7
126	и тем	2	7
127	и с	10	7
128	в нем	25	7
129	из того	2	7
130	по своей	5	7
131	наконец в	1	7
132	в сфере	2	7
133	друг друга	1	7
134	и для	2	7
135	он и	2	7
136	в их	5	7
137	так в	1	7
138	личности в	2	7
139	и других	1	7
140	это как	3	7
141	тому как	1	7
142	и жизни	4	7
143	в виду	9	6
144	например в	2	6
145	при всей	1	6
146	уже о	1	6
147	как на	1	6
148	и он	6	6
149	у него	2	6
150	его в	3	6
151	не было	7	6
152	с жизнью	1	6
153	во всех	3	6
154	в каждом	4	6
155	перед лицом	2	6
156	было бы	14	6
157	подобно тому	1	6
158	то в	8	6
159	разумеется не	1	6
160	самом деле	6	6
161	как о	2	6
162	поэзии и	4	6
163	еще и	4	6
164	то и	3	6
165	тем же	3	6
166	одного из	1	6
167	и др	2	6
168	и то	15	6
169	что ему	1	6
170	в ней	4	6
171	далеко не	2	6
172	при всем	1	6
173	как будто	7	6
174	и только	5	6
175	и наконец	1	6
176	и к	8	5
177	к этой	1	5
178	тех кто	2	5
179	в связи	3	5
180	мы с	1	5
181	хотя бы	6	5
182	как я	3	5
183	он сам	6	5
184	от себя	1	5
185	свое собственное	1	5
186	всего в	1	5
187	том чтобы	1	5
188	должно быть	7	5
189	несмотря на	12	5
190	ни было	2	5
191	тем не	3	5
192	к жизни	1	5
193	не знает	2	5
194	этой точки	2	5
195	между тем	3	5
196	так что	21	5
197	все более	1	5
198	в силу	6	5
199	в сущности	2	5
200	и одновременно	1	5
201	себя и	1	5
202	не с	5	5
203	идет о	1	5
204	и если	5	5
205	вслед за	2	5
206	так как	24	5
207	мир в	1	5
208	мы не	1	5
209	в художественной	1	5
210	в литературе	1	5
211	как у	3	5
212	что и	7	5
213	но с	4	5
214	но уже	3	5
215	однако не	1	5
216	на свете	5	5
217	как он	5	5
218	место в	1	5
219	или иной	4	5
220	не к	2	5
221	а я	3	5
222	более не	1	4
223	не бывает	2	4
224	и само	1	4
225	в них	4	4
226	с тем	2	4
227	только для	1	4
228	в природе	1	4
229	и нет	2	4
230	во всяком	5	4
231	то это	6	4
232	не должен	2	4
233	для того	2	4
234	не всегда	2	4
235	в руках	1	4
236	только на	3	4
237	как мы	5	4
238	я с	1	4
239	во всей	1	4
240	к этому	2	4
241	хотя и	4	4
242	для своего	3	4
243	все время	4	4
244	очевидно что	1	4
245	века в	1	4
246	себе и	5	4
247	в сторону	1	4
248	нового человека	1	4
249	здесь как	2	4
250	могли бы	1	4
251	с образом	1	4
252	на этом	4	4
253	от самого	3	4
254	и что	17	4
255	за пределы	4	4
256	но без	3	4
257	общего с	6	4
258	к своему	1	4
259	могут быть	6	4
260	силу своей	2	4
261	и есть	20	4
262	можно сказать	10	4
263	из этого	2	4
264	а потому	3	4
265	жизни а	1	4
266	со всеми	2	4
267	от своего	1	4
268	и все	11	4
269	отношения к	3	4
270	приводит к	1	4
271	бы не	1	4
272	все они	2	4
273	нет ничего	1	4
274	ни к	2	4
275	совершенно не	13	4
276	то он	2	4
277	у тютчева	5	4
278	не является	3	4
279	тех же	1	4
280	на том	1	4
281	но лишь	4	4
282	со всей	2	4
283	при котором	1	4
284	по этой	2	4
285	но это	12	4
286	таким образом	5	4
287	жизни не	1	4
288	нас самих	1	4
289	и вот	10	4
290	для нас	1	4
291	объекта и	2	4
292	на его	1	4
293	вовсе не	19	4
294	ко всему	3	4
295	не могу	9	4
296	но при	1	4
297	а по	1	4
298	такой же	2	4
299	на то	5	4
300	себе самому	1	4
301	нуждается в	6	4
302	все что	2	3
303	в душе	8	3
304	мы и	3	3
305	же и	11	3
306	вот она	1	3
307	о чем	4	3
308	мысли и	3	3
309	в этих	6	3
310	по себе	39	3
311	мне но	1	3
312	мысль о	2	3
313	от всего	2	3
314	нет в	1	3
315	мира и	2	3
316	речь идет	2	3
317	себе самой	1	3
318	мой путь	1	3
319	вопрос о	3	3
320	он был	1	3
321	во многих	1	3
322	времени в	2	3
323	жизни по	1	3
324	трактуется как	1	3
325	превращается в	2	3
326	так же	6	3
327	себе в	1	3
328	обратим внимание	2	3
329	и еще	4	3
330	не становится	1	3
331	и культуры	1	3
332	или нет?	1	3
333	следующим образом	1	3
334	из трех	1	3
335	с ним	9	3
336	не просто	19	3
337	крайней мере	11	3
338	говорить о	9	3
339	она и	2	3
340	именно так	1	3
341	искусство в	1	3
342	творчества как	2	3
343	что такое	13	3
344	а с	2	3
345	а за	1	3
346	сознания на	2	3
347	не есть	67	3
348	и перед	1	3
349	во главе	1	3
350	это путь	1	3
351	в чем	9	3
352	той или	11	3
353	я был	3	3
354	всех своих	1	3
355	но как	7	3
356	же как	3	3
357	и является	2	3
358	но только	6	3
359	ту или	1	3
360	же это	6	3
361	над ним	1	3
362	в москве	2	3
363	не раз	2	3
364	т п	3	3
365	что для	3	3
366	его личности	2	3
367	и от	5	3
368	там где	1	3
369	себе как	3	3
370	в особенности	6	3
371	не так	1	3
372	взгляд на	3	3
373	если в	5	3
