N	4gram	Vygotskiy_	formyVre
1	в то же время	1	18
2	одного и того же	2	9
3	с одной стороны и	1	5
4	одно и то же	3	5
5	не для того чтобы	1	4
6	в то время как	4	4
7	ни в чем не	1	3
8	и того же человека	1	3
9	так же как и	1	3
10	дело в том что	2	2
11	одна и та же	2	2
12	друг с другом мы	1	2
13	и в то время	1	2
14	друг с другом и	1	2
15	именно в том что	1	1
16	с этой точки зрения	3	1
17	что до сих пор	1	1
18	в том что в	2	1
19	то же самое мы	1	1
20	во время чумы и	1	1
21	остановимся прежде всего на	1	1
22	вместе с тем и	1	1
23	в зависимости от того	3	1
24	одной и той же	4	1
25	в знаменитой сцене с	1	1
26	и никак не могла	1	1
27	и проч и проч	1	1
28	что все то что	1	1
29	и для того чтобы	1	1
30	так же невозможно как	1	1
31	том что он не	1	1
32	как раз в ту	1	1
33	сводится к тому что	3	1
34	совершенно ясно что в	3	1
35	в том что он	2	1
36	мы можем поставить вопрос	1	1
37	но вместе с тем	1	1
38	состоит именно в том	1	1
39	может включать в себя	1	1
40	он имел в виду	1	1
41	выступает на первый план	1	1
42	и ни для чего	1	1
43	на другой день после	1	1
44	о которых мы говорили	1	1
45	ни для чего не	1	1
46	до сих пор не	1	1
