N	2gram	Voloshinov	Tragedij
1	и в	3	18
2	не только	1	8
3	и на	1	7
4	и не	1	7
5	может быть	1	7
6	же время	1	6
7	несмотря на	1	5
8	то же	1	5
9	не может	4	5
10	в то	1	5
11	и все	1	4
12	но и	1	4
13	один из	2	3
14	в его	1	3
15	для него	1	3
16	к тому	1	2
17	русской литературы	1	2
18	в особенности	1	1
19	ситуации и	1	1
20	мы видим	1	1
21	в центре	2	1
22	достоевского и	2	1
23	впадает в	1	1
24	и должно	1	1
25	на нее	1	1
26	тому что	1	1
27	не менее	1	1
28	второй части	1	1
29	не смог	1	1
30	бы в	1	1
31	связи с	1	1
32	в ней	1	1
33	а не	1	1
34	как искусство	1	1
35	он в	1	1
36	по делу	1	1
37	событий и	1	1
38	не из	1	1
