N	4gram	Bakhtin_Pr	Formalny
1	в то же время	13	20
2	и не может быть	1	7
3	бы то ни было	2	7
4	и в то же	2	6
5	с одной стороны и	1	5
6	и т п в	1	4
7	с точки зрения его	1	3
8	во что бы то	1	3
9	и во всяком случае	1	3
10	с начала и до	2	3
11	что бы то ни	1	3
12	как бы ни были	1	3
13	в том числе и	1	3
14	не может быть понято	1	3
15	начала и до конца	2	3
16	то же время не	3	3
17	бы то ни стало	1	3
18	но в то же	7	3
19	в неразрывной связи с	1	2
20	и до сих пор	1	2
21	и не входит в	2	2
22	как если бы оно	1	2
23	и до настоящего времени	1	2
24	если бы оно было	1	2
25	с точки зрения ее	1	2
26	с точки зрения своей	1	2
27	иметь в виду что	1	2
28	была бы совершенно иной	1	2
29	мы имеем в виду	1	2
30	занимает очень важное место	1	2
31	и в этом отношении	2	2
32	в зависимости от того	1	2
33	то же время и	1	2
34	какой бы то ни	1	2
35	в зависимости от характера	1	2
36	не в том что	1	2
37	прежде и больше всего	1	1
38	в зависимости от различных	1	1
39	в связи с теми	1	1
40	то что было дано	1	1
41	тоже не может быть	1	1
42	но тем не менее	1	1
43	возможно лишь там где	1	1
44	войти в художественную структуру	1	1
45	нужно иметь в виду	1	1
46	в одной плоскости в	1	1
47	лишь с точки зрения	1	1
48	той же степени как	1	1
49	тем фоном на котором	1	1
50	как один из возможных	1	1
51	большей или меньшей степени	2	1
52	не с точки зрения	1	1
53	быть более или менее	2	1
54	каких бы то ни	1	1
55	не тем что он	1	1
56	является лишь одним из	2	1
57	более или менее глубокой	1	1
58	дело в том что	1	1
59	не значит конечно что	2	1
60	именно потому что он	1	1
61	в большей или меньшей	2	1
62	в одной плоскости с	4	1
63	и т п все	2	1
64	кругозор в его целом	1	1
65	иначе и быть не	1	1
66	мы уже говорили что	1	1
67	остановимся прежде всего на	1	1
68	в большинстве же случаев	1	1
69	что было дано в	1	1
70	то что он не	1	1
71	может быть понято как	1	1
72	во всяком случае была	1	1
73	раз и входит в	1	1
74	может быть более или	2	1
75	в собственном смысле слова	1	1
76	в том что это	1	1
77	тем не менее в	1	1
78	к одной очень важной	1	1
79	в той же степени	1	1
80	это не значит конечно	2	1
81	в виду прежде всего	1	1
82	и до известной степени	1	1
83	на самом деле это	1	1
84	мы увидим дальше что	1	1
85	бы оно ни было	1	1
86	другой стороны со стороны	1	1
87	все новые и новые	1	1
88	и так или иначе	1	1
89	с другой стороны со	1	1
90	романа в его целом	1	1
91	и по отношению к	1	1
92	но в таком случае	1	1
93	к которому как бы	1	1
94	как мы знаем в	1	1
95	не забывает своего пути	1	1
96	с другой стороны и	3	1
97	каждый элемент художественной структуры	1	1
98	в значительной степени определяется	1	1
99	что он не есть	1	1
100	которые сами по себе	1	1
101	различны в зависимости от	1	1
102	имеем в виду прежде	1	1
103	да иначе и быть	1	1
104	ни на минуту не	1	1
105	а вовсе не как	1	1
106	как раз и входит	1	1
107	в лучшем случае они	1	1
108	моментом которого оно является	1	1
109	по мере того как	1	1
110	совпадает с самим собою	1	1
111	тем что он есть	1	1
112	в настоящее время начинает	1	1
113	совершенно в той же	1	1
114	что же это за	1	1
115	одной очень важной особенности	1	1
116	ведь в противном случае	1	1
