N	4gram	Losev_Prob	Problemy
1	но в то же	1	11
2	и в то же	1	7
3	в той или иной	1	5
4	в то время как	2	3
5	одно и то же	1	3
6	и к тому же	1	2
7	в том и в	1	2
8	том и в другом	1	2
9	и в том и	1	2
10	во всяком случае не	1	2
11	но тем не менее	1	2
12	дело в том что	3	2
13	в записках из подполья	1	2
14	и в этом отношении	1	2
15	а может быть даже	1	2
16	в свете формулированного нами	1	1
17	но в конце концов	1	1
18	в конце концов не	1	1
19	на самом же деле	1	1
20	ничем не отличается от	1	1
21	выходить за пределы данного	1	1
22	во что бы то	2	1
23	с одной стороны и	2	1
24	уже с самого начала	2	1
25	имел в виду и	1	1
26	и это вовсе не	1	1
27	тоже не может быть	1	1
28	человека а следовательно и	1	1
29	для того чтобы она	1	1
30	и не может быть	1	1
31	так и в отношении	1	1
32	в этом смысле нет	1	1
33	может быть даже и	2	1
34	если бы оно было	1	1
35	что бы то ни	2	1
36	бы то ни стало	2	1
37	сам по себе но	3	1
38	в обычном смысле слова	1	1
39	одного и того же	2	1
40	но по своей структуре	1	1
41	если мы не знаем	1	1
42	в конце концов как	1	1
43	один и тот же	1	1
44	а может быть и	2	1
45	от человека от его	1	1
46	которая как раз и	1	1
47	и в самом деле	1	1
48	заключается в том что	2	1
49	все больше и больше	1	1
50	в том числе и	2	1
51	бы оно ни было	1	1
52	и в другом случае	1	1
53	не чем иным как	2	1
54	как бы оно ни	1	1
55	он остается в пределах	1	1
56	но в таком случае	7	1
57	мы имеем в виду	1	1
58	не говоря ни слова	1	1
59	несмотря на то что	1	1
60	вопрос о том что	1	1
61	и т д и	4	1
62	и это не только	1	1
63	если бы не было	3	1
64	что же тут в	1	1
65	ни на что другое	1	1
66	и так до бесконечности	1	1
67	так же как и	1	1
68	а вовсе не для	1	1
69	что же это за	1	1
70	в том или ином	1	1
