N	3gram	Berdyaev_V	VeschiIm
1	и т д	2	38
2	бы то ни	1	12
3	т д и	1	11
4	по крайней мере	1	10
5	д и т	1	10
6	в том что	2	9
7	по сравнению с	1	7
8	то и другое	1	6
9	есть прежде всего	1	4
10	есть то что	1	4
11	вместе с тем	1	3
12	если оно не	1	3
13	то что мы	3	3
14	с другой стороны	1	3
15	мы видим что	1	2
16	хотя бы и	1	2
17	есть еще и	1	2
18	и есть то	1	2
19	том что он	2	2
20	в конце концов	1	2
21	в нем нет	2	2
22	к тому что	3	2
23	но все же	1	2
24	то что я	2	2
25	и в этом	1	2
26	не верят в	3	1
27	но может ли	1	1
28	в истории и	1	1
29	их во имя	1	1
30	и во всяком	1	1
31	и есть уже	1	1
32	есть один из	1	1
33	но и в	2	1
34	для него не	1	1
35	в одно целое	1	1
36	у нас это	1	1
37	на нас и	2	1
38	и не было	1	1
39	ее и в	1	1
40	уже и не	1	1
41	так как она	1	1
42	не будет уже	2	1
43	и то и	1	1
44	что бы то	1	1
45	это одна из	1	1
46	как объективную реальность	1	1
47	бы и не	2	1
48	еще не был	1	1
49	и вместе с	1	1
50	да и то	1	1
51	и можно ли	1	1
52	во имя отца	1	1
53	потому что оно	1	1
54	конечно ни в	1	1
55	что не в	1	1
56	самого себя и	1	1
57	них ничего нельзя	1	1
58	того что есть	1	1
59	вместо того чтобы	2	1
60	хотя и эта	1	1
