N	2gram	Voloshinov	VelikijI
1	и не	4	20
2	и в	16	16
3	так как	4	9
4	то что	3	9
5	еще не	5	8
6	и потому	3	7
7	что они	1	7
8	а не	1	7
9	человека и	1	6
10	не есть	2	6
11	что есть	1	5
12	хотя и	1	5
13	все это	4	5
14	как бы	5	5
15	в мире	1	5
16	но и	4	5
17	все что	4	4
18	в этом	9	4
19	что мы	2	4
20	в его	4	4
21	в ней	1	4
22	так и	4	4
23	говорить о	2	4
24	и есть	3	4
25	и все	4	4
26	что не	2	4
27	как и	2	4
28	что он	2	4
29	в нем	4	4
30	во всех	3	3
31	что в	3	3
32	нет ничего	1	3
33	и мы	2	3
34	в конце	1	3
35	хотя бы	4	3
36	в том	3	3
37	любовь к	1	3
38	этих трех	2	3
39	и что	1	3
40	что и	2	3
41	ни в	5	3
42	в этих	3	3
43	в них	2	3
44	оно не	2	3
45	лишь в	1	3
46	к чему	1	3
47	в жизни	2	3
48	что я	1	3
49	и они	1	3
50	как не	2	3
51	их в	3	3
52	в своей	2	3
53	с его	7	3
54	от этого	1	3
55	не имеет	1	3
56	но это	2	3
57	и для	2	3
58	жизни и	3	3
59	в чем	5	3
60	все эти	5	3
61	тот же	1	3
62	но в	4	3
63	к тому	1	3
64	никогда не	2	3
65	что было	1	2
66	во всяком	3	2
67	его и	1	2
68	один из	2	2
69	мы и	1	2
70	его не	1	2
71	того чтобы	1	2
72	не только	7	2
73	для него	6	2
74	человека как	1	2
75	с ним	2	2
76	на этих	2	2
77	не будет	2	2
78	ее в	2	2
79	для нас	2	2
80	и то	1	2
81	прежде всего	9	2
82	для них	1	2
83	можно было	1	2
84	и это	6	2
85	мы не	2	2
86	конечно не	6	2
87	и теперь	3	2
88	только в	4	2
89	а с	1	2
90	а в	3	2
91	в духе	1	2
92	истории и	1	2
93	и сам	1	2
94	нет и	2	2
95	это мы	1	2
96	но не	1	2
97	могут быть	3	2
98	с тем	1	2
99	одна из	1	2
100	его к	1	2
101	не могут	2	2
102	том что	3	2
103	для человека	1	2
104	но мы	4	2
105	в себя	1	2
106	нем нет	2	2
107	уже не	1	2
108	жизни но	1	1
109	и мир	1	1
110	еще так	1	1
111	в самом	2	1
112	во всем	1	1
113	бы то	1	1
114	ли они	1	1
115	мире и	1	1
116	были в	1	1
117	в образах	1	1
118	связь с	1	1
119	так ли	1	1
120	только себя	1	1
121	а потому	4	1
122	человека в	1	1
123	но как	2	1
124	мы видим	2	1
125	и быть	1	1
126	что оно	2	1
127	для нашего	1	1
128	человек был	1	1
129	и столь	1	1
130	мы скажем	1	1
131	и на	4	1
132	вопрос о	1	1
133	далее и	1	1
134	на этом	3	1
135	же и	1	1
136	может быть	17	1
137	они не	2	1
138	между собою	2	1
139	цель ее	1	1
140	современной культуры	1	1
141	не имеют	1	1
142	влечение к	1	1
143	которая в	1	1
144	мы увидим	1	1
145	и вообще	2	1
146	до времени	1	1
147	и вот	3	1
148	она не	1	1
149	уже в	1	1
150	ненависть к	2	1
151	ли так	1	1
152	есть прежде	1	1
153	в состоянии	1	1
154	с этой	2	1
155	то же	2	1
156	теперь в	1	1
157	по сравнению	3	1
158	то ни	1	1
159	для того	1	1
160	это только	1	1
161	освободиться от	1	1
162	у самого	1	1
163	этом пути	1	1
164	на два	2	1
165	утверждают что	1	1
166	что это	2	1
167	не всегда	1	1
168	в разных	1	1
169	если б	3	1
170	говорит о	1	1
171	нашего времени	2	1
172	как это	3	1
173	этот мир	1	1
174	оно ни	1	1
175	есть еще	1	1
176	искать в	1	1
177	ли это?	1	1
178	пути в	1	1
179	в которую	1	1
180	и всегда	1	1
181	в человеке	1	1
182	факт моего	1	1
183	не преодолевается	1	1
184	есть и	2	1
185	теми которые	1	1
186	в одном	3	1
187	же что	1	1
188	у нас	1	1
189	отказ от	1	1
190	в этой	4	1
191	других людей	1	1
192	в виду	1	1
193	основной вопрос	1	1
194	я не	1	1
195	уже и	1	1
196	в русском	1	1
197	у него	2	1
198	них и	1	1
199	власти и	1	1
200	не существует	2	1
201	так же	2	1
202	свободно и	1	1
203	любви к	1	1
204	не был	1	1
205	и всех	2	1
206	в своих	1	1
207	является и	1	1
208	с другой	1	1
209	конечно в	1	1
210	я в	1	1
211	и с	8	1
212	и можно	1	1
213	к ним	2	1
214	жизнь в	1	1
215	отношение к	5	1
216	жизнь как	1	1
217	в мир	2	1
218	себя с	1	1
219	эти силы	1	1
220	то и	1	1
221	и начало	1	1
222	как мы	4	1
223	из всего	1	1
224	но нет	1	1
225	бы сделать	1	1
226	пути и	1	1
227	вражда к	1	1
228	быть может	2	1
229	ничего не	1	1
230	весь мир	1	1
231	с ними	4	1
232	в сознании	1	1
233	по крайней	3	1
234	в атмосфере	1	1
235	и так	2	1
236	вместе с	3	1
237	скрыто в	1	1
238	все же	1	1
239	в одно	2	1
240	если они	1	1
241	жизни в	1	1
242	находится в	2	1
243	роль в	1	1
244	в высшую	1	1
245	можно ли	1	1
246	бы ни	1	1
247	себя и	2	1
248	и по	2	1
249	их на	1	1
250	и могут	1	1
251	менее всего	1	1
252	всем мире	1	1
253	и эта	1	1
254	к этому	2	1
255	с которым	1	1
256	этом нет	1	1
257	и внешней	1	1
258	да мы	1	1
259	это в	1	1
260	не сумеет	1	1
261	не будут	1	1
262	сравнению с	3	1
263	мира и	3	1
264	зависимости от	1	1
265	и ведет	1	1
266	есть то	1	1
267	к ее	1	1
268	он был	1	1
269	не случайно	1	1
270	и марксизм	1	1
271	их во	1	1
272	по смыслу	1	1
273	ко всякому	3	1
274	крайней мере	3	1
275	сделать это	2	1
276	и ее	4	1
277	вовсе не	1	1
278	но к	1	1
279	что на	2	1
280	это самое	1	1
281	к нему	1	1
282	в лицах	1	1
283	это желание	1	1
284	а потом	1	1
