N	2gram	Bakhtin_Fr	Analitik
1	не только	24	71
2	и в	105	66
3	в качестве	1	61
4	но и	20	57
5	в том	17	52
6	может быть	11	52
7	в этом	22	51
8	в частности	6	51
9	как и	15	50
10	и не	34	48
11	а не	1	42
12	при этом	10	40
13	том что	9	40
14	то есть	71	35
15	так и	16	35
16	в мире	1	31
17	своего рода	2	30
18	как бы	33	29
19	не может	9	29
20	а в	4	28
21	в его	24	27
22	и его	24	27
23	не в	4	26
24	но не	7	26
25	в себе	7	24
26	что в	4	22
27	и даже	10	22
28	к тому	3	22
29	в этой	11	22
30	лишь в	4	21
31	о том	5	20
32	и т.п	26	20
33	в самом	7	19
34	то же	6	19
35	в своей	8	19
36	по отношению	2	19
37	с его	9	19
38	но в	16	19
39	в то	5	18
40	отношению к	2	18
41	тем самым	1	17
42	с другой	3	17
43	только в	16	17
44	со стороны	1	17
45	или иной	5	17
46	в целом	3	17
47	что и	2	16
48	могут быть	4	16
49	то что	7	16
50	в пределах	3	16
51	и на	25	15
52	не есть	1	15
53	между тем	5	15
54	уже не	3	15
55	прежде всего	26	15
56	в сущности	20	15
57	в их	6	15
58	не менее	2	14
59	того же	1	14
60	в себя	9	14
61	той или	5	14
62	мы имеем	1	14
63	же время	5	14
64	в отличие	4	14
65	отличие от	5	14
66	далеко не	6	14
67	по себе	1	13
68	точки зрения	10	13
69	тому же	1	13
70	он не	3	13
71	ничего не	3	13
72	как раз	3	13
73	для него	12	13
74	в начале	4	13
75	и к	7	12
76	и сам	2	12
77	никогда не	11	12
78	как это	1	12
79	сводится к	1	12
80	как в	6	12
81	еще не	8	12
82	в эпизоде	2	12
83	есть не	1	12
84	в той	5	11
85	даже в	6	11
86	по своей	3	11
87	той же	1	11
88	это не	4	11
89	можно сказать	4	11
90	и как	2	11
91	во второй	2	11
92	нуждается в	1	11
93	именно в	6	10
94	все же	10	10
95	с одной	2	10
96	в произведении	1	10
97	в конце	3	10
98	было бы	4	10
99	подобно тому	2	10
100	текста и	1	10
101	и одновременно	6	10
102	отношения к	5	10
103	перед лицом	2	10
104	совпадает с	1	10
105	здесь не	3	10
106	со своей	1	10
107	особенно в	2	10
108	того или	1	10
109	и самого	1	10
110	один из	5	10
111	говорить о	1	9
112	говорит о	2	9
113	не столько	1	9
114	в результате	1	9
115	другой стороны	1	9
116	на фоне	4	9
117	одной стороны	2	9
118	том чтобы	1	9
119	в своем	11	9
120	по поводу	2	9
121	таким образом	5	9
122	во всех	13	9
123	за пределы	10	9
124	или иного	1	9
125	только не	1	9
126	имеет место	2	9
127	особого рода	1	9
128	вместе с	1	9
129	автора и	2	9
130	вступает в	1	9
131	тому как	2	9
132	того что	3	9
133	как уже	1	9
134	что касается	3	9
135	о чем	3	8
136	в игре	1	8
137	роль в	6	8
138	не всегда	1	8
139	между двумя	1	8
140	одной из	3	8
141	в контексте	1	8
142	как известно	2	8
143	о его	1	8
144	с ним	6	8
145	нашего времени	1	8
146	если бы	1	8
147	и все	7	8
148	что он	5	8
149	перед нами	1	8
150	не является	4	8
151	в основе	8	8
152	с точки	6	8
153	хотя и	4	8
154	этом отношении	5	8
155	времени и	9	8
156	он и	3	8
157	одного из	1	8
158	в году	13	7
159	восходящая к	2	7
160	во всяком	2	7
161	в противоположность	3	7
162	в другом	2	7
163	времени в	1	7
164	в одном	8	7
165	как мы	12	7
166	в нашем	3	7
167	который в	1	7
168	одна из	5	7
169	не мог	1	7
170	по преимуществу	3	7
171	как нам	1	7
172	несмотря на	5	7
173	в ее	5	7
174	у него	2	7
175	в таком	2	7
176	в свое	6	7
177	приводит к	2	7
178	свое время	5	7
179	всяком случае	2	7
180	и для	3	7
181	жизни но	2	7
182	в литературе	9	7
183	все это	16	7
184	со своим	1	7
185	однако не	1	7
186	на его	4	7
187	во времени	1	7
188	и т.д	2	7
189	себя и	2	7
190	место в	4	7
191	вплоть до	2	7
192	во всем	5	6
193	для всех	1	6
194	с самим	1	6
195	те же	1	6
196	или в	2	6
197	при всей	2	6
198	хотя бы	2	6
199	превращается в	6	6
200	вовсе не	25	6
201	из них	7	6
202	ключ к	1	6
203	не знает	6	6
204	что не	3	6
205	могла бы	2	6
206	его как	1	6
207	в силу	1	6
208	в нем	16	6
209	он был	3	6
210	на этом	2	6
211	из которых	2	6
212	не более	1	6
213	самим собой	1	6
214	от своего	2	6
215	и более	4	6
216	из этих	7	6
217	уже в	5	6
218	есть в	6	6
219	ли не	1	6
220	по его	3	6
221	должен быть	1	6
222	его в	7	6
223	же в	4	6
224	что на	1	6
225	все что	2	5
226	к числу	2	5
227	а затем	4	5
228	в состав	1	5
229	в этих	6	5
230	в них	13	5
231	на смену	1	5
232	тем что	5	5
233	в один	1	5
234	речь идет	1	5
235	в противовес	1	5
236	в котором	1	5
237	входит в	4	5
238	для того	2	5
239	для себя	1	5
240	в эту	6	5
241	к этому	2	5
242	в организации	1	5
243	и он	3	5
244	проявляется в	1	5
245	к жизни	2	5
246	ни в	1	5
247	не о	2	5
248	будто бы	1	5
249	я не	1	5
250	и до	6	5
251	но как	3	5
252	так что	1	5
253	бы быть	2	5
254	и по	3	5
255	и потому	14	5
256	с ее	3	5
257	в особенности	7	5
258	и здесь	4	5
259	не могут	4	5
260	самом деле	3	5
261	в романе	8	5
262	как о	1	5
263	жизни в	8	5
264	да и	5	5
265	в итоге	1	5
266	еще и	6	5
267	совершенно не	5	5
268	со смертью	3	5
269	что мы	2	5
270	на примере	1	5
271	он в	2	5
272	а и	2	5
273	за пределами	1	5
274	тот же	4	5
275	и смерти	6	5
276	этом случае	1	5
277	принадлежит к	1	5
278	ни с	3	5
279	мы не	1	5
280	с их	7	5
281	это всегда	2	5
282	в общем	4	5
