N	2gram	Voloshinov	UchenyiS
1	и в	16	14
2	не только	7	10
3	а не	1	10
4	и не	4	8
5	прежде всего	9	8
6	то что	3	7
7	в этом	9	7
8	не может	8	7
9	может быть	17	6
10	хотя бы	4	5
11	то же	2	5
12	художественного творчества	4	5
13	и только	9	5
14	все это	4	5
15	в конечном	3	4
16	с другой	1	4
17	в этой	4	4
18	конечном счете	2	4
19	конечно не	6	4
20	что такое	5	4
21	но и	4	4
22	к сожалению	1	3
23	бы то	1	3
24	было бы	2	3
25	и то	1	3
26	и т.д	1	3
27	для этого	2	3
28	как и	2	3
29	то ни	1	3
30	для него	6	3
31	в своей	2	3
32	все же	1	3
33	ни было	2	3
34	в области	3	3
35	в частности	2	3
36	у нас	1	3
37	не следует	1	3
38	но в	4	3
39	художественной формы	1	2
40	таким образом	9	2
41	в самом	2	2
42	его и	1	2
43	если бы	1	2
44	самом деле	6	2
45	могут быть	3	2
46	это было	1	2
47	для всех	4	2
48	и с	8	2
49	до сих	3	2
50	же самое	1	2
51	крайней мере	3	2
52	но не	1	2
53	форму и	1	2
54	мы и	1	2
55	в его	4	2
56	в конце	1	2
57	т.е в	2	2
58	даже и	1	2
59	мы не	2	2
60	ничего не	1	2
61	что она	1	2
62	не есть	2	2
63	что он	2	2
64	при таком	1	2
65	этом отношении	1	2
66	как раз	1	2
67	в некоторых	1	2
68	не могут	2	2
69	что мы	2	2
70	сводится к	2	2
71	в том	3	2
72	это уже	1	2
73	том что	3	2
74	и через	2	2
75	нас в	1	2
76	но это	2	2
77	этом смысле	3	2
78	но даже	1	2
79	и для	2	2
80	в итоге	2	2
81	что и	2	2
82	не случайно	1	2
83	конечно нет	1	2
84	с его	7	2
85	на первый	2	2
86	сих пор	3	2
87	по крайней	3	2
88	только в	4	2
89	формы и	1	2
90	первый взгляд	1	1
91	счете только	1	1
92	что было	1	1
93	что в	3	1
94	и даже	4	1
95	связанных с	2	1
96	первый план	1	1
97	мы полагаем	3	1
98	и потому	3	1
99	в свое	2	1
100	все и	2	1
101	имеем в	1	1
102	можно сказать	4	1
103	мы можем	9	1
104	мнению не	1	1
105	из цельного	1	1
106	что же	1	1
107	в данном	1	1
108	и быть	1	1
109	а для	1	1
110	нет и	2	1
111	наука о	1	1
112	как на	1	1
113	что никакого	1	1
114	это содержание	1	1
115	быть не	1	1
116	только одним	1	1
117	философские социальные	1	1
118	и все	4	1
119	что угодно	1	1
120	к изучению	1	1
121	же как	2	1
122	сказать что	7	1
123	как нам	1	1
124	к следующему	2	1
125	и эта	1	1
126	данном случае	1	1
127	он будет	1	1
128	об ее	1	1
129	и др	3	1
130	и содержание	2	1
131	своем месте	1	1
132	и действительно	2	1
133	психики и	1	1
134	почти не	2	1
135	отсюда и	1	1
136	то и	1	1
137	него уже	1	1
138	она не	1	1
139	заслуги конечно	1	1
140	в течение	1	1
141	но именно	1	1
142	тогда когда	1	1
143	с тем	1	1
144	входит в	1	1
145	только как	3	1
146	что только	1	1
147	только при	1	1
148	еще одно	1	1
149	одной стороны	1	1
150	представлений и	3	1
151	находит себе	1	1
152	мы имеем	1	1
153	те основные	1	1
154	он прежде	1	1
155	этой же	1	1
156	то содержание	1	1
157	что по	1	1
158	их в	3	1
159	же в	1	1
160	он может	1	1
161	в ней	1	1
162	без точного	1	1
163	где же	1	1
164	теории и	1	1
165	в порядке	1	1
166	даже не	3	1
167	и так	2	1
168	и прежде	1	1
169	довести до	1	1
170	а это	1	1
171	в этот	2	1
172	связанные с	2	1
173	в период	1	1
174	но если	1	1
175	это же	1	1
176	бы ни	1	1
177	только для	5	1
178	не входит	1	1
179	по мнению	1	1
180	к этому	2	1
181	полагаем что	3	1
182	так и	4	1
183	о нем	1	1
184	метода в	1	1
185	вообще по	1	1
186	друг с	1	1
187	это в	1	1
188	ее в	2	1
189	отнюдь не	4	1
190	и вся	2	1
191	в качестве	1	1
192	в нем	4	1
193	именно этот	1	1
194	он не	2	1
195	все что	4	1
196	мы снова	1	1
197	на его	1	1
198	есть ли	1	1
199	и что	1	1
200	что для	1	1
201	отказ от	1	1
202	и это	6	1
203	методом и	1	1
204	с одной	1	1
205	с другом	1	1
206	он был	1	1
207	на своем	1	1
208	за пределы	2	1
209	и делает	1	1
210	что при	1	1
211	точно и	1	1
212	в виду	1	1
213	деле есть	1	1
214	в пределах	2	1
215	тот же	1	1
216	уже не	1	1
217	о том	2	1
218	по его	1	1
219	эта работа	1	1
220	искусства в	1	1
221	у него	2	1
222	друг другу	1	1
223	как таковым	1	1
224	не существует	2	1
225	той же	1	1
226	приводит к	1	1
227	никогда не	2	1
228	представлениями и	2	1
229	человека и	1	1
