N	3gram	Tiupa_Vved	NovoeSre
1	в высшей степени	2	6
2	не может быть	6	4
3	подобно тому как	3	3
4	в наше время	1	3
5	ни одна из	1	2
6	совсем не в	1	2
7	так же как	1	2
8	в этом смысле	1	2
9	он не может	1	2
10	с одной стороны	9	2
11	с другой стороны	2	2
12	никогда не было	1	2
13	сами по себе	1	1
14	в том что	10	1
15	не в том	3	1
16	не в духе	1	1
17	в этой системе	1	1
18	и в жизни	2	1
19	как будто бы	3	1
20	в последние годы	1	1
21	изнутри а не	1	1
22	и для другого	1	1
23	в зависимости от	1	1
24	слова а не	1	1
25	что он может	1	1
26	по своей природе	2	1
27	том числе и	1	1
28	можно было бы	2	1
29	то что он	1	1
30	только потому что	1	1
31	не только в	3	1
32	но и в	3	1
33	несоизмеримо более высокой	1	1
34	в том чтобы	2	1
35	не было и	2	1
36	в том смысле	1	1
37	в отличие от	11	1
38	в значительной степени	2	1
39	в нем не	1	1
40	о том что	6	1
41	же как и	1	1
42	и того же	1	1
43	в нее входит	1	1
44	заключает в себе	4	1
45	а не в	1	1
46	как и в	2	1
47	а не с	1	1
48	во всяком случае	3	1
49	для себя и	1	1
50	нового времени и	1	1
51	к одному из	1	1
52	в том числе	1	1
53	не хотят знать	2	1
54	а не к	1	1
55	имея в виду	1	1
56	это и есть	1	1
57	не может принадлежать	1	1
58	они не хотят	1	1
59	по природе своей	2	1
60	в известном смысле	1	1
61	и мы не	1	1
62	и не может	1	1
63	одного и того	1	1
64	к жизни и	1	1
65	может быть только	1	1
