N	2gram	Berdyaev_M	VLabPisa
1	в этом	34	29
2	не только	42	26
3	и в	61	26
4	и т	1	25
5	может быть	42	23
6	и не	26	20
7	хотя бы	8	20
8	т е	5	18
9	не может	39	17
10	в письме	1	16
11	в его	10	15
12	в том	9	15
13	этом отношении	1	14
14	в силу	1	14
15	все это	6	13
16	прежде всего	18	13
17	л толстой	2	12
18	письме к	1	12
19	в частности	1	12
20	что в	12	11
21	с другой	1	11
22	то же	4	10
23	не могут	6	10
24	о том	5	10
25	но и	34	10
26	и др	1	10
27	для него	28	9
28	об этом	2	9
29	он пишет	1	9
30	т п	1	9
31	к этому	3	9
32	могут быть	2	8
33	творчества в	1	8
34	только в	7	8
35	все эти	3	8
36	вместе с	7	8
37	том что	7	8
38	было бы	11	8
39	в своем	17	8
40	вот например	1	7
41	произведения и	1	7
42	это не	10	7
43	говорит о	1	7
44	не было	25	7
45	по отношению	4	7
46	тому что	2	7
47	как и	14	7
48	их в	1	7
49	во всех	3	7
50	а не	36	7
51	то что	10	7
52	отношению к	4	7
53	в нем	26	7
54	творческих сил	1	6
55	один из	9	6
56	у него	38	6
57	все же	2	6
58	приводит к	2	6
59	идеи и	2	6
60	это и	7	6
61	бы и	8	6
62	он же	3	6
63	в искусстве	1	6
64	не в	16	6
65	между тем	2	6
66	художественном творчестве	1	6
67	так и	5	6
68	в себе	12	6
69	в зависимости	1	6
70	л толстого	3	6
71	и его	13	6
72	в то	2	6
73	в их	4	5
74	в них	5	5
75	одним из	2	5
76	как говорит	1	5
77	зависимости от	1	5
78	к тому	6	5
79	действующих лиц	1	5
80	для художника	1	5
81	вот наконец	1	5
82	в одном	1	5
83	в пределах	1	5
84	как бы	10	5
85	сказать что	5	5
86	в плане	1	5
87	и есть	21	5
88	никогда не	30	5
89	в самом	15	4
90	ее в	1	4
91	только что	1	4
92	в ее	3	4
93	в этой	12	4
94	что все	5	4
95	что он	16	4
96	в виду	2	4
97	с тем	10	4
98	в своей	18	4
99	одном из	1	4
100	роль в	2	4
101	должен быть	4	4
102	с его	6	4
103	в философии	1	4
104	когда он	3	4
105	в нашей	1	4
106	их и	1	4
107	в творческой	1	4
108	них не	1	4
109	рассказывает о	1	4
110	по поводу	1	4
111	пишет в	1	4
112	во время	1	4
113	и ее	2	4
114	и к	9	3
115	что они	4	3
