N	4gram	Nazirov_Tv	Psycholo
1	заключается в том что	1	23
2	не что иное как	1	6
3	так же как и	1	5
4	а с другой стороны	1	4
5	все более и более	1	4
6	в том что в	3	4
7	одного и того же	1	4
8	одна и та же	1	4
9	в то же время	18	3
10	ответ на этот вопрос	1	3
11	дело в том что	4	3
12	в полном согласии с	1	3
13	с такой силой как	1	2
14	отнюдь не означает что	1	2
15	это имеет место в	1	2
16	с другой стороны и	1	2
17	т д все это	1	2
18	и в свою очередь	1	2
19	сами по себе не	1	2
20	и не может быть	2	2
21	и т д все	1	2
22	и тем не менее	1	2
23	и т д и	1	2
24	т д и т	1	2
25	бы то ни было	1	2
26	или во всяком случае	1	2
27	и та же самая	1	2
28	д и т д	1	2
29	по себе не являются	1	1
30	равно как и на	1	1
31	это еще не все	1	1
32	на то чтобы вызвать	1	1
33	мы уже говорили о	1	1
34	всего романа в целом	1	1
35	все время видим что	1	1
36	это объясняется тем что	1	1
37	то же время резко	1	1
38	что у него есть	1	1
39	как мы узнаем в	1	1
40	а не то что	1	1
41	где он говорит о	1	1
42	мы знаем что она	1	1
43	и в романе мы	1	1
44	в конечном счете и	1	1
45	в таком случае это	1	1
46	в одном из писем	1	1
47	ясно как день что	1	1
48	ни в чем не	1	1
49	это означало бы что	1	1
50	ведет к тому что	1	1
51	мы все время видим	1	1
52	в том числе и	1	1
53	столь же ясно что	1	1
54	и мы знаем что	1	1
55	мы уже говорили что	1	1
56	но в таком случае	1	1
57	которые сами по себе	1	1
58	как это имеет место	1	1
59	одну и ту же	1	1
60	в целом ряде случаев	1	1
61	то это означало бы	1	1
62	не странно ли что	1	1
63	что у нас не	1	1
64	и т п эта	1	1
