N	4gram	Vygotskiy_	SlovoVZh
1	дело в том что	2	4
2	так как если бы	1	4
3	бы то ни было	1	3
4	но тем не менее	1	2
5	с одной стороны и	3	2
6	одно и то же	2	2
7	на самом же деле	1	1
8	в зависимости от того	1	1
9	в том что в	1	1
10	все более и более	3	1
11	они выражают не только	1	1
12	так же как и	4	1
13	в то время как	4	1
14	мы имеем в виду	1	1
15	даже тогда когда он	1	1
16	если мы обратимся к	1	1
17	ни в коем случае	1	1
18	только то что мы	1	1
19	то же время не	1	1
20	с другой стороны как	1	1
21	в то же время	1	1
22	и с другой стороны	1	1
23	еще один чрезвычайно важный	1	1
24	один и тот же	1	1
25	находит свое выражение в	1	1
26	к тому же самому	1	1
