N	2gram	Tiupa_Narr	Tvorches
1	и в	22	56
2	как бы	11	41
3	в его	12	37
4	в романе	3	34
5	в то	9	30
6	м м	1	26
7	то же	12	25
8	в году	2	24
9	не только	50	24
10	же время	7	24
11	но в	10	24
12	как и	15	23
13	то есть	15	23
14	и не	34	23
15	а в	19	23
16	и его	12	23
17	в этом	23	22
18	и т	3	22
19	что в	6	21
20	в том	20	21
21	он не	8	19
22	том что	15	19
23	может быть	24	19
24	потому что	7	19
25	у него	13	18
26	то что	14	18
27	таким образом	5	17
28	и на	5	17
29	что он	7	17
30	т д	1	17
31	все это	1	17
32	при этом	31	16
33	но и	39	16
34	никогда не	8	16
35	как в	9	16
36	в творчестве	1	16
37	прежде всего	7	16
38	не может	16	16
39	и с	3	15
40	xix века	1	15
41	в мире	8	15
42	но это	2	15
43	в этой	8	15
44	с его	6	15
45	и даже	4	14
46	это не	6	14
47	о том	5	13
48	времени в	3	13
49	преступление и	1	13
50	а не	27	13
51	в котором	3	12
52	же с	1	12
53	тем самым	9	12
54	в целом	5	12
55	в своей	8	11
56	все же	10	11
57	отнюдь не	6	11
58	для него	8	11
59	в самом	8	10
60	он сам	4	10
61	в русской	3	10
62	не в	12	10
63	в конце	4	10
64	только в	23	10
65	когда он	1	10
66	и наказание	1	10
67	уже в	1	10
68	так и	12	10
69	но не	7	10
70	как будто	4	10
71	в душе	3	9
72	в своих	2	9
73	наряду с	2	9
74	по природе	1	9
75	по мнению	2	9
76	и от	3	9
77	один из	8	9
78	жизни в	7	9
79	в свою	4	9
80	человека в	2	9
81	в нем	9	9
82	во многом	1	9
83	даже в	1	8
84	именно в	5	8
85	в соответствии	8	8
86	не менее	6	8
87	так же	2	8
88	к этому	2	8
89	хотя и	8	8
90	одним из	2	8
91	это уже	3	8
92	вместе с	3	8
93	тогда как	23	8
94	соответствии с	7	8
95	одной из	2	8
96	еще не	6	8
97	в себе	14	8
98	так как	1	8
99	в их	1	8
100	об этом	8	8
101	вовсе не	2	8
102	по сути	3	8
103	в лице	1	8
104	русской литературе	1	7
105	в этих	3	7
106	и сам	4	7
107	например в	2	7
108	уже не	11	7
109	казалось бы	2	7
110	за собой	1	7
111	что она	3	7
112	и он	8	7
113	в которой	2	7
114	в чем	3	7
115	в рассказе	10	7
116	не случайно	2	7
117	своего рода	17	7
118	достоевского и	2	7
119	самом деле	4	7
120	сути дела	2	7
121	во сне	4	7
122	читателя в	4	7
123	в момент	1	6
124	еще более	1	6
125	в принципе	6	6
126	не столько	2	6
127	и как	4	6
128	конечном счете	4	6
129	на эту	1	6
130	но у	1	6
131	хотя бы	4	6
132	одна из	5	6
133	его в	1	6
134	в конечном	6	6
135	так что	1	6
136	и ее	3	6
137	а потому	2	6
138	героя в	6	6
139	своих героев	2	6
140	с ним	6	6
141	если бы	9	6
142	и все	7	6
143	приводит к	2	6
144	в книге	1	6
145	в повести	2	6
146	все эти	3	6
147	ли не	3	6
148	xx века	1	6
149	в бытовой	1	6
150	место в	3	6
151	более не	3	5
152	из всех	1	5
153	мысли и	1	5
154	что человек	1	5
155	быть может	1	5
156	что этот	1	5
157	с другой	6	5
158	больше не	1	5
159	по отношению	5	5
160	как правило	8	5
161	в своем	7	5
162	все время	2	5
163	из них	4	5
164	что они	1	5
165	что у	6	5
166	на него	4	5
167	в ее	4	5
168	что и	3	5
169	не было	3	5
170	что не	2	5
171	в таком	4	5
172	я не	5	5
173	и у	4	5
174	а с	2	5
175	героя и	4	5
176	что это	4	5
177	т п	2	5
178	если не	4	5
179	между тем	5	5
180	в первой	3	5
181	дело не	3	5
182	однако это	1	5
183	та же	2	5
184	с этим	1	5
185	самим собой	3	5
186	в творческом	1	5
187	это все	1	5
188	так достоевский	1	5
189	начиная с	3	5
190	до конца	2	5
191	в образе	1	5
192	тот же	1	5
193	ничего не	8	5
194	мы не	5	5
195	в литературе	8	5
196	как у	6	5
197	бы не	1	5
198	в виде	2	5
199	но с	1	5
200	и по	3	5
