N	2gram	Savitsky_P	KulturaY
1	и т	3	143
2	т е	3	102
3	и в	14	84
4	в том	9	74
5	потому что	3	68
6	не только	17	60
7	точки зрения	3	59
8	в этом	10	57
9	было бы	6	53
10	и не	12	52
11	может быть	5	47
12	что в	4	44
13	том что	4	44
14	того чтобы	1	44
15	т д	1	42
16	в самом	1	41
17	для того	3	41
18	хотя бы	8	37
19	с точки	3	36
20	в области	11	34
21	а не	2	33
22	если бы	4	32
23	не в	5	30
24	и пр	5	30
25	в его	2	30
26	прежде всего	3	30
27	все же	1	29
28	не менее	2	28
29	того что	2	28
30	в силу	2	26
31	то что	4	25
32	не может	4	25
33	вопрос о	1	24
34	с другой	5	24
35	еще не	1	24
36	то же	9	23
37	только в	7	23
38	иными словами	1	22
39	по себе	4	20
40	во всяком	1	20
41	и что	1	20
42	но и	6	20
43	всяком случае	1	19
44	но в	9	19
45	и с	2	18
46	с тем	3	18
47	в качестве	9	18
48	между тем	3	18
49	вместе с	1	18
50	как бы	4	18
51	все это	2	18
52	можно говорить	1	17
53	другой стороны	1	17
54	что это	1	17
55	как раз	2	17
56	это не	3	17
57	что и	1	16
58	что не	1	16
59	тот же	3	16
60	в русском	2	16
61	но не	3	16
62	именно в	2	15
63	в данном	1	15
64	как на	2	15
65	не было	2	15
66	и тем	2	15
67	ни к	1	15
68	а в	4	15
69	должно быть	2	15
70	в них	2	14
71	и на	1	14
72	хотя и	3	14
73	в ней	6	14
74	если мы	1	14
75	также и	1	14
76	между прочим	2	13
77	в этой	1	13
78	там где	1	13
79	в которых	5	13
80	для нас	2	13
81	в пределах	8	13
82	говорить о	2	12
83	в результате	1	12
84	но также	4	12
85	ясно что	1	12
86	могут быть	3	12
87	тогда когда	1	12
88	в рамках	1	12
89	для этого	1	12
90	те же	1	11
91	должен быть	1	11
92	в своем	4	11
93	в нем	3	11
94	и здесь	1	11
95	должна быть	1	11
96	и то	1	11
97	из этих	1	11
98	и если	4	11
99	уже в	1	11
100	в какой	1	11
101	или иной	1	11
102	как и	1	10
103	так же	1	10
104	этом смысле	1	10
105	не просто	1	10
106	в общем	2	10
107	в то	7	10
108	со стороны	2	10
109	в каком	1	10
110	с этим	2	10
111	они не	1	10
112	бы и	1	10
113	на фоне	1	10
114	тем более	2	10
115	тем самым	3	10
116	что все	1	9
117	xix века	6	9
118	в которой	1	9
119	но для	1	9
120	и есть	2	9
121	не имеет	1	9
122	что мы	3	9
123	и вот	2	9
124	а также	4	9
125	ли не	1	9
126	на то	1	9
127	в этих	1	8
128	по преимуществу	1	8
129	с одной	3	8
130	не есть	1	8
131	отнюдь не	2	8
132	в статье	2	8
133	заключается в	3	8
134	да и	2	8
135	тех пор	1	8
136	с его	1	8
137	и как	3	8
138	в частности	2	8
139	далеко не	1	8
140	и о	5	8
141	же в	4	8
142	само по	1	8
143	например в	2	7
144	казалось бы	1	7
145	в котором	4	7
146	пор пока	1	7
147	а с	1	7
148	столь же	3	7
149	чуть ли	1	7
150	одной стороны	3	7
151	никак не	2	7
152	сводится к	3	7
153	с ними	3	7
154	и более	1	7
155	в истории	1	7
156	в г	1	7
157	есть в	2	7
158	нисколько не	1	7
159	не все	1	7
160	и потому	4	7
161	до тех	1	7
162	она не	1	7
163	только как	1	7
164	были бы	1	6
165	только что	1	6
166	на этой	1	6
167	что именно	1	6
168	она есть	3	6
169	гораздо более	1	6
170	мы знаем	1	6
171	в ее	2	6
172	не столько	2	6
173	прежде чем	1	6
174	и именно	1	6
175	могли бы	1	6
176	так называемые	2	6
177	главным образом	2	6
178	на основе	1	6
179	когда в	1	6
180	что если	1	6
181	же время	7	6
182	в отличие	1	6
183	в сфере	2	6
184	тем же	1	6
185	в себе	3	6
186	что оно	1	6
187	мы не	3	6
188	что с	1	6
189	отличие от	1	6
190	не с	1	6
191	только то	1	6
192	как к	1	6
193	на себя	1	6
194	и к	4	5
195	еще более	2	5
196	формы в	1	5
197	не как	1	5
198	более или	1	5
199	связь между	1	5
200	и еще	1	5
201	вопросу о	1	5
202	никогда не	1	5
203	время в	2	5
204	я и	3	5
205	но как	1	5
206	в современной	1	5
207	в иных	1	5
208	также что	1	5
209	и при	1	5
210	в отношении	10	5
211	конечно и	1	5
212	о котором	1	5
213	переход от	2	5
214	не будем	2	5
215	более что	1	5
216	или менее	1	5
217	русской культуры	1	5
218	мы должны	4	5
219	и только	1	5
220	вопросом о	1	5
221	есть не	2	5
222	е с	6	4
223	мы и	1	4
224	одно из	1	4
225	эта не	1	4
226	иначе как	1	4
227	и где	1	4
228	к этой	1	4
