N	3gram	Voloshinov	VLabPisa
1	в этом отношении	1	14
2	не может быть	4	8
3	с другой стороны	2	8
4	по отношению к	3	7
5	более или менее	1	6
6	в том что	2	5
7	в конечном счете	1	5
8	в зависимости от	2	5
9	в то же	1	5
10	то же время	1	5
11	равно как и	1	4
12	не было бы	1	4
13	в связи с	1	4
14	к тому что	1	4
15	в значительной мере	1	3
16	для того чтобы	1	3
17	подобно тому как	1	3
18	хотя бы в	1	3
19	та или иная	1	3
20	в чем же	1	2
21	этой точки зрения	1	2
22	следует иметь в	1	2
23	прежде всего не	1	2
24	чуть ли не	1	2
25	иметь в виду	1	2
26	в каждом отдельном	1	2
27	и никогда не	1	2
28	только то что	1	2
29	в другом месте	1	2
30	с одной стороны	2	2
31	можно было бы	1	2
32	и не может	1	2
33	так же как	1	1
34	является таким образом	1	1
35	того или иного	2	1
36	все то что	1	1
37	между собою и	1	1
38	на то что	1	1
39	его роль в	1	1
40	речь может идти	1	1
41	мышления в его	1	1
42	с его точки	1	1
43	ту или иную	1	1
44	с этой точки	1	1
45	то что в	1	1
46	в самом деле	2	1
47	стадиях своего развития	1	1
48	далеко не всегда	1	1
49	тех или иных	1	1
50	и то же	2	1
51	в процессе творчества	1	1
52	по мере возможности	1	1
53	не чем иным	2	1
54	художественного произведения и	1	1
55	идти только о	1	1
56	ничего общего с	2	1
57	и в их	1	1
58	как это обычно	1	1
59	его точки зрения	1	1
60	есть одно и	1	1
61	одно и то	3	1
62	но в то	1	1
63	выйти за пределы	1	1
64	богаче и сложнее	1	1
65	то или иное	1	1
66	и вместе с	1	1
67	быть и речи	1	1
68	в данном случае	2	1
69	он и не	1	1
70	мы полагаем что	1	1
71	может идти только	1	1
72	чем иным как	2	1
73	то же самое	1	1
74	и сводится к	1	1
75	и в каждой	1	1
76	словесного материала в	1	1
77	в последнем счете	1	1
78	в виду что	1	1
79	нет и не	1	1
80	об этом говорит	1	1
81	материала в зависимости	1	1
82	те или иные	1	1
83	является не чем	1	1
84	может быть и	1	1
