N	3gram	Tiupa_Disk	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	12	7
3	с точки зрения	3	6
4	во всяком случае	2	6
5	по крайней мере	3	5
6	а с другой	4	5
7	до сих пор	1	5
8	в том числе	3	5
9	более или менее	2	5
10	том числе и	3	4
11	но все же	1	4
12	о том что	8	4
13	к тому же	4	4
14	в том что	18	3
15	в связи с	1	3
16	тем не менее	1	3
17	и потому что	1	2
18	той или иной	6	2
19	на то что	1	2
20	с самого начала	2	2
21	заключает в себе	1	2
22	то же самое	2	2
23	так и от	1	2
24	к одной из	1	2
25	можно сказать что	3	2
26	в этом отношении	4	2
27	то же время	9	2
28	в то же	7	2
29	друг на друга	1	2
30	сами по себе	2	1
31	так и в	4	1
32	жизни то есть	1	1
33	на каждом шагу	1	1
34	но при этом	3	1
35	потому что в	2	1
36	в этот период	1	1
37	самое следует сказать	1	1
38	в свою очередь	3	1
39	точки зрения представляет	1	1
40	же самое следует	1	1
41	может и не	1	1
42	и том же	1	1
43	речь идет о	2	1
44	в этом направлении	1	1
45	он как бы	1	1
46	из одного и	1	1
47	к чему не	1	1
48	но для этого	1	1
49	зрения представляет собой	1	1
50	до известной степени	2	1
51	в соответствии с	4	1
52	не может быть	5	1
53	к богу и	1	1
54	по отношению к	13	1
55	и в то	2	1
56	данном случае мы	1	1
57	в данном случае	6	1
58	в том или	1	1
59	и все же	3	1
60	не только от	1	1
61	из двух или	1	1
62	в отличие от	12	1
63	а в том	2	1
64	следует сказать и	1	1
65	а не как	2	1
66	до настоящего времени	1	1
67	в себе не	2	1
68	которые представляли собой	1	1
69	с ней и	1	1
70	в первую очередь	3	1
71	но и от	1	1
72	одно из двух	1	1
73	тем или иным	1	1
74	и того же	4	1
75	как и ее	1	1
76	случае мы имеем	1	1
77	в xvii веке	1	1
78	том или ином	1	1
79	может быть в	1	1
80	в самом деле	1	1
81	в котором он	1	1
82	но далеко не	1	1
83	в таком случае	1	1
84	или по крайней	1	1
85	в общих чертах	1	1
86	но и потому	1	1
87	состоит в том	3	1
88	несмотря на все	1	1
89	только то что	2	1
90	лицом к лицу	2	1
91	сказать и о	2	1
92	в котором они	1	1
93	с другой стороны	4	1
94	к мысли о	1	1
95	о том как	1	1
96	не в том	3	1
97	ни к чему	1	1
98	одном и том	1	1
99	свидетельствует о том	1	1
100	к лицу с	2	1
101	не совпадает с	1	1
102	это и есть	1	1
103	отличается не только	1	1
104	добра и зла	1	1
105	одного и того	4	1
106	в этом последнем	1	1
107	ему в этом	1	1
108	о мире как	1	1
