N	3gram	Voloshinov	NovoeSre
1	в высшей степени	1	6
2	не может быть	7	4
3	со всех сторон	1	3
4	подобно тому как	1	3
5	в том и	1	2
6	равно как и	1	2
7	так же как	1	2
8	в этом смысле	1	2
9	с одной стороны	2	2
10	с другой стороны	2	2
11	в свои права	1	2
12	она не может	1	2
13	сами по себе	1	1
14	мы отлично знаем	1	1
15	в том что	4	1
16	до сих пор	3	1
17	должна быть понята	1	1
18	в такой же	2	1
19	и в истории	1	1
20	в зависимости от	2	1
21	на протяжении всей	1	1
22	самом себе и	1	1
23	но для этого	1	1
24	можно было бы	1	1
25	и в формах	1	1
26	но и в	1	1
27	в значительной степени	1	1
28	о том что	1	1
29	же как и	1	1
30	как и в	1	1
31	и не в	3	1
32	во всяком случае	1	1
33	вступает в свои	1	1
34	к вопросу о	1	1
35	а не к	1	1
36	в то время	1	1
37	не должно быть	1	1
38	то время как	1	1
39	ни в чем	1	1
40	и не может	3	1
41	может быть только	1	1
