N	3gram	Tiupa_Hudo	Hudozhes
1	по отношению к	15	10
2	не сводится к	1	9
3	в том что	15	8
4	присутствия в мире	1	7
5	в то же	11	7
6	в отличие от	1	7
7	то же время	11	7
8	с другой стороны	1	6
9	более или менее	1	6
10	той или иной	1	5
11	в конечном счете	4	5
12	для того чтобы	2	5
13	состоит в том	3	5
14	так или иначе	3	4
15	того или иного	4	4
16	не может быть	5	4
17	факторов художественного впечатления	1	4
18	так и не	3	4
19	роли в миропорядке	2	4
20	с точки зрения	5	3
21	в этом смысле	1	3
22	и в самом	4	3
23	в том числе	1	3
24	тем не менее	6	3
25	можно сказать что	1	3
26	подобно тому как	4	3
27	несет в себе	4	3
28	по сути дела	2	3
29	в связи с	3	3
30	с одной стороны	4	3
31	тот или иной	1	3
32	в свою очередь	1	2
33	бы то ни	1	2
34	до известной степени	1	2
35	в русской литературе	3	2
36	причастной вненаходимости бахтин	1	2
37	это своего рода	2	2
38	себя в другом	2	2
39	этой точки зрения	1	2
40	ту или иную	2	2
41	в том и	1	2
42	с этой точки	1	2
43	в самом деле	5	2
44	в таком случае	1	2
45	том и состоит	1	2
46	по своей природе	2	2
47	том числе и	1	2
48	до прихода в	1	2
49	и в то	2	2
50	а с другой	1	2
51	не могло быть	1	2
52	том что он	1	2
53	на наших глазах	1	2
54	художественного мышления и	1	2
55	как уже говорилось	1	2
56	к тому что	8	2
57	в известном смысле	1	2
58	приводит к тому	2	2
59	в равной степени	1	2
60	в значительной степени	3	2
61	мы имеем дело	1	2
62	с кротким мягким	1	1
63	точно так же	1	1
64	что он не	3	1
65	во времени или	1	1
66	на вопрос что	1	1
67	облекается в молчание	1	1
68	в литературе в	1	1
69	и личностного самоопределения	1	1
70	целостности произведений искусства	1	1
71	в миропорядке то	1	1
72	раз в том	1	1
73	в рассказе душечка	1	1
74	героев дамы с	1	1
75	и потому что	1	1
76	человека и его	1	1
77	в последней главе	1	1
78	не для себя	1	1
79	строгом нерасширительном значении	1	1
80	культуры художественного восприятия	2	1
81	по себе а	1	1
82	вследствие того что	1	1
83	если говорить о	2	1
84	и который в	1	1
85	как персонаж сатирический	1	1
86	внешней данности их	1	1
87	с собачкой и	3	1
88	темной родинкой и	1	1
89	в соответствии с	1	1
90	а всего лишь	2	1
91	была тихая добродушная	1	1
92	к чужому слову	1	1
93	та или иная	4	1
94	состоит что он	1	1
95	заключает в себе	1	1
96	и поэтому не	1	1
97	состоит как раз	1	1
98	для себя а	1	1
99	в котором по	1	1
100	в противоречие с	2	1
101	как субъекты этического	1	1
102	дамы с собачкой	5	1
103	и несет в	1	1
104	заключается в том	1	1
105	из этих двух	1	1
106	в самом начале	1	1
107	в мире я	1	1
108	при этом что	1	1
109	дает ключ к	1	1
110	о том что	14	1
111	то или иное	1	1
112	оказывается не столько	1	1
113	личности в отношении	1	1
114	в эстетическое отношение	1	1
115	таков что душевная	1	1
116	специфически человеческий способ	1	1
117	барышня с кротким	1	1
118	в разладе со	1	1
119	в русской культуре	1	1
120	взглядом очень здоровая	1	1
121	в свое время	1	1
122	одной стороны и	1	1
123	себя а для	1	1
124	внутреннего мира личности	1	1
125	в себе и	1	1
126	как и в	5	1
127	что одна из	1	1
128	для себя и	1	1
129	с самим собою	1	1
130	к одному из	1	1
131	не в состоянии	1	1
132	нами не как	1	1
133	уходит своими корнями	1	1
134	в своей эстетической	1	1
135	как впрочем и	1	1
136	связи с этим	2	1
137	друг от друга	2	1
138	в настоящее время	1	1
139	при этом не	1	1
140	на всех людей	1	1
141	иной эстетической природы	1	1
142	добродушная жалостливая барышня	1	1
143	в себя и	1	1
144	к чужому я	2	1
145	не несет в	1	1
146	глядя на ее	1	1
147	том что она	1	1
148	во времени и	1	1
149	в аспекте его	1	1
150	литературного произведения не	1	1
151	на ее полные	1	1
152	но как субъекты	1	1
153	об этом так	1	1
154	в другом и	1	1
155	жалостливая барышня с	1	1
156	некий нравственный закон	1	1
157	текста характеризующийся единством	1	1
158	в нашем примере	1	1
159	именно в этом	1	1
160	в одной из	1	1
161	в том случае	2	1
162	и не могла	1	1
163	у нее нет	1	1
164	именно потому что	1	1
165	а также в	1	1
166	вступает в противоречие	1	1
167	в иных случаях	1	1
168	не как объекты	1	1
