N	3gram	Losev_Prob	Otkroven
1	в записках из	1	3
2	для того чтобы	9	3
3	записках из подполья	1	3
4	с разных сторон	1	2
5	сказать что они	1	2
6	не могут быть	1	2
7	с тем что	2	2
8	а не в	1	2
9	не может быть	5	2
10	что же это	1	2
11	ли сказать что	3	2
12	же это за	1	2
13	но и в	3	2
14	можно ли сказать	3	2
15	это было бы	2	2
16	и в этом	5	2
17	в самом начале	1	1
18	вовсе не так	1	1
19	сам по себе	7	1
20	в вечном муже	1	1
21	хотя и не	2	1
22	и не быть	1	1
23	о том что	16	1
24	иван карамазов есть	1	1
25	в том что	7	1
26	в обычном смысле	1	1
27	и не очень	1	1
28	есть не только	1	1
29	в одно время	1	1
30	в том случае	2	1
31	что во всяком	1	1
32	и то что	9	1
33	действующих лиц в	1	1
34	преступление и наказание	1	1
35	в этих словах	1	1
36	потому что ведь	1	1
37	как и в	1	1
38	вот оказывается что	1	1
39	то что в	4	1
40	не есть просто	2	1
41	и для человеческого	1	1
42	в самом деле	4	1
43	уже сам по	1	1
44	том случае если	1	1
45	а вовсе не	1	1
46	как будто бы	4	1
47	хотя бы даже	2	1
48	во всяком случае	11	1
49	это должно быть	1	1
50	в братьях карамазовых	1	1
51	и в самом	2	1
52	от человека к	1	1
53	ни к каким	1	1
54	все еще не	1	1
55	и в его	2	1
56	него всегда есть	1	1
57	ни с чем	1	1
58	обычном смысле слова	1	1
59	о том как	2	1
60	само по себе	1	1
61	в этом отношении	2	1
62	что это за	1	1
63	да и то	2	1
64	есть одно из	1	1
65	а не только	2	1
66	на то что	12	1
67	или лучше сказать	1	1
68	от того что	1	1
69	том что в	2	1
70	вещей и предметов	1	1
71	и в том	1	1
72	не было и	1	1
73	все что было	1	1
74	хотя бы самый	1	1
75	даже и в	3	1
76	о человеке ни	1	1
77	и не может	1	1
78	друг к другу	2	1
