N	2gram	Medvedev_I	VrazhdaK
1	достоевского с	1	9
2	в этом	2	8
3	и в	1	8
4	что в	2	7
5	к достоевскому	1	6
6	и с	3	6
7	и не	2	5
8	все это	1	4
9	во многом	1	4
10	я не	1	3
11	тем что	1	3
12	он не	2	3
13	и о	1	3
14	из подполья	1	3
15	для него	1	2
16	за границей	1	2
17	в них	1	2
18	и наказания	1	2
19	а также	1	2
20	в эту	1	2
21	а с	1	2
22	и дети	1	2
23	после смерти	1	2
24	о достоевском	2	2
25	а в	1	2
26	никогда не	1	2
27	так и	1	1
28	преступления и	1	1
29	о творчестве	1	1
30	с героем	1	1
31	только что	1	1
32	не слишком	1	1
33	знать и	1	1
34	произведения это	1	1
35	все ясно	1	1
36	того что	1	1
37	другой стороны	1	1
38	достоевского а	2	1
39	и сам	1	1
40	из мертвого	1	1
41	жизни и	1	1
42	как о	1	1
43	это было	1	1
44	было не	1	1
45	и и	1	1
46	говорить о	1	1
47	творчества достоевского	2	1
48	мертвого дома	1	1
49	с другой	1	1
50	себя в	1	1
51	что для	1	1
52	оба они	2	1
53	бы его	1	1
54	же писатель	1	1
55	же это	1	1
56	бы в	1	1
57	того же	1	1
58	в целом	1	1
59	ничего не	2	1
60	вплоть до	1	1
