N	4gram	Propp_Morf	EvropaiC
1	до сих пор не	1	5
2	в том случае если	2	4
3	бы то ни было	2	3
4	как бы то ни	1	2
5	в то же время	1	2
6	состоит в том что	3	1
7	с этой точки зрения	1	1
8	в то время как	3	1
9	образом мы видим что	4	1
10	то для того чтобы	1	1
11	а на самом деле	1	1
12	первый взгляд кажется что	1	1
13	в том что он	1	1
14	одно и то же	1	1
15	с самого начала в	1	1
16	таким образом мы видим	4	1
17	только в том случае	1	1
18	на первый взгляд кажется	1	1
19	в тех случаях когда	2	1
20	приводит к тому что	1	1
21	а для того чтобы	1	1
22	говорили лишь о тех	1	1
23	в том что все	1	1
24	друг на друга что	1	1
25	мы говорили лишь о	1	1
