N	2gram	Propp_Russ	Hudozhes
1	в качестве	5	31
2	то есть	3	26
3	и в	59	23
4	не только	28	20
5	состоит в	18	20
6	в том	33	20
7	при этом	11	19
8	может быть	14	19
9	в частности	2	18
10	и не	6	16
11	тогда как	4	15
12	но и	20	14
13	а не	3	13
14	но не	7	13
15	а в	16	13
16	в тексте	1	13
17	в себе	1	13
18	в этом	18	12
19	то же	6	12
20	так и	8	12
21	и его	2	12
22	представляет собой	5	11
23	как бы	18	11
24	точки зрения	3	11
25	в его	3	11
26	по отношению	1	10
27	но в	5	10
28	отношению к	1	10
29	своего рода	3	9
30	том что	33	9
31	с другой	1	9
32	не в	2	9
33	не может	6	9
34	в области	3	8
35	в то	3	8
36	что в	35	7
37	только в	4	7
38	в своей	1	7
39	в основе	1	7
40	в отличие	4	7
41	отличие от	4	7
42	не столько	3	7
43	как это	11	7
44	отношение к	1	7
45	в состав	1	6
46	более или	1	6
47	приводит к	4	6
48	уже не	9	6
49	можно сказать	1	6
50	с его	1	6
51	мы имеем	7	6
52	а также	6	6
53	или менее	1	6
54	в нем	3	6
55	ни в	1	5
56	в виду	3	5
57	не на	2	5
58	что он	2	5
59	не менее	3	5
60	не является	2	5
61	того чтобы	6	5
62	для того	6	5
63	для него	1	5
64	того что	6	5
65	прежде всего	2	5
66	с другими	3	5
67	в их	5	5
68	а на	8	5
69	между ними	1	5
70	то что	10	5
71	могут быть	3	5
72	место в	2	5
73	слова как	1	5
74	во втором	1	4
75	для себя	1	4
76	на смену	1	4
77	по пути	1	4
78	не следует	1	4
79	например в	3	4
80	значении этого	1	4
81	еще не	7	4
82	в данном	7	4
83	входит в	4	4
84	в другом	1	4
85	говорить о	2	4
86	сказать что	1	4
87	жизни как	1	4
88	к которому	1	4
89	в своем	3	4
90	к тому	4	4
91	на почве	1	4
92	и то	2	4
93	это не	14	4
94	его в	9	4
95	не знает	1	4
96	и как	2	4
97	в этих	3	4
98	так в	5	4
99	а только	1	4
100	того или	1	4
101	между тем	9	4
102	он не	1	4
103	и тем	1	4
104	и что	8	4
105	в форме	3	4
106	далеко не	5	4
107	и о	4	4
108	однако в	1	4
109	в силу	2	4
110	хотя и	3	4
111	в той	1	3
112	и к	3	3
113	и на	14	3
114	с этой	2	3
115	говорит и	1	3
116	о чем	7	3
117	подобно тому	3	3
118	если бы	1	3
119	и сам	1	3
120	есть в	2	3
121	а именно	2	3
122	в жизни	2	3
123	имеет место	3	3
124	как и	19	3
125	их в	7	3
126	себя и	2	3
127	в иной	1	3
128	тем не	3	3
129	но их	1	3
130	и того	1	3
131	и состоит	1	3
132	в роли	1	3
133	к нему	3	3
134	потому что	15	3
135	одной стороны	1	3
136	в одном	4	3
137	как правило	4	3
138	за пределами	2	3
139	во всей	2	3
140	из этих	6	3
141	и для	3	3
142	он должен	2	3
143	таким образом	10	3
144	по преимуществу	1	3
145	с одной	1	3
146	с точки	3	3
147	как раз	1	3
148	и притом	1	3
149	связи с	6	3
150	но он	3	3
151	в таком	5	3
152	в связи	4	3
153	или даже	3	3
154	по своему	2	3
155	во всех	6	3
156	в русской	1	3
157	как уже	6	3
158	тому как	3	3
159	в свою	3	3
160	в которой	3	3
161	не будет	1	3
162	говоря о	1	3
163	в пределах	2	3
164	того же	1	3
165	человека с	1	3
166	одного и	1	3
167	слова в	3	3
168	чем и	1	3
169	не случайно	2	3
170	в целом	2	3
171	и ее	3	3
172	и другие	24	2
173	один из	10	2
174	прихода в	1	2
175	от имени	1	2
176	и который	1	2
177	с ним	2	2
178	из которых	2	2
179	не как	1	2
180	а затем	5	2
181	в году	5	2
182	одно из	6	2
183	в них	10	2
184	оно не	2	2
185	самом деле	1	2
186	на свою	1	2
187	все эти	5	2
188	именно в	3	2
189	значения и	2	2
190	с ними	6	2
191	в одно	2	2
192	как в	10	2
193	дома и	1	2
194	всей своей	1	2
195	к другому	2	2
196	о том	14	2
197	при всем	1	2
198	свою очередь	2	2
199	это и	1	2
200	еще и	1	2
201	вытекает из	1	2
202	не могли	1	2
203	между собой	4	2
204	совпадает с	1	2
205	на основе	1	2
206	не всегда	4	2
207	между двумя	2	2
208	не могло	1	2
209	может служить	1	2
210	и это	2	2
211	превращается в	1	2
212	не вполне	1	2
213	так же	7	2
214	и наоборот	1	2
215	в глаза	3	2
216	об этом	11	2
217	должен быть	2	2
218	в нашем	2	2
219	в текстах	1	2
220	который в	2	2
221	одна из	12	2
222	этого слова	3	2
223	здесь не	1	2
224	не все	4	2
225	в противном	2	2
226	он и	1	2
227	не просто	3	2
228	только о	1	2
229	никогда не	1	2
230	и по	10	2
231	начиная с	4	2
232	при котором	1	2
233	не принадлежат	1	2
234	но на	1	2
235	общей теории	1	2
236	в коем	1	2
237	несмотря на	4	2
238	в литературе	1	2
239	ее в	7	2
240	все это	12	2
241	что и	8	2
242	что каждый	2	2
243	к жизни	3	2
244	таком случае	1	2
245	у него	2	2
246	или в	7	2
247	и некоторые	3	2
248	и более	3	2
249	не от	1	2
250	одним из	2	2
251	что она	4	2
252	тому что	4	2
253	в равной	2	2
254	случае не	1	2
255	в какой	3	2
256	противном случае	1	2
257	в чем	1	2
258	жизни то	1	2
259	встречаются в	2	2
260	тем более	1	2
261	начальные и	1	2
262	проявляет себя	1	2
263	и потому	3	2
264	а с	6	2
265	на этом	6	2
266	дело не	2	2
267	в случае	1	2
268	быть и	3	2
269	к такой	1	2
270	но она	3	2
271	не с	5	2
272	ни одно	2	2
273	не сами	1	2
274	человека и	1	2
275	равной степени	2	2
276	могла бы	1	2
277	в этой	4	2
278	и особенно	1	2
279	для обозначения	2	2
280	тот кто	2	2
281	для такого	1	2
282	и др	4	2
283	право на	2	2
284	из этого	1	2
285	отнюдь не	3	2
286	однако все	1	2
287	чтобы не	1	2
288	в особенности	3	1
289	с которыми	1	1
290	это на	2	1
291	от него	1	1
292	былинах и	1	1
293	однако и	1	1
294	все что	2	1
295	можно говорить	2	1
296	и здесь	3	1
297	за ним	3	1
298	многообразие этих	1	1
299	же и	1	1
300	другие в	2	1
301	такая форма	1	1
302	если в	3	1
303	всего два	1	1
304	различные системы	1	1
305	своему не	1	1
306	живет в	1	1
307	не знают	1	1
308	или после	1	1
309	слова эти	1	1
310	случае мы	1	1
311	первую очередь	1	1
312	образа и	1	1
313	можно назвать	1	1
314	процессы которые	1	1
315	к числу	2	1
316	и другим	3	1
317	представляют собой	13	1
318	что это	4	1
319	природе и	1	1
320	одном и	1	1
321	в другой	1	1
322	говорит о	3	1
323	те же	1	1
324	времени когда	1	1
325	и лучше	2	1
326	в область	1	1
327	из того	1	1
328	разного рода	1	1
329	содержанию своему	1	1
330	по образцу	1	1
331	и другими	3	1
332	особенно если	1	1
333	быть может	1	1
334	не бывает	1	1
335	смысла в	1	1
336	за это	1	1
337	не могут	1	1
338	хозяина и	1	1
339	должен был	3	1
340	и даже	1	1
341	если не	1	1
342	он уже	1	1
343	все то	1	1
344	не более	2	1
345	на свой	1	1
346	труда а	1	1
347	от одного	2	1
348	и соответствующих	1	1
349	в собственном	1	1
350	жизнь в	1	1
351	смысла и	1	1
352	так называемый	2	1
353	значение в	2	1
354	в различные	2	1
355	на руках	2	1
356	тем что	7	1
357	из всего	1	1
358	и действительно	2	1
359	то время	3	1
360	своем значении	1	1
361	если он	1	1
362	принадлежат к	1	1
363	видно из	1	1
364	хранится в	1	1
365	необходимо для	1	1
366	к нам	2	1
367	и вокруг	1	1
368	с такими	1	1
369	что по	7	1
370	вместе с	16	1
371	все же	7	1
372	быть назван	1	1
373	только для	3	1
374	не имеет	9	1
375	как более	1	1
376	но у	1	1
377	обращения к	1	1
378	о котором	1	1
379	зависимости от	1	1
380	в это	4	1
381	более как	1	1
382	на каждом	3	1
383	нет в	2	1
384	но мы	1	1
385	празднование это	2	1
386	на первый	3	1
387	включая и	1	1
388	перед нами	2	1
389	случае как	1	1
390	в своего	1	1
391	первый взгляд	1	1
392	с этим	4	1
393	нам не	1	1
394	года на	2	1
395	исходя из	2	1
396	разница в	1	1
397	в первую	1	1
398	он же	4	1
399	в котором	2	1
400	из других	2	1
401	зависит от	1	1
402	и такие	1	1
403	когда на	2	1
404	и пр	4	1
405	на части	9	1
406	сливается с	1	1
407	по тем	1	1
408	случаи когда	1	1
409	то и	4	1
410	время от	1	1
411	в лесу	9	1
412	наконец в	1	1
413	и поэтому	3	1
414	из жизни	1	1
415	в отдельности	2	1
416	быть не	1	1
417	во многих	14	1
418	а после	1	1
419	с нашим	1	1
420	а через	1	1
421	имея в	1	1
422	даже самых	1	1
423	с которой	1	1
424	и теперь	1	1
425	жизни и	1	1
426	из своего	1	1
427	к вопросу	2	1
428	только на	4	1
429	точно так	1	1
430	этим словом	1	1
431	теми которые	1	1
432	в различных	3	1
433	о своем	1	1
434	переходит к	1	1
435	е годы	2	1
436	на основании	1	1
437	первые два	1	1
438	не так	1	1
439	и те	3	1
440	не что	3	1
441	в совершенно	1	1
442	в истории	1	1
443	и находит	1	1
444	руках и	1	1
445	ногами и	2	1
446	каждый из	3	1
447	себе в	1	1
448	до того	3	1
449	автора его	1	1
450	в былинах	3	1
451	в прошлом	2	1
452	на которые	1	1
453	времени его	1	1
454	к ним	4	1
455	из наиболее	2	1
456	у себя	1	1
457	настоящее время	3	1
458	ее не	1	1
459	она может	1	1
460	предметом теоретического	1	1
461	нас на	1	1
462	тем же	1	1
463	него не	1	1
464	затем в	1	1
465	по которым	1	1
466	и служит	1	1
467	русском языке	1	1
468	ее как	1	1
469	над этим	1	1
470	его труда	1	1
471	за него	1	1
472	до конца	5	1
473	с нею	1	1
474	с этими	1	1
475	только при	1	1
476	окна и	1	1
477	что все	2	1
478	лавку в	1	1
479	и самих	1	1
480	этом так	1	1
481	том же	6	1
482	те и	1	1
483	характерное для	1	1
484	тем это	3	1
485	но если	2	1
486	здесь и	1	1
487	если первое	1	1
488	по поводу	1	1
489	под именем	3	1
490	к новой	1	1
491	не имело	1	1
492	в отдельных	1	1
493	по этой	1	1
