N	3gram	Vinokur_Ku	Formalny
1	с точки зрения	16	40
2	не может быть	5	29
3	на самом деле	3	21
4	то же время	4	20
5	в то же	4	20
6	и т д	21	19
7	и т п	39	18
8	в связи с	4	16
9	во всяком случае	8	16
10	в настоящее время	2	13
11	по отношению к	8	12
12	в самом деле	14	11
13	так и в	2	11
14	в этом отношении	8	11
15	бы то ни	1	10
16	в зависимости от	7	10
17	в большинстве случаев	2	9
18	с другой стороны	12	9
19	для того чтобы	21	8
20	до сих пор	5	8
21	вместе с тем	3	8
22	как мы видели	1	8
23	с одной стороны	2	8
24	в применении к	1	7
25	более или менее	3	7
26	того или иного	5	7
27	сами по себе	2	7
28	то ни было	1	7
29	и пр и	2	7
30	пр и пр	2	7
31	в свою очередь	4	7
32	в первый период	2	7
33	а вовсе не	1	7
34	в том что	23	6
35	и в то	1	6
36	с тем что	1	6
37	сам по себе	1	6
38	в данном случае	1	6
39	смысле этого слова	2	6
40	языка и его	1	6
41	может быть и	1	6
42	к тому чтобы	2	5
43	в этом смысле	8	5
44	языка как такового	1	5
45	в отличие от	3	5
46	к тому что	2	5
47	прежде всего в	1	5
48	и не в	2	4
49	тем не менее	9	4
50	можно и должно	1	4
51	не в том	5	4
52	все более и	1	4
53	не следует что	1	4
54	в конце концов	3	4
55	более и более	1	4
56	не могут быть	1	4
57	как раз и	1	4
58	но все же	3	4
59	в ее целом	1	4
60	т п в	2	4
61	отнюдь не следует	1	4
62	в лучшем случае	1	4
63	хотя бы в	4	4
64	т е как	5	4
65	по аналогии с	1	4
66	сводится к тому	2	4
67	как такового в	1	3
68	то или иное	2	3
69	и пр но	2	3
70	ведь на самом	1	3
71	так или иначе	3	3
72	то же что	1	3
73	вместо того чтобы	1	3
74	можно говорить о	2	3
75	таким образом не	1	3
76	только то что	1	3
77	и в этой	1	3
78	т е к	1	3
79	в том смысле	2	3
80	в том чтобы	9	3
81	потому что он	1	3
82	мы увидим что	2	3
83	главным образом на	1	3
84	и в частности	1	3
85	в противном случае	2	3
86	можно только в	1	3
87	именно в том	2	3
88	т е в	3	3
89	не могло не	1	3
90	в предисловии к	1	3
91	что же касается	4	3
92	мере в какой	6	2
93	все то что	1	2
94	смысла т е	1	2
95	социальной жизни в	1	2
96	но оно не	1	2
97	о том как	3	2
98	том смысле что	1	2
99	в той мере	6	2
100	отнюдь не является	1	2
101	т е на	1	2
102	язык как система	1	2
103	т е она	1	2
104	в собственном смысле	1	2
105	мы говорим о	3	2
106	отсюда следует что	2	2
107	не выходит за	1	2
108	хотя бы и	4	2
109	говоря уже о	1	2
110	с этой точки	3	2
111	вовсе не в	1	2
112	что в данном	1	2
113	друг от друга	1	2
114	в строгом смысле	1	2
115	но и с	1	2
116	но даже и	2	2
117	в том случае	3	2
118	не потому что	4	2
119	как например в	1	2
120	иметь в виду	1	2
121	между тем как	1	2
122	но для этого	1	2
123	тех или иных	1	2
124	как и всякая	1	2
125	и тем самым	1	2
126	в том или	1	2
127	роковую роль в	1	2
128	той мере в	6	2
129	понимании этого термина	1	2
130	же касается до	1	2
131	роль в истории	1	2
132	в последнее время	1	2
133	вряд ли нужно	2	2
134	социального общения и	2	2
135	в своей книге	1	2
136	не прав когда	1	2
137	о языке как	3	2
138	в широком смысле	2	2
139	и в том	2	2
140	и здесь не	1	2
