N	4gram	Propp_Isto	formyVre
1	с одной стороны и	1	5
2	в то время как	3	4
3	в непосредственном соседстве с	1	3
4	в средние века и	1	3
5	так же как и	1	3
6	но все же и	1	2
7	дело в том что	2	2
8	в дальнейшем оказывается что	1	2
9	друг с другом мы	1	2
10	связаны друг с другом	1	2
11	в соответствии с этим	1	2
12	его в связи с	1	2
13	наряду с этим в	1	1
14	до сих пор она	1	1
15	то что происходит в	1	1
16	в тех случаях когда	1	1
17	с другой стороны в	1	1
18	в том что они	3	1
19	и вместе с тем	2	1
20	на более высокой ступени	1	1
21	в том что он	1	1
22	мы можем поставить вопрос	1	1
23	дело не только в	1	1
24	но вместе с тем	1	1
25	и т д он	1	1
26	во всех этих случаях	1	1
27	и т д но	2	1
