N	2gram	Vygotskiy_	BTomashe
1	у нас	4	3
2	все это	11	2
3	в ней	3	2
4	можно было	4	2
5	не то	2	2
6	художественной функции	1	2
7	и не	24	2
8	вопрос о	3	1
9	творчества и	3	1
10	и о	4	1
11	о них	1	1
12	со всем	1	1
13	и нет	2	1
14	не только	25	1
15	остановиться на	2	1
16	а о	1	1
17	систематизации и	1	1
18	таким образом	38	1
19	не было	5	1
20	в эпоху	1	1
21	формализма и	2	1
22	прежде всего	5	1
23	бы только	1	1
24	и в	55	1
25	на самом	6	1
26	так и	6	1
27	на которой	1	1
28	из своей	1	1
29	в своей	6	1
30	иначе не	1	1
31	во всяком	9	1
32	и потому	2	1
33	и во	3	1
34	за пределы	2	1
35	говорить об	1	1
36	же не	1	1
37	по крайней	1	1
38	с другой	7	1
39	об этом	3	1
40	художественного произведения	22	1
41	значение слова	1	1
42	такое определение	1	1
43	как будто	10	1
44	точке зрения	2	1
45	совершенно не	7	1
46	не о	1	1
47	другой стороны	7	1
48	крайней мере	1	1
49	основное значение	1	1
50	всяком случае	7	1
51	было бы	14	1
52	что формалисты	1	1
53	стоит на	1	1
54	не следует	1	1
55	точно и	4	1
56	и ее	4	1
57	как работу	1	1
58	чем на	1	1
59	одной из	1	1
60	в значительной	1	1
61	из ее	1	1
62	почти совершенно	1	1
63	свести к	1	1
64	в пределах	1	1
65	в данном	1	1
66	вольный стих	1	1
67	теоретической и	1	1
68	теории литературы	1	1
69	должна быть	3	1
70	в области	12	1
71	является только	1	1
72	далеко не	7	1
73	не вполне	1	1
74	то как	4	1
75	и более	3	1
76	что все	10	1
77	художественном произведении	8	1
78	по этим	1	1
79	никак не	7	1
80	области методологии	1	1
81	в книге	2	1
82	его не	3	1
83	будто бы	2	1
84	ясного и	1	1
85	а не	18	1
86	заставляет думать	1	1
87	отнюдь не	11	1
88	до конца	9	1
89	как всякий	1	1
90	и на	6	1
91	выходит за	2	1
92	между ними	2	1
93	произведении что	1	1
94	еще не	2	1
95	все же	9	1
96	что в	39	1
97	меньше чем	1	1
