N	3gram	Berdyaev_V	RusskieA
1	в том что	2	49
2	и т д	2	21
3	вместе с тем	1	11
4	после того как	1	6
5	и в другие	1	6
6	к тому что	3	5
7	и что в	1	3
8	но все же	1	2
9	с другой стороны	1	2
10	т д и	1	2
11	как и в	1	2
12	это еще не	2	2
13	и в этом	1	2
14	и в русском	1	1
15	не помогают от	1	1
16	для него не	1	1
17	под землей в	1	1
18	в первый раз	3	1
19	и все это	1	1
20	жизни в этом	1	1
21	и каким образом	1	1
22	и то и	1	1
23	а между тем	2	1
24	это не было	1	1
25	мы видим что	1	1
26	и теперь еще	1	1
27	есть один из	1	1
28	но и в	2	1
29	в одно целое	1	1
30	в этом весь	1	1
31	и не случайно	1	1
32	в грядущем не	1	1
33	у нас это	1	1
34	но от этого	1	1
