N	3gram	Bakhtin_Fr	PoTuStor
1	с точки зрения	6	6
2	на самом деле	2	4
3	по ту сторону	1	4
4	до сих пор	7	3
5	не может быть	5	3
6	в большинстве случаев	2	3
7	по сравнению с	2	3
8	и его ученики	1	3
9	во всяком случае	2	3
10	можно сказать что	3	3
11	и пр и	1	3
12	но в общем	1	2
13	мы можем сказать	1	2
14	все то что	1	2
15	в нем нет	1	2
16	и может быть	1	2
17	во всех его	3	2
18	о том что	3	2
19	не могут быть	2	2
20	можно определить как	1	2
21	на ранних ступенях	1	2
22	в самом деле	1	2
23	не нуждается в	1	2
24	пр и пр	1	2
25	в его целом	2	2
26	связанных с ними	1	2
27	все это приводит	1	1
28	остановимся прежде всего	1	1
29	так и в	3	1
30	жизни в этом	1	1
31	все же в	2	1
32	в том что	6	1
33	друг с другом	2	1
34	мы знаем что	1	1
35	в свой круг	1	1
36	так и с	1	1
37	для него уже	1	1
38	и та же	1	1
39	не чем иным	1	1
40	дело в том	2	1
41	той или иной	5	1
42	остановимся на некоторых	1	1
43	всех его моментах	1	1
44	т.п наконец в	1	1
45	первый план выдвигается	1	1
46	но несмотря на	3	1
47	подобно тому как	2	1
48	было связано с	2	1
49	него существует только	1	1
50	как мы сказали	1	1
51	в применении к	3	1
52	для него существует	1	1
53	во всей их	1	1
54	можем сказать что	1	1
55	прежде всего на	3	1
56	на них мы	1	1
57	при всей их	2	1
58	и прежде всего	4	1
59	никакому сомнению что	1	1
60	связанная с этим	1	1
61	мы имеем в	1	1
62	как бы второе	1	1
63	и в известной	1	1
64	мы здесь имеем	1	1
65	переносит центр тяжести	1	1
66	в материнское лоно	1	1
67	в себя и	1	1
68	и как мы	1	1
69	и теперь в	1	1
70	может быть ничего	1	1
71	и в эпоху	3	1
72	для него только	1	1
73	чем иным как	1	1
74	и пр в	1	1
75	всяком случае не	1	1
76	имеем в виду	2	1
77	этап в развитии	1	1
78	несмотря на это	1	1
79	ранних ступенях развития	1	1
80	и др и	1	1
81	в свое время	5	1
82	смысле они не	1	1
83	одна и та	1	1
84	и др но	2	1
85	все эти столь	1	1
86	связанных как с	1	1
87	конечно с точки	1	1
88	это приводит к	1	1
89	в этой борьбе	1	1
90	во внешнем мире	1	1
91	для того чтобы	2	1
92	так как он	1	1
93	и в чем	1	1
94	с одной стороны	2	1
95	на первый план	1	1
96	в этом отношении	5	1
97	или во всяком	1	1
98	перевести на язык	1	1
99	таким образом и	1	1
100	его жизни в	1	1
101	в них и	1	1
102	во всех областях	1	1
103	сих пор еще	4	1
104	но даже и	2	1
105	и связанные с	1	1
106	нужно отметить что	2	1
107	в общем можно	1	1
108	в году в	2	1
109	и т.п наконец	1	1
110	смысл и значение	1	1
111	несколько слов о	1	1
112	в связи с	1	1
113	может быть только	1	1
