N	2gram	Ircho_Kome	VrazhdaK
1	не только	13	9
2	в этом	18	8
3	и в	37	8
4	и что	8	8
5	что в	11	7
6	и все	6	7
7	но и	18	7
8	то что	5	7
9	о нем	1	6
10	как и	10	6
11	и даже	6	6
12	и с	5	6
13	все же	9	6
14	в котором	6	6
15	в начале	5	6
16	в нем	8	6
17	но в	7	6
18	то же	14	5
19	у него	10	5
20	и не	28	5
21	между тем	6	5
22	об этом	12	5
23	не было	6	5
24	же время	12	5
25	в то	14	5
26	это не	3	4
27	при этом	11	4
28	несмотря на	7	4
29	с ним	10	4
30	для нас	7	4
31	все это	7	4
32	х годов	2	4
33	в виду	3	4
34	отцов и	1	4
35	в своих	4	4
36	что он	15	4
37	уже в	3	4
38	о том	21	4
39	может быть	14	4
40	в ней	7	4
41	целый ряд	5	4
42	в истории	2	4
43	как бы	7	4
44	так же	8	4
45	во многом	1	4
46	что у	2	3
47	в его	12	3
48	в том	24	3
49	т е	18	3
50	его в	9	3
51	раз в	3	3
52	связи с	5	3
53	но он	3	3
54	в связи	4	3
55	я не	4	3
56	и как	3	3
57	далеко не	3	3
58	тем что	12	3
59	речь идет	5	3
60	в чем	7	3
61	и у	4	3
62	о себе	1	3
63	человека в	4	3
64	он был	6	3
65	эти слова	1	3
66	чтобы он	1	3
67	том что	22	3
68	в этот	1	3
69	он не	11	3
70	и уже	1	3
71	в конце	14	3
72	и о	3	3
73	наряду с	4	3
74	одним из	2	3
75	в своем	9	3
76	на то	3	3
77	с его	6	3
78	и его	10	3
79	к этому	11	3
80	и во	3	3
81	в той	2	2
82	в лицо	1	2
83	таким образом	16	2
84	начиная с	1	2
85	об их	1	2
86	ответ на	7	2
87	и он	5	2
88	после этого	2	2
89	в момент	1	2
90	его с	1	2
91	к себе	9	2
92	мы знаем	2	2
93	и далее	1	2
94	с точки	6	2
95	для него	1	2
96	его и	3	2
97	этот момент	1	2
98	о чем	11	2
99	как раз	9	2
100	по мнению	2	2
101	нашего времени	1	2
102	о которой	2	2
103	в честь	2	2
104	же не	3	2
105	в них	6	2
