N	3gram	Vinokur_Ku	Sotsiolo
1	по отношению к	8	2
2	дело не в	3	2
3	в том что	23	2
4	в конце концов	3	2
5	не в том	5	2
6	но как и	1	1
7	и в то	1	1
8	в то же	4	1
9	по существу это	1	1
10	друг от друга	1	1
11	отношению к которому	1	1
12	представить себе чтобы	1	1
13	пришлось бы в	1	1
14	ничего не значат	1	1
15	связь между ними	1	1
16	что в них	2	1
17	в конечном счете	2	1
18	с одной стороны	2	1
19	в связи с	4	1
20	чуть ли не	3	1
21	это дает нам	1	1
22	этот основной вопрос	1	1
23	далеко еще не	1	1
24	главным образом в	1	1
25	по крайней мере	11	1
26	о том как	3	1
27	в этой области	3	1
28	то же время	4	1
29	в противном случае	2	1
30	только то что	1	1
31	в наше время	3	1
32	а с другой	3	1
33	но только в	1	1
34	это вовсе не	1	1
35	во всяком случае	8	1
36	а в том	2	1
37	с ним все	1	1
38	в его системе	1	1
39	в том и	3	1
40	все это как	1	1
41	именно в том	2	1
42	в настоящее время	2	1
43	не выходит за	1	1
44	в лучшем случае	1	1
45	что все это	2	1
46	они ни были	1	1
