N	4gram	Vygotskiy_	Stilisti
1	в то же время	1	7
2	одно и то же	3	5
3	одной и той же	4	4
4	не что иное как	2	2
5	и для того чтобы	1	2
6	вместе с тем и	1	2
7	в зависимости от того	3	2
8	мы никогда не сумеем	1	2
9	то для того чтобы	1	1
10	мысль о том что	1	1
11	котором мы говорили выше	1	1
12	о котором мы говорили	2	1
13	мы никогда не найдем	2	1
14	то же самое происходит	1	1
15	убедиться в том что	1	1
16	и то же событие	2	1
17	то же самое и	2	1
18	того или иного решения	1	1
19	но вместе с тем	1	1
20	одна и та же	2	1
21	всегда несет в себе	1	1
22	это только одна из	1	1
23	одним и тем же	3	1
24	что у нас не	1	1
25	одного и того же	2	1
26	в одной и той	1	1
27	в собственном смысле слова	2	1
28	мы видим что и	1	1
29	связь между языком и	1	1
