N	4gram	Losev_Dial	TeoriaLi
1	в то же время	3	8
2	мы имеем в виду	1	3
3	ни в коем случае	4	2
4	с этой точки зрения	4	2
5	в коем случае не	4	2
6	одно и то же	2	2
7	бы то ни было	1	2
8	но в то же	1	2
9	и в то же	2	2
10	сама по себе а	1	1
11	иметь в виду что	1	1
12	в том что в	1	1
13	не что иное как	6	1
14	заключается в том что	1	1
15	о своем отношении к	1	1
16	с одной стороны и	1	1
17	не содержит в себе	1	1
18	исходит из того что	1	1
19	не сама по себе	1	1
20	– это и есть	1	1
21	в связи с этим	1	1
22	ни к чему не	1	1
23	а не сама жизнь	1	1
24	личности а не ее	1	1
25	есть не что иное	3	1
