N	2gram	Voloshinov	VrazhdaK
1	не только	4	9
2	в этом	4	8
3	и в	12	8
4	и что	2	8
5	что в	2	7
6	и все	2	7
7	но и	3	7
8	то что	5	7
9	как и	5	6
10	и с	3	6
11	все же	4	6
12	в котором	3	6
13	в нем	6	6
14	но в	5	6
15	то же	5	5
16	у него	1	5
17	и не	10	5
18	между тем	3	5
19	не было	1	5
20	же время	1	5
21	в то	2	5
22	это не	2	4
23	при этом	6	4
24	несмотря на	1	4
25	с ним	3	4
26	для нас	7	4
27	все это	3	4
28	в виду	5	4
29	уже в	2	4
30	о том	3	4
31	может быть	14	4
32	в ней	6	4
33	в истории	1	4
34	как бы	13	4
35	так же	3	4
36	русской литературе	1	3
37	в его	2	3
38	в том	6	3
39	его в	4	3
40	связи с	1	3
41	далеко не	1	3
42	в чем	2	3
43	в русской	1	3
44	том что	5	3
45	он не	2	3
46	и уже	3	3
47	и о	1	3
48	наряду с	1	3
49	из подполья	1	3
50	в своем	2	3
51	с его	2	3
52	и его	13	3
53	к этому	2	3
54	и во	1	3
55	таким образом	12	2
56	и то	2	2
57	и он	1	2
58	в момент	2	2
59	с точки	2	2
60	для него	3	2
61	его и	1	2
62	о чем	1	2
63	по мнению	1	2
64	нашего времени	1	2
65	же не	1	2
66	в них	3	2
67	как же	2	2
68	там же	1	2
69	же как	1	2
70	в своей	3	2
71	рядом с	1	2
72	вместе с	2	2
73	не менее	3	2
74	и это	1	2
75	еще не	3	2
76	а с	1	2
77	в свою	1	2
78	на основе	1	2
79	и т.п	1	2
80	при помощи	1	2
81	на это	2	2
82	к ним	2	2
83	отношение к	4	2
84	уже не	4	2
85	в себе	3	2
86	что я	1	2
87	не может	16	2
88	место в	2	2
89	столь же	1	2
90	том же	1	2
91	точки зрения	14	2
92	тем более	1	2
93	в эти	1	2
94	отнюдь не	5	2
95	но это	2	2
96	и ее	3	2
97	к автору	4	2
98	никогда не	5	2
99	в особенности	2	1
100	все в	1	1
101	в самом	4	1
102	то в	1	1
103	как к	3	1
104	так и	4	1
105	что они	1	1
106	в литературе	4	1
107	до сих	3	1
108	в душе	2	1
109	еще раз	2	1
110	приближается к	1	1
111	они не	1	1
112	с героем	3	1
113	автору и	3	1
114	в основном	2	1
115	и уж	1	1
116	героя в	1	1
117	что уже	1	1
118	он как	1	1
119	еще более	1	1
120	что это	1	1
121	обычно не	1	1
122	хотя и	1	1
123	же самому	1	1
124	и из	1	1
125	в ее	1	1
126	того что	3	1
127	говорит о	1	1
128	от этой	2	1
129	в качестве	1	1
130	не хочет	1	1
131	прежде всего	8	1
132	ее и	3	1
133	другой стороны	2	1
134	ее основного	1	1
135	выросла из	1	1
136	нет ничего	2	1
137	себе не	1	1
138	в этих	2	1
139	так не	1	1
140	все равно	1	1
141	что слово	2	1
142	тому же	2	1
143	ко всем	2	1
144	а между	1	1
145	ему но	1	1
146	конечно в	2	1
147	такое понимание	1	1
148	его героям	1	1
149	из двух	1	1
150	в одном	1	1
151	равно как	1	1
152	но не	2	1
153	но для	3	1
154	именно в	1	1
155	уже на	1	1
156	жизни и	4	1
157	то время	1	1
158	в таком	1	1
159	героев и	2	1
160	в процессе	6	1
161	нам не	1	1
162	пор мы	1	1
163	в жизни	5	1
164	человек и	1	1
165	литературе и	1	1
166	ясно что	3	1
167	социальную основу	1	1
168	как о	1	1
169	уж конечно	1	1
170	несравненно более	2	1
171	со своею	1	1
172	не есть	2	1
173	как в	5	1
174	по преимуществу	1	1
175	да и	3	1
176	ли он	1	1
177	они как	1	1
178	в условиях	2	1
179	к вопросу	1	1
180	ничего общего	1	1
181	но мы	2	1
182	тем не	3	1
183	сих пор	3	1
184	и вообще	3	1
185	гораздо больше	1	1
186	для правильного	1	1
187	с первого	1	1
188	на них	1	1
189	жизнь и	1	1
190	еще один	1	1
191	во всех	1	1
192	вошли в	1	1
193	во всяком	1	1
194	в стиле	1	1
195	это и	1	1
196	входя в	1	1
197	то он	1	1
198	выражение в	2	1
199	того в	1	1
200	было в	1	1
201	материала это	1	1
202	которой он	1	1
203	это как	3	1
204	совпадает с	2	1
205	но при	1	1
206	и всего	1	1
207	может идти	1	1
208	так называемую	1	1
209	только об	1	1
210	только как	1	1
211	не всегда	1	1
212	быть и	3	1
213	с помощью	6	1
214	в частности	1	1
215	но зато	2	1
216	совпадают с	1	1
217	два человека	1	1
218	и их	1	1
219	одно и	2	1
220	отношении к	3	1
221	было такой	1	1
222	исповеди ставрогина	1	1
223	в форме	2	1
224	себя на	1	1
225	только слова	1	1
226	этом смысле	1	1
227	по своей	1	1
228	можно найти	2	1
229	от того	4	1
230	в обоих	1	1
231	в каком	3	1
232	свою очередь	1	1
233	и можно	1	1
234	с другой	4	1
235	было бы	1	1
236	это же	1	1
237	вопросу о	1	1
238	как на	2	1
239	себя в	1	1
240	что для	1	1
241	могут быть	2	1
242	до конца	2	1
243	в высшей	1	1
244	к которому	1	1
245	во многих	1	1
246	конечно гораздо	1	1
247	слово за	1	1
248	его оформления	1	1
249	по крайней	1	1
250	такой же	2	1
251	каком направлении	1	1
252	из этого	3	1
253	тем это	1	1
254	ним на	1	1
255	этом отношении	1	1
256	всяком случае	1	1
257	в окно	1	1
258	автора к	1	1
259	независимо от	2	1
260	друг друга	1	1
261	с ее	1	1
262	из него	2	1
263	же он	1	1
264	в целом	1	1
265	крайней мере	1	1
266	не должна	3	1
267	едва ли	2	1
268	и наконец	3	1
269	ничего не	2	1
270	и самый	1	1
271	к нему	4	1
272	более того	2	1
273	высшей степени	1	1
