N	4gram	Losev_Prob	Problemy
1	в то же время	1	26
2	но в то же	2	11
3	бы то ни было	2	6
4	в том что он	2	5
5	в той или иной	2	5
6	в то время как	4	3
7	и в этом смысле	1	3
8	во всяком случае не	1	2
9	но тем не менее	1	2
10	дело в том что	4	2
11	ни в одном из	1	2
12	ни в чем не	2	2
13	а может быть даже	1	2
14	в связи с теми	1	1
15	но в конце концов	1	1
16	к тому же и	1	1
17	и до сих пор	1	1
18	в конце концов не	1	1
19	в том или другом	1	1
20	общего не имеет с	1	1
21	во что бы то	1	1
22	уже с самого начала	1	1
23	легенда о великом инквизиторе	1	1
24	каких бы то ни	1	1
25	что он должен быть	1	1
26	все более и более	1	1
27	в этом смысле он	1	1
28	таким образом как бы	1	1
29	что на самом деле	1	1
30	о том что он	1	1
31	может быть даже и	1	1
32	что бы то ни	1	1
33	бы то ни стало	1	1
34	сам по себе но	1	1
35	и вместе с тем	2	1
36	тем не менее в	2	1
37	в конце концов как	1	1
38	а вместе с тем	1	1
39	каковы бы ни были	1	1
40	в братьях карамазовых в	1	1
41	того что на самом	1	1
42	в том числе и	1	1
43	не чем иным как	3	1
44	с точки зрения которого	1	1
45	то время как в	1	1
46	не кто иной как	2	1
47	несмотря на то что	1	1
48	к другому от одного	1	1
49	в конце концов так	1	1
50	и ни в чем	1	1
51	ничего общего не имеет	1	1
52	в этом отношении не	1	1
53	а вовсе не для	1	1
54	друг на друга что	1	1
