N	3gram	Tiupa_Teor	Morfolog
1	в этих случаях	1	14
2	в этом случае	1	10
3	не может быть	5	9
4	в связи с	3	9
5	по отношению к	10	7
6	с точки зрения	3	6
7	тем не менее	3	6
8	связи с этим	1	5
9	подобно тому как	3	5
10	с другой стороны	6	5
11	в том что	10	4
12	не могут быть	2	4
13	к тому что	2	4
14	может быть названо	2	4
15	в большинстве случаев	1	3
16	о том что	1	3
17	как и в	2	3
18	для того чтобы	5	3
19	в настоящее время	1	3
20	в то время	1	3
21	бы то ни	2	3
22	состоит в том	6	3
23	в том случае	1	3
24	в первом случае	1	3
25	на первый взгляд	1	3
26	к чему не	1	2
27	ни к чему	1	2
28	дело не в	1	2
29	тем и другим	1	2
30	более или менее	6	2
31	том случае если	1	2
32	в иных случаях	1	2
33	не что иное	1	2
34	точно так же	1	2
35	в данном случае	5	2
36	мы имеем в	3	2
37	то ни было	2	2
38	не входит в	1	2
39	что иное как	1	2
40	к вопросу о	1	2
41	с одной стороны	3	2
42	в таких случаях	1	2
43	может быть и	2	2
44	на вопрос что	1	1
45	может быть определен	1	1
46	есть не что	1	1
47	в свою очередь	3	1
48	для героя и	1	1
49	как один из	1	1
50	до известной степени	2	1
51	лежат в основе	1	1
52	тысяча и одна	1	1
53	она могла бы	1	1
54	с этой точки	2	1
55	а в другом	1	1
56	во всех подобных	2	1
57	с ними и	2	1
58	в коем случае	2	1
59	из этих двух	1	1
60	а в русской	1	1
61	можно сказать что	3	1
62	на свое место	1	1
63	который может быть	1	1
64	но по отношению	1	1
65	здесь мы имеем	1	1
66	в то же	8	1
67	тех или иных	3	1
68	и то же	2	1
69	в таком случае	2	1
70	а и в	1	1
71	это необходимо для	1	1
72	они ни были	1	1
73	это не форма	1	1
74	с этой моделью	1	1
75	в противном случае	2	1
76	с первых же	1	1
77	всех подобных случаях	2	1
78	и одна ночь	1	1
79	иметь в виду	1	1
80	ни в коем	2	1
81	одно и то	2	1
82	таким образом что	1	1
83	между собой и	1	1
84	той или иной	3	1
85	только во втором	1	1
86	это уже не	1	1
87	соединению с другими	1	1
88	в том или	1	1
89	бы они ни	1	1
90	во всей своей	1	1
91	случае если он	1	1
92	том что он	2	1
93	что в основе	2	1
94	что они хотят	2	1
95	по существу является	1	1
96	случаи когда герой	1	1
97	это было бы	1	1
98	в е годы	1	1
99	этой точки зрения	2	1
100	между тем в	1	1
101	в лес но	1	1
102	как бы в	1	1
103	к другому что	1	1
104	если в первом	1	1
105	в одном случае	1	1
106	то что они	2	1
107	то же время	8	1
108	приводит к тому	2	1
109	является одним из	1	1
110	в качестве его	1	1
111	что несмотря на	1	1
112	и в этой	1	1
113	коем случае не	2	1
