N	3gram	Kanaev_Sov	NovoeSre
1	не может быть	4	4
2	равно как и	1	2
3	так же как	1	2
4	в этом смысле	1	2
5	когда мы говорим	1	2
6	с одной стороны	1	2
7	она не может	1	2
8	сами по себе	1	1
9	но для чего	1	1
10	в том что	1	1
11	не в том	1	1
12	хотим сказать что	1	1
13	в том случае	1	1
14	до сих пор	1	1
15	то нет и	1	1
16	в такой же	1	1
17	может иметь только	1	1
18	в зависимости от	4	1
19	можно было бы	1	1
20	такой же мере	1	1
21	в отличие от	2	1
22	века с ее	1	1
23	и до сих	1	1
24	но это уже	1	1
25	не могут быть	1	1
26	мы говорим о	1	1
27	заключает в себе	1	1
28	в новое время	1	1
29	во всяком случае	2	1
30	и во всех	1	1
31	совершенно так же	1	1
32	это значит что	1	1
33	в известном смысле	1	1
34	не хотим сказать	1	1
35	и не может	1	1
36	может быть только	1	1
