N	3gram	Medvedev_V	VrazhdaK
1	отцов и детей	1	4
2	то же время	5	4
3	в то же	5	4
4	в связи с	4	3
5	в том что	5	2
6	отцы и дети	1	2
7	не может быть	8	2
8	в письме к	11	2
9	но в то	1	2
10	в году и	1	2
11	в ноябре года	1	2
12	в письме от	5	2
13	это то что	1	1
14	не было бы	4	1
15	в свою очередь	1	1
16	а между тем	1	1
17	каждый из них	1	1
18	в известном письме	1	1
19	известном письме к	1	1
20	в то время	1	1
21	в конце концов	2	1
22	одно и то	1	1
23	равно как и	4	1
24	во время сна	1	1
25	от марта года	2	1
26	о том как	3	1
27	от мая года	3	1
28	так же как	1	1
29	в своем дневнике	1	1
30	на то что	1	1
31	быть и речи	1	1
32	и в то	3	1
33	в соответствии с	1	1
34	по крайней мере	2	1
35	и никогда не	2	1
36	что они не	1	1
37	он и не	1	1
38	в этом смысле	1	1
39	о том же	3	1
40	не только не	2	1
41	от апреля года	2	1
42	о том что	3	1
43	а н майкову	1	1
44	до сих пор	2	1
45	в том же	1	1
46	п в анненкова	1	1
47	в каком направлении	1	1
48	во всяком случае	2	1
49	письме от мая	1	1
50	у тургенева и	1	1
51	между тем это	1	1
52	служит для него	1	1
53	и тургенев не	1	1
54	в нем можно	1	1
55	с другой стороны	8	1
56	целого ряда других	1	1
57	у него в	1	1
58	это и есть	3	1
59	и то же	1	1
60	в этом отношении	14	1
61	все же не	1	1
62	от ноября года	1	1
63	и не может	2	1
64	и достоевский в	1	1
65	может быть и	1	1
