N	4gram	Potebnia_M	TeoriaLi
1	в то же время	3	8
2	одного и того же	6	4
3	с этой точки зрения	1	2
4	в том что он	1	2
5	бы то ни было	1	2
6	бы они ни были	2	1
7	той мере в какой	1	1
8	в более или менее	1	1
9	могли быть устранены из	1	1
10	не что иное как	2	1
11	заключается в том что	1	1
12	в той мере в	1	1
13	а между тем в	2	1
14	как более или менее	1	1
15	с одной стороны и	2	1
16	в одном и том	3	1
17	языка не может быть	1	1
18	в том случае если	1	1
19	одном и том же	3	1
20	дело в том что	3	1
21	по себе еще не	1	1
22	но дело в том	2	1
23	еще и потому что	1	1
24	не могли быть устранены	1	1
25	точно так же как	1	1
