N	4gram	Potebnia_M	Stilisti
1	в то же время	3	7
2	одной и той же	3	4
3	не что иное как	2	2
4	одном и том же	3	2
5	то что мы называем	1	2
6	но этого еще мало	1	1
7	и тем самым не	1	1
8	само по себе не	1	1
9	вопрос только в том	1	1
10	сих пор говоря о	1	1
11	распадаются на две группы	1	1
12	в том и другом	2	1
13	ничем не связанных между	1	1
14	заключает в себе все	1	1
15	в одном и том	3	1
16	по себе не может	1	1
17	к одной и той	1	1
18	что в одном и	1	1
19	вопроса о происхождении языка	2	1
20	но даже и в	1	1
21	так а не иначе	2	1
22	в том что язык	1	1
23	тем не менее и	1	1
24	вопрос о происхождении языка	2	1
25	одного и того же	6	1
26	а не наоборот то	1	1
27	не может обойтись без	1	1
28	о происхождении языка и	4	1
