N	4gram	Bakhtin_Fr	Komedia
1	в то же время	14	16
2	ни в чем не	1	3
3	один и тот же	1	3
4	в том числе и	3	3
5	до сих пор не	1	3
6	сих пор не было	1	2
7	с одной стороны и	1	2
8	в том что в	1	2
9	и в то же	3	2
10	только для того чтобы	2	2
11	то же время он	1	1
12	не что иное как	1	1
13	ни в коем случае	1	1
14	хотя он и не	1	1
15	но вместе с тем	1	1
16	мы можем сказать что	1	1
17	таким образом и здесь	1	1
18	сущности одна и та	1	1
19	для того чтобы не	1	1
20	в то время когда	1	1
21	мы не находим в	1	1
22	с другой стороны в	1	1
23	как и во всех	2	1
24	в связи с этим	3	1
25	то же самое что	1	1
26	дошедшим до нас пьесам	1	1
27	одного и того же	1	1
28	в соответствии с этим	1	1
29	в том что ему	1	1
30	до сих пор еще	2	1
31	мы можем судить о	1	1
32	но и в тех	1	1
33	так же как и	2	1
34	одна и та же	1	1
35	вместе с тем он	1	1
36	в честь богини цереры	1	1
37	в сущности одна и	1	1
