N	3gram	Losev_Dial	RusskieA
1	в том что	12	49
2	в этот день	1	23
3	и т д	38	21
4	тем не менее	10	14
5	о том что	6	10
6	том что в	1	9
7	для того чтобы	1	8
8	в данном случае	3	8
9	но это не	2	8
10	подобно тому как	5	8
11	т е в	4	7
12	мы не можем	2	7
13	не может быть	12	6
14	в это время	1	6
15	так же как	2	6
16	в связи с	3	5
17	к тому что	2	5
18	не что иное	6	4
19	как мы уже	1	4
20	в отличие от	1	4
21	не только на	1	4
22	только тогда когда	6	4
23	что иное как	6	4
24	а иногда и	1	4
25	в то время	6	4
26	во всяком случае	3	4
27	тех пор пока	1	3
28	во многих местах	1	3
29	более или менее	1	3
30	до сих пор	1	3
31	же как и	1	3
32	до некоторой степени	1	3
33	самом же деле	1	3
34	на самом же	1	3
35	и в том	1	3
36	мы не имеем	2	3
37	на то что	3	3
38	с точки зрения	25	3
39	до тех пор	1	3
40	и что в	1	3
41	с тем что	1	3
42	это не значит	1	2
43	ничего общего не	2	2
44	о том как	2	2
45	и т п	1	2
46	дело не в	1	2
47	в течение всего	2	2
48	не значит что	2	2
49	может быть только	1	2
50	одно из них	1	2
51	что каждый из	1	2
52	с другой стороны	3	2
53	но так как	1	2
54	т д и	8	2
55	равно как и	2	2
56	ту или иную	1	2
57	как и в	3	2
58	кто во что	1	2
59	можно сказать что	1	2
60	чем в других	1	2
61	вопрос о том	1	2
62	во всем этом	1	2
63	на самом деле	1	2
64	иметь в виду	3	2
65	ни одна из	1	2
66	не только в	1	2
67	и в этом	4	2
68	в виду что	2	2
69	т е как	2	2
70	в таком виде	1	2
71	с одной стороны	3	2
72	в этом отношении	2	2
73	факты как например	1	1
74	и как бы	2	1
75	как и вообще	1	1
76	только одна из	1	1
77	не в этом	1	1
78	и в таком	1	1
79	по существу совершенно	1	1
80	того или другого	3	1
81	первые два и	1	1
82	брать на себя	1	1
83	и все это	1	1
84	в таком же	1	1
85	далеко не всегда	1	1
86	потому что она	2	1
87	потому что в	1	1
88	и после этого	1	1
89	только потому что	1	1
90	и пр и	2	1
91	в таком случае	11	1
92	которую можно назвать	1	1
93	что сам он	1	1
94	сам по себе	6	1
95	и то и	1	1
96	смысл т е	1	1
97	даже если бы	1	1
98	в такой же	1	1
99	она не может	1	1
100	в особенности же	1	1
101	с религией или	1	1
102	легко заметить что	2	1
103	но может быть	1	1
104	точно так же	3	1
105	и таким образом	1	1
106	ничего не знает	2	1
107	быть не только	1	1
108	на дороге с	1	1
109	что в них	1	1
110	можно говорить о	1	1
111	точки зрения в	2	1
112	христа и всей	1	1
113	что бы ни	1	1
114	в древней греции	1	1
115	таким образом есть	1	1
116	к тому же	2	1
117	что в основе	1	1
118	мы видим что	2	1
119	именно тогда когда	1	1
120	из всего этого	1	1
121	и пр в	2	1
122	не объясняет ни	1	1
123	одна из форм	1	1
124	но в особенности	1	1
125	не может не	3	1
126	необходимо решить вопрос	1	1
127	в природе и	1	1
128	то же самое	1	1
129	сама по себе	11	1
130	несмотря ни на	1	1
131	в применении к	1	1
132	а именно с	1	1
133	ни на какую	1	1
134	ни о каких	1	1
135	к нему и	1	1
136	в одном из	1	1
137	т е не	4	1
138	только одно из	1	1
139	как это часто	1	1
140	а вместе с	1	1
141	и может быть	1	1
142	все то же	1	1
143	эта точка зрения	1	1
144	т д в	2	1
145	в них же	1	1
146	можно понимать как	2	1
147	не более как	1	1
148	нас к необходимости	1	1
149	не потому что	2	1
150	в некоторых случаях	1	1
151	а следовательно и	1	1
152	сказать что в	1	1
153	христианского учения о	1	1
154	виду что все	1	1
155	тому как бывает	1	1
156	это время не	1	1
157	независимо от того	1	1
158	так чтобы они	1	1
159	и на всем	1	1
160	это не имеет	1	1
161	в христианской религии	1	1
162	из того что	2	1
163	хотя и не	2	1
164	показывает что в	1	1
165	необходимо иметь в	1	1
166	хотя бы на	1	1
167	не было ни	2	1
168	не отличаются от	1	1
169	и та же	3	1
170	что мы имеем	1	1
171	о том кто	1	1
172	как и все	5	1
173	отнюдь не есть	2	1
174	с наступлением весны	1	1
175	что их не	1	1
176	и если она	1	1
177	не имеет с	1	1
178	не только потому	1	1
179	как одна из	1	1
180	ничего не говорится	1	1
181	животных и т	1	1
182	что в нем	1	1
183	получается так что	1	1
184	в собственном смысле	1	1
185	христа на небо	1	1
186	том что они	1	1
187	так что в	2	1
188	одна и та	3	1
189	т е что	8	1
190	и этого мало	1	1
191	а так как	1	1
192	она не имеет	1	1
193	в чем именно	1	1
194	сюда же относятся	1	1
195	и не только	5	1
196	общего не имеет	1	1
197	это и есть	4	1
198	и показывает что	1	1
199	то время как	6	1
200	что и в	1	1
201	нас в данном	1	1
202	в основе своей	1	1
203	он был бы	1	1
