N	3gram	Tiupa_Teor	VrazhdaK
1	то же время	8	4
2	в то же	8	4
3	в русской литературе	2	3
4	в связи с	3	3
5	в том что	10	2
6	не может быть	5	2
7	но в то	2	2
8	он не только	1	2
9	как раз в	1	2
10	с точки зрения	3	2
11	писал об этом	1	1
12	войне и мире	2	1
13	– это не	1	1
14	а также в	1	1
15	в свою очередь	3	1
16	а между тем	1	1
17	в войне и	2	1
18	в то время	1	1
19	одно и то	2	1
20	– это и	1	1
21	речь идет о	1	1
22	уже говорилось выше	1	1
23	точно так же	1	1
24	так же как	1	1
25	а тем более	1	1
26	и в то	2	1
27	в соответствии с	2	1
28	по крайней мере	1	1
29	в этом смысле	3	1
30	заключается в том	1	1
31	а с другой	2	1
32	не только не	2	1
33	о том что	1	1
34	в романе достоевского	1	1
35	в е годы	1	1
36	между тем это	1	1
37	тем не менее	3	1
38	к вопросу о	1	1
39	и в самом	2	1
40	как бы в	1	1
41	едва ли не	1	1
42	на свое место	1	1
43	с другой стороны	6	1
44	в известном смысле	2	1
45	то что они	2	1
46	связи с этим	1	1
47	это и есть	1	1
48	на первый взгляд	1	1
49	и то же	2	1
50	речь идет не	1	1
51	может быть и	2	1
