N	3gram	Medvedev_F	RusskieA
1	в том что	3	49
2	состоит в том	1	29
3	и т д	11	21
4	тем не менее	2	14
5	в этом случае	1	12
6	вместе с тем	5	11
7	и в других	1	9
8	в том чтобы	3	9
9	для того чтобы	3	8
10	в данном случае	2	8
11	т е в	2	7
12	в настоящее время	11	7
13	как мы увидим	3	7
14	мы не можем	3	7
15	не может быть	11	6
16	по этому поводу	1	6
17	в это время	1	6
18	как мы видели	5	6
19	так же как	1	6
20	в связи с	9	5
21	к тому что	3	5
22	не что иное	1	4
23	и многие другие	1	4
24	в отличие от	2	4
25	не только на	1	4
26	что иное как	1	4
27	во всяком случае	6	4
28	а н веселовского	3	3
29	но вместе с	1	3
30	по отношению к	4	3
31	т е на	1	3
32	еще далеко не	1	3
33	более или менее	7	3
34	до сих пор	7	3
35	с тем и	2	3
36	же как и	1	3
37	самом же деле	1	3
38	в своей книге	2	3
39	на самом же	1	3
40	и в том	1	3
41	в свою очередь	6	3
42	с точки зрения	17	3
43	до тех пор	1	3
44	все же не	1	3
45	с тем что	3	3
46	может быть и	4	3
47	мы уже знаем	1	2
48	в других случаях	1	2
49	в большинстве случаев	5	2
50	и т п	11	2
51	совершенно очевидно что	1	2
52	и некоторые другие	1	2
53	ничего общего с	2	2
54	что каждый из	1	2
55	так как они	1	2
56	но все же	2	2
57	что в первый	1	2
58	с другой стороны	4	2
59	равно как и	1	2
60	мы увидим что	1	2
61	каждый из этих	1	2
62	как и в	1	2
63	на самом деле	7	2
64	они ничего не	1	2
65	иметь в виду	1	2
66	во всех этих	1	2
67	и в этом	6	2
68	в виду что	1	2
69	но тем не	1	2
70	т е как	3	2
71	в таком виде	1	2
72	с одной стороны	5	2
73	в этом отношении	7	2
74	по происхождению своему	1	2
75	он полагает что	1	1
76	направления в их	1	1
77	и как бы	1	1
78	это приводит к	2	1
79	мы наблюдаем в	1	1
80	на русской почве	1	1
81	и наконец в	2	1
82	существует независимо от	1	1
83	место и в	1	1
84	не в этом	1	1
85	пишет для того	1	1
86	в предыдущей главе	1	1
87	нее как на	1	1
88	что также не	1	1
89	на нее как	1	1
90	главным образом из	1	1
91	такой же степени	1	1
92	но для каждого	1	1
93	не можем согласиться	1	1
94	только тем что	1	1
95	все то что	1	1
96	и пр и	4	1
97	в таком случае	1	1
98	эти требования и	1	1
99	сам по себе	2	1
100	все же в	1	1
101	и то и	1	1
102	не непосредственно а	1	1
103	мы знаем что	1	1
104	что было в	1	1
105	том чтобы установить	1	1
106	в такой же	1	1
107	она не может	1	1
108	можно указать на	1	1
109	но ни одна	1	1
110	между тем как	1	1
111	в то что	1	1
112	можно думать что	1	1
113	по аналогии с	4	1
114	или даже просто	1	1
115	а в связи	1	1
116	в двух направлениях	1	1
117	к вопросу об	1	1
118	что именно эти	1	1
119	и в нашем	1	1
120	то же происходит	1	1
121	поэтому мы не	2	1
122	можно говорить о	1	1
123	что бы ни	2	1
124	носит условный и	1	1
125	в этой роли	1	1
126	но не с	1	1
127	на этот вопрос	1	1
128	что в основе	1	1
129	мы видим что	1	1
130	с обратным знаком	1	1
131	из всего этого	2	1
132	и пр в	1	1
133	но в особенности	1	1
134	не может не	1	1
135	смысле в каком	1	1
136	не входит в	1	1
137	сама по себе	2	1
138	и там где	1	1
139	в применении к	4	1
140	в значительной степени	3	1
141	приблизимся к пониманию	1	1
142	и потому не	1	1
143	прежде всего как	1	1
144	это не могло	1	1
145	в своем исследовании	1	1
146	к нему и	1	1
147	но он не	1	1
148	не по существу	1	1
149	тем что в	1	1
150	к ней как	1	1
151	в противном случае	2	1
152	и может быть	1	1
153	но и в	4	1
154	как мы знаем	2	1
155	и в дальнейшем	1	1
156	эта точка зрения	1	1
157	главным образом на	2	1
158	в целом ряде	2	1
159	мы и здесь	1	1
160	как один из	2	1
161	быть и не	2	1
162	и состоит в	1	1
163	только в том	1	1
164	значения между тем	1	1
165	иногда и в	1	1
166	при этом не	2	1
167	друг другу и	1	1
168	таким образом в	1	1
169	может быть вполне	1	1
170	из того что	1	1
171	в этот поток	1	1
172	в этом бою	1	1
173	и до сих	2	1
174	смысле этого слова	4	1
175	в нашу задачу	1	1
176	как и все	2	1
177	значения и смысла	1	1
178	входит в круг	1	1
179	из этих элементов	1	1
180	очень близки к	1	1
181	это и не	1	1
182	как одна из	1	1
183	что в нем	2	1
184	может быть признана	1	1
185	в собственном смысле	1	1
186	влияние и на	2	1
187	в новое время	1	1
188	т е что	1	1
189	непосредственно а через	1	1
190	дать более или	1	1
191	по этому вопросу	1	1
192	сюда же относятся	1	1
193	вне связи с	1	1
194	или же в	1	1
195	что и в	2	1
196	не могла быть	1	1
197	он был бы	1	1
198	сводится к тому	2	1
