N	4gram	Losev_Prob	TeoriaLi
1	одного и того же	1	4
2	мы имеем в виду	1	3
3	в том числе и	1	2
4	с этой точки зрения	1	2
5	в том что он	1	2
6	одно и то же	3	2
7	бы то ни было	4	2
8	в войне и мире	1	2
9	и в то же	2	2
10	а иной раз и	1	1
11	сама по себе а	2	1
12	и того же типа	1	1
13	не что иное как	6	1
14	о и а и	1	1
15	заключается в том что	4	1
16	в узком значении этого	1	1
17	данном случае совершенно не	1	1
18	с одной стороны и	1	1
19	той или иной мере	3	1
20	можно даже сказать что	1	1
21	по себе а в	1	1
22	дело в том что	3	1
23	а в то же	1	1
24	дело не в самом	1	1
25	по себе еще не	1	1
26	узком значении этого слова	1	1
27	не содержит в себе	1	1
28	с точки зрения логики	1	1
29	не сама по себе	2	1
30	в той или иной	7	1
31	не может быть и	1	1
32	одним и тем же	1	1
33	никак не может быть	1	1
34	еще и потому что	1	1
35	какой бы то ни	1	1
36	в данном случае совершенно	1	1
37	в связи с этим	1	1
38	том или ином отношении	1	1
39	в том или ином	2	1
40	себе отчет в том	2	1
41	чего бы то ни	2	1
42	есть не что иное	6	1
