N	4gram	Losev_Prob	Tvorches
1	и в то же	2	6
2	дело в том что	3	4
3	в том числе и	1	2
4	заключается в том что	4	2
5	не сами по себе	1	2
6	это не значит что	1	2
7	о котором говорилось выше	1	2
8	в то же самое	10	1
9	на самом же деле	7	1
10	не что иное как	6	1
11	в том смысле что	4	1
12	сами по себе и	1	1
13	на том или другом	1	1
14	все более и более	1	1
15	таким образом и в	1	1
16	каких бы то ни	1	1
17	ни в чем не	2	1
18	с точки зрения их	1	1
19	по себе а как	1	1
20	одного и того же	1	1
21	но это не значит	1	1
22	эпох человеческой истории в	1	1
23	мало чем отличается от	1	1
24	в войне и мире	1	1
25	и такие термины как	1	1
26	и т д и	5	1
27	т д и т	5	1
28	ответ на этот вопрос	1	1
29	мы имеем в виду	1	1
30	с другой стороны и	1	1
31	хотя на самом деле	1	1
32	и т д в	1	1
33	особенно в медном всаднике	1	1
34	бы то ни было	4	1
35	в том что этот	1	1
36	то же самое время	10	1
37	резко отличается и от	1	1
38	и тем не менее	6	1
39	говорить о том что	2	1
40	т д все это	1	1
41	и т д все	1	1
42	так же как и	3	1
43	не содержит в себе	1	1
44	д и т д	5	1
