N	2gram	Tiupa_Narr	SlovoVZh
1	не может	16	16
2	может быть	24	14
3	точки зрения	8	14
4	как бы	11	13
5	и его	12	13
6	таким образом	5	12
7	и в	22	12
8	отношению к	5	11
9	по отношению	5	11
10	в нашем	4	11
11	и не	34	10
12	так как	1	9
13	если бы	9	9
14	прежде всего	7	8
15	для нас	2	7
16	сказать что	5	7
17	все время	2	6
18	в ней	5	6
19	слова и	1	6
20	с помощью	2	6
21	в том	20	6
22	в процессе	2	6
23	только в	23	6
24	в нем	9	6
25	при этом	31	6
26	можно сказать	11	5
27	что мы	2	5
28	героя и	4	5
29	хотя бы	4	5
30	должна быть	2	5
31	то же	12	5
32	а не	27	5
33	в виду	2	5
34	то что	14	5
35	в жизни	9	5
36	как и	15	5
37	как в	9	5
38	отнюдь не	6	5
39	том что	15	5
40	но в	10	5
41	никогда не	8	5
42	в самом	8	4
43	и к	7	4
44	к автору	1	4
45	высказывания как	1	4
46	в литературе	8	4
47	и на	5	4
48	не только	50	4
49	ни было	1	4
50	и является	2	4
51	на самом	1	4
52	как если	2	4
53	за пределы	1	4
54	его в	1	4
55	с другой	6	4
56	не в	12	4
57	дело в	2	4
58	отношение к	2	4
59	что не	2	4
60	так и	12	4
61	уже не	11	4
62	жизни и	7	4
63	в этом	23	4
64	все же	10	4
65	зависимости от	3	4
66	к нему	5	4
67	бы то	1	3
68	как к	3	3
69	и с	3	3
70	ее и	1	3
71	к герою	2	3
72	до сих	3	3
73	и более	2	3
74	в котором	3	3
75	с героем	1	3
76	автору и	1	3
77	и по	3	3
78	мы не	5	3
79	то ни	1	3
80	или не	5	3
81	между тем	5	3
82	для него	8	3
83	отношении к	1	3
84	с ним	6	3
85	того что	7	3
86	быть и	3	3
87	и уже	4	3
88	когда он	1	3
89	тем не	7	3
90	все это	1	3
91	ни в	1	3
92	в пределах	2	3
93	по себе	4	3
94	так же	2	3
95	в каком	1	3
96	социального взаимодействия	1	3
97	в творчестве	1	3
98	этой точки	1	3
99	самом деле	4	3
100	только на	4	3
101	но для	5	3
102	в себе	14	3
103	произведения и	1	3
104	ясно что	2	3
105	все эти	3	3
106	о том	5	3
107	в своей	8	3
108	здесь не	4	3
109	не менее	6	3
110	в такой	1	3
111	нуждается в	1	3
112	да и	5	3
113	но и	39	3
114	ведь и	1	3
115	и для	4	3
116	точек зрения	2	3
117	точка зрения	5	3
118	на границе	1	3
119	художественное произведение	1	3
120	и ее	3	3
121	и наконец	2	3
122	сих пор	3	3
123	и вообще	1	3
124	не к	4	3
125	внутренней речи	3	3
126	еще не	6	3
127	в особенности	2	2
128	что в	6	2
129	этих двух	2	2
130	все они	1	2
131	но это	2	2
132	и потому	2	2
133	действия и	1	2
134	вместе со	1	2
135	продукт социального	1	2
136	и то	3	2
137	опираясь на	1	2
138	мы можем	2	2
139	в данном	17	2
140	в душе	3	2
141	в то	9	2
142	еще раз	3	2
143	породившей его	1	2
144	по природе	1	2
145	которые мы	1	2
146	слово это	2	2
147	к слову	1	2
148	данном случае	12	2
149	в момент	1	2
150	в событии	3	2
151	зависит от	3	2
152	с одной	5	2
153	уже в	1	2
154	там где	1	2
155	в его	12	2
156	с этой	3	2
157	она не	2	2
158	это не	6	2
159	одной стороны	5	2
160	автора и	2	2
161	относится к	1	2
162	дело с	4	2
163	с точки	2	2
164	мы имеем	6	2
165	была бы	1	2
166	нашего сознания	1	2
167	на него	4	2
168	тем как	1	2
169	в себя	3	2
170	в формах	2	2
171	и слово	1	2
172	как это	7	2
173	жизненной ситуации	1	2
174	но все	1	2
175	но зато	4	2
176	если же	2	2
177	одно и	2	2
178	и та	1	2
179	и что	1	2
180	что и	3	2
181	в отношении	1	2
182	в форме	7	2
183	же самое	3	2
184	о ком	1	2
185	конечно в	1	2
186	другой стороны	2	2
187	этой стороны	1	2
188	но что	1	2
189	как не	1	2
190	в этих	3	2
191	тому же	9	2
192	связь с	1	2
193	оно не	4	2
194	а к	3	2
195	как же	1	2
196	и притом	3	2
197	для других	3	2
198	к ним	2	2
199	и здесь	3	2
200	как на	2	2
201	и все	7	2
202	кругозора и	3	2
203	в комнате	1	2
204	но не	7	2
205	быть только	1	2
206	его как	2	2
207	могут быть	1	2
208	значения и	2	2
209	с другими	1	2
210	звучит так	1	2
211	до конца	2	2
212	не остается	1	2
213	стороны и	1	2
214	в своем	7	2
215	в корне	1	2
216	в какой	2	2
217	имеет место	4	2
218	вместе с	3	2
219	между ними	3	2
220	место в	3	2
221	в зависимости	3	2
222	к его	5	2
223	и так	1	2
224	до известной	1	2
225	со словом	1	2
226	с его	6	2
227	его к	1	2
228	известной степени	1	2
229	к этому	2	2
230	бы не	1	2
231	подчеркнуть что	2	2
232	между собой	3	2
233	он не	8	2
234	что слово	1	2
235	на материале	1	2
236	в чем	3	2
237	делает его	1	2
238	и совершенно	1	2
239	но мы	1	2
240	им не	1	2
241	словами и	1	2
242	точку зрения	3	2
243	едва ли	5	2
244	ничего не	8	2
245	жизнью и	1	2
246	возможна только	1	2
247	более того	1	2
248	выражение и	1	2
249	или иным	2	1
250	зрительный образ	2	1
251	ситуации и	2	1
252	в русской	3	1
253	на которую	1	1
254	к одному	1	1
255	это на	1	1
256	жизнь и	1	1
257	они являются	1	1
258	то в	4	1
259	одним и	1	1
260	события и	1	1
261	во всяком	2	1
262	это и	2	1
263	принимают участие	1	1
264	что они	1	1
265	его и	2	1
266	является в	1	1
267	нему в	1	1
268	ситуации в	3	1
269	захватывают и	1	1
270	в искусстве	1	1
271	во всех	2	1
272	события а	1	1
273	не является	7	1
274	слово есть	1	1
275	а с	2	1
276	только к	3	1
277	и он	8	1
278	это делает	1	1
279	та же	2	1
280	по преимуществу	1	1
281	общения в	1	1
282	зрения на	2	1
283	приближается к	1	1
284	и автора	1	1
285	опирается на	2	1
286	так можно	1	1
287	которой было	1	1
288	основе своей	1	1
289	отражение в	1	1
290	на этом	1	1
291	собственной внутренней	1	1
292	них в	1	1
293	которой он	4	1
294	мы воспринимаем	1	1
295	бы но	1	1
296	и было	1	1
297	не подлежащее	1	1
298	и героев	1	1
299	необходимо все	1	1
300	то есть	15	1
301	нельзя было	1	1
302	и сейчас	1	1
303	художественного высказывания	2	1
304	должно быть	1	1
305	мы уже	1	1
306	к одной	1	1
307	ли он	2	1
308	значение и	1	1
309	форме так	1	1
310	и уж	1	1
311	мы увидим	1	1
312	и того	5	1
313	трех говорящего	1	1
314	и вот	2	1
315	зрения как	2	1
316	каким бы	1	1
317	в произведении	2	1
318	но при	5	1
319	она в	3	1
320	может идти	1	1
321	героя в	6	1
322	в свою	4	1
323	в значительной	1	1
324	входит в	2	1
325	случае мы	1	1
326	того чтобы	7	1
327	не должен	1	1
328	он как	1	1
329	определенным образом	1	1
330	именно этим	1	1
331	бытия именно	1	1
332	в основе	1	1
333	одна и	1	1
334	еще более	1	1
335	и иных	3	1
336	в другом	5	1
337	а из	1	1
338	словесного творчества	1	1
339	тому как	4	1
340	несмотря на	1	1
341	но то	1	1
342	но эти	1	1
343	это только	1	1
344	взаимоотношений и	1	1
345	признать что	1	1
346	на протяжении	12	1
347	поле зрения	1	1
348	и продукт	1	1
349	обстоит дело	1	1
350	во многих	1	1
351	для всего	1	1
352	второй план	1	1
353	что это	4	1
354	в противном	1	1
355	хотя и	8	1
356	из особенностей	1	1
357	и тогда	2	1
358	так называемые	1	1
359	этом отношении	5	1
360	его внутренней	3	1
361	и точек	1	1
362	это уже	3	1
363	в новой	1	1
364	ни единого	1	1
365	о чем	6	1
366	мы должны	1	1
367	на другое	1	1
368	позиции автора	1	1
369	в ее	4	1
370	это по	1	1
371	и тем	9	1
372	и т.п	11	1
373	нашем случае	1	1
374	сам по	1	1
375	или просто	2	1
376	от социального	1	1
377	комнате в	1	1
378	какой бы	1	1
379	в частности	23	1
380	говорит о	3	1
381	нашего времени	1	1
382	нас является	1	1
383	для нее	2	1
384	не как	1	1
385	аналогии с	1	1
386	однако эта	1	1
387	и вся	1	1
388	за ее	1	1
389	два человека	1	1
390	в качестве	27	1
391	всей жизни	1	1
392	потому не	2	1
393	вступает в	2	1
394	его смысла	2	1
395	всего тем	1	1
396	содержание в	1	1
397	не обходится	1	1
398	ком или	1	1
399	в одном	5	1
400	в области	4	1
401	одно из	2	1
402	у нас	4	1
403	что каждый	1	1
404	произведения эта	1	1
405	отказывается от	1	1
406	частности в	2	1
407	можно было	2	1
408	в приведенном	1	1
409	виду и	1	1
410	и делает	1	1
411	кто не	1	1
412	однако он	1	1
413	взаимодействия трех	1	1
414	высказывания в	3	1
415	классической и	1	1
416	в результате	4	1
417	он думает	1	1
418	этом направлении	1	1
419	как нечто	1	1
420	сводится к	10	1
421	для них	2	1
422	и создает	1	1
423	значительной степени	1	1
424	по мере	2	1
