N	3gram	Vygotskiy_	Morfolog
1	и т д	6	60
2	мы видим что	7	11
3	в этом случае	1	10
4	не может быть	3	9
5	таким образом мы	1	7
6	мы увидим ниже	2	6
7	с точки зрения	11	6
8	подобно тому как	1	5
9	как мы увидим	2	5
10	с другой стороны	5	5
11	а также и	1	5
12	в том что	20	4
13	на самом деле	3	4
14	образом мы видим	2	4
15	к тому что	5	4
16	но все же	1	4
17	может быть названо	1	4
18	на то что	16	3
19	о том что	8	3
20	как и в	1	3
21	для того чтобы	17	3
22	в то время	4	3
23	состоит в том	2	3
24	в том случае	4	3
25	в первом случае	1	3
26	на первый взгляд	1	3
27	то время как	3	3
28	о том как	3	2
29	мы увидим что	9	2
30	дело не в	1	2
31	то что в	5	2
32	потому что его	1	2
33	говорить о том	3	2
34	тем и другим	1	2
35	более или менее	1	2
36	том случае если	4	2
37	не что иное	1	2
38	из которых один	1	2
39	можно было бы	6	2
40	точно так же	3	2
41	мы уже видели	1	2
42	и таким образом	1	2
43	в данном случае	5	2
44	мы имеем в	1	2
45	но так как	1	2
46	можно показать что	1	2
47	а вовсе не	2	2
48	во всяком случае	6	2
49	что иное как	1	2
50	в тех случаях	1	2
51	с одной стороны	6	2
52	во второй раз	1	2
53	в этом отношении	1	2
54	может быть и	1	2
55	существу вовсе не	1	1
56	сих пор не	1	1
57	тому что в	1	1
58	все это мы	1	1
59	в свою очередь	3	1
60	и тот же	1	1
61	представляют собой наиболее	1	1
62	с этим и	1	1
63	т д все	1	1
64	к тому или	1	1
65	чем перейти к	1	1
66	в глаза что	1	1
67	те случаи когда	1	1
68	мы уже знаем	2	1
69	они представляют собой	1	1
70	как один из	1	1
71	вслед за этим	2	1
72	он как бы	1	1
73	нашу мысль на	1	1
74	в применении к	1	1
75	а на самом	1	1
76	то что он	3	1
77	следует остановиться на	1	1
78	главным образом и	1	1
79	и может быть	3	1
80	видим что в	1	1
81	бы сказать что	1	1
82	правильнее было бы	1	1
83	наряду с этими	1	1
84	так как мы	2	1
85	то мы увидим	1	1
86	она должна быть	3	1
87	однако все это	1	1
88	самом деле в	1	1
89	том что такое	1	1
90	перед нами в	1	1
91	что в таких	1	1
92	один и тот	1	1
93	а не по	1	1
94	не более как	1	1
95	в первый раз	2	1
96	чаще всего в	1	1
97	но об этом	1	1
98	она могла бы	1	1
99	с этой точки	2	1
100	бы в том	1	1
101	то для того	1	1
102	как это видно	1	1
103	мы нашли что	1	1
104	и независимо от	1	1
105	по существу вовсе	1	1
106	можно сказать что	1	1
107	как раз обратное	2	1
108	то с другой	1	1
109	только в том	5	1
110	но если мы	1	1
111	который может быть	1	1
112	то это еще	1	1
113	потому что в	2	1
114	здесь мы говорили	1	1
115	образом если мы	1	1
116	в этом и	1	1
117	и что следовательно	1	1
118	здесь мы имеем	1	1
119	могло бы быть	1	1
120	более и более	4	1
121	но они не	1	1
122	так как эти	1	1
123	и то же	3	1
124	на этот вопрос	1	1
125	как мы уже	1	1
126	может быть дано	1	1
127	в таком случае	1	1
128	мы будем говорить	1	1
129	и как будто	1	1
130	первый раз он	1	1
131	в противном случае	1	1
132	друг с другом	2	1
133	до сих пор	6	1
134	совершенно ясно что	10	1
135	все же в	2	1
136	не потому что	1	1
137	и посвящена настоящая	1	1
138	все более и	4	1
139	ясно что это	1	1
140	то же с	1	1
141	что под этим	1	1
142	не в той	1	1
143	один из его	1	1
144	ни одна из	1	1
145	мы переходим к	1	1
146	самом деле он	1	1
147	как это обычно	1	1
148	очень большую роль	1	1
149	совсем не так	1	1
150	одно и то	3	1
151	таким образом что	2	1
152	бросается в глаза	2	1
153	было бы показать	1	1
154	так как они	1	1
155	совершенно непонятно почему	1	1
156	вместо того чтобы	3	1
157	если бы мы	1	1
158	так например в	2	1
159	порядке в каком	1	1
160	вполне может быть	1	1
161	но как мы	1	1
162	надо сказать что	4	1
163	в том или	1	1
164	но если бы	2	1
165	она может быть	1	1
166	даже не упоминается	1	1
167	с самого начала	10	1
168	из них не	1	1
169	том что он	3	1
170	не имеет ничего	1	1
171	в точном смысле	2	1
172	в совершенно другом	1	1
173	которые можно назвать	1	1
174	это было бы	2	1
175	тем что она	1	1
176	по существу и	1	1
177	в высшей степени	1	1
178	но в этом	1	1
179	одновременно с этим	1	1
180	ясно что и	1	1
181	этой точки зрения	2	1
182	между тем в	2	1
183	два раза в	1	1
184	и там где	1	1
185	одна из них	2	1
186	как бы в	1	1
187	это значит что	2	1
188	в чем она	1	1
189	как таковые как	1	1
190	или во всяком	2	1
191	в третий раз	1	1
192	то это значит	1	1
193	не то что	4	1
194	так же и	1	1
195	еще упомянуть о	1	1
196	те или иные	1	1
197	мы не можем	2	1
198	что несмотря на	1	1
199	он не может	1	1
200	потому что они	2	1
201	было бы сказать	2	1
