N	3gram	Ircho_Kome	Poddanst
1	то же время	11	7
2	в то же	11	7
3	в отношении к	1	5
4	в том что	15	4
5	не только в	1	4
6	с точки зрения	6	3
7	с одной стороны	4	3
8	и если бы	1	2
9	и как раз	1	2
10	в полной мере	1	2
11	но и в	1	2
12	и в то	2	2
13	в том числе	2	2
14	в тот же	1	2
15	одной стороны и	2	2
16	и т д	1	1
17	не было бы	1	1
18	друг с другом	3	1
19	что из этой	1	1
20	в этом стремлении	1	1
21	закрывать глаза на	1	1
22	именно потому что	2	1
23	и в частности	1	1
24	за то что	1	1
25	чуть ли не	2	1
26	а в качестве	1	1
27	вместе с тем	5	1
28	насколько мы можем	1	1
29	и тем самым	1	1
30	том числе и	2	1
31	не может быть	1	1
32	на чужбине и	1	1
33	и не менее	1	1
34	на пути к	2	1
35	том что в	1	1
36	в ней и	1	1
37	в отличие от	3	1
38	по сравнению с	3	1
39	есть для нас	1	1
40	тех пор пока	1	1
41	хотя и без	1	1
42	в собственном смысле	1	1
43	но в этом	1	1
44	нет ничего более	1	1
45	во всяком случае	3	1
46	для того чтобы	8	1
47	и тем более	2	1
48	с другой стороны	2	1
49	и не может	1	1
50	в том виде	1	1
51	в настоящее время	1	1
52	более или менее	2	1
53	тем более что	1	1
54	так же как	1	1
55	до тех пор	5	1
56	потому что по	1	1
57	и в этом	1	1
