N	4gram	Vinokur_Ku	TeoriaLi
1	в то же время	4	8
2	состоит в том что	4	5
3	одного и того же	2	4
4	в виду не только	1	3
5	имеем в виду не	1	3
6	мы имеем в виду	1	3
7	с этой точки зрения	3	2
8	и в самом деле	4	2
9	в том что он	3	2
10	одно и то же	1	2
11	бы то ни было	1	2
12	и в то же	1	2
13	той мере в какой	6	1
14	не что иное как	2	1
15	заключается в том что	2	1
16	в той мере в	6	1
17	в нашем языковом сознании	1	1
18	в том что она	1	1
19	в одном и том	1	1
20	а с другой стороны	2	1
21	в том случае если	3	1
22	одном и том же	1	1
23	дело в том что	1	1
24	из уст в уста	1	1
25	позицию по отношению к	1	1
26	никак не может быть	1	1
27	еще и потому что	1	1
28	какой бы то ни	1	1
29	точно так же как	3	1
30	можно сказать что для	1	1
31	в том или ином	1	1
32	есть не что иное	1	1
