N	3gram	Bakhtin_Pr	VeschiIm
1	не может быть	8	24
2	бы то ни	3	12
3	то ни было	2	12
4	тем не менее	1	11
5	по крайней мере	3	10
6	в том что	10	9
7	в самом деле	5	7
8	по сравнению с	2	7
9	сама по себе	3	7
10	ни в каком	1	6
11	с точки зрения	21	6
12	то и другое	1	6
13	может быть только	3	6
14	и не только	1	6
15	в чем же	1	5
16	в то же	10	5
17	и то что	1	5
18	не потому что	3	5
19	подобно тому как	5	5
20	не только в	2	5
21	что оно есть	1	5
22	равно как и	1	4
23	в себе в	1	4
24	то время как	2	4
25	этой точки зрения	3	4
26	с этой точки	1	4
27	в то время	3	4
28	более или менее	1	4
29	не только не	1	4
30	дело в том	1	4
31	о том что	5	4
32	это и есть	3	4
33	само по себе	4	4
34	есть то что	1	4
35	то же время	10	4
36	потому что они	2	4
37	как она есть	1	3
38	и даже не	1	3
39	заключается в том	2	3
40	можно сказать что	3	3
41	если бы я	1	3
42	все же не	1	3
43	сами по себе	4	3
44	она не может	3	3
45	мы не можем	1	3
46	можно было бы	4	3
47	и в то	3	3
48	только то что	2	3
49	с другой стороны	3	3
50	так же как	4	2
51	привело бы к	1	2
52	в определенном направлении	1	2
53	раз навсегда и	1	2
54	то что он	1	2
55	в той или	2	2
56	не только их	1	2
57	все то что	3	2
58	и ни с	1	2
59	не только к	1	2
60	а не к	1	2
61	мы видим что	2	2
62	в данном случае	3	2
63	в том чтобы	1	2
64	что в результате	1	2
65	я и не	1	2
66	знает и понимает	1	2
67	хотя бы и	3	2
68	было бы сказать	1	2
69	и относится к	1	2
70	в этом смысле	12	2
71	а следовательно и	1	2
72	с самим собою	2	2
73	для того чтобы	3	2
74	по природе своей	2	2
75	и есть то	1	2
76	не относится к	1	2
77	вы говорите что	1	2
78	друг с другом	4	2
79	том что он	4	2
80	тут не может	1	2
81	и в частности	1	2
82	а есть только	2	2
83	в первом случае	1	2
84	в отношении к	1	2
85	в конце концов	7	2
86	в нем нет	1	2
87	тех или иных	1	2
88	даже и не	1	2
89	как бы ни	1	2
90	можно говорить о	1	2
91	тем или другим	1	2
92	принципиально не может	1	2
93	нужно сказать что	2	2
94	она может быть	1	2
95	к тому что	1	2
96	но все же	3	2
97	то что я	2	2
98	во всяком случае	3	2
99	в этом отношении	7	2
100	и в этом	8	2
101	а не только	2	2
102	что он есть	3	2
103	что же касается	1	2
104	как раз и	2	2
105	смысле и в	1	1
106	быть не может	1	1
107	у нее нет	1	1
108	в полной мере	1	1
109	не может понять	2	1
110	та точка зрения	1	1
111	ответ на вопрос	1	1
112	что же вы	1	1
113	в самом начале	3	1
114	до самого последнего	1	1
115	и в целом	2	1
116	и как бы	3	1
117	это не значит	3	1
118	он должен быть	1	1
119	как будто бы	1	1
120	что она не	3	1
121	в первой степени	1	1
122	том что это	1	1
123	что почти все	1	1
124	точка зрения на	2	1
125	смысл может быть	1	1
126	только в своем	1	1
127	что я называю	1	1
128	по себе но	1	1
129	по себе а	1	1
130	по существу своему	1	1
131	и во всяком	1	1
132	в той же	3	1
133	и только в	1	1
134	но потому что	2	1
135	только это и	1	1
136	в том смысле	1	1
137	сам он и	1	1
138	лишь одна из	1	1
139	только в свете	1	1
140	эти две стороны	1	1
141	для него не	2	1
142	самом деле в	1	1
143	самого последнего времени	1	1
144	что тут не	1	1
145	и со стороны	1	1
146	и не потому	2	1
147	в пределах самого	1	1
148	и в самом	1	1
149	в действительности если	1	1
150	в себе и	1	1
151	их сущность но	1	1
152	мы подходим к	1	1
153	то что в	1	1
154	какой бы то	1	1
155	приводит их в	1	1
156	и в нем	1	1
157	что все это	1	1
158	качеств и свойств	1	1
159	это не только	1	1
160	с собою и	1	1
161	она и не	1	1
162	было так то	1	1
163	что и в	1	1
164	не в том	1	1
165	было бы нелепо	1	1
166	потому что она	3	1
167	ее и в	1	1
168	тот же самый	1	1
169	его и следовательно	1	1
170	независимо от того	1	1
171	есть только в	1	1
172	и потому ее	1	1
173	что у него	1	1
174	остановиться несколько подробнее	1	1
175	не было бы	1	1
176	все новые и	1	1
177	вовсе еще не	1	1
178	что бы то	1	1
179	а не слово	2	1
180	до сих пор	3	1
181	того что и	1	1
182	именно потому что	3	1
183	одно из самых	1	1
184	резко отличается от	1	1
185	одного и того	1	1
186	и быть не	1	1
187	того что в	1	1
188	таким образом и	1	1
189	тому как в	2	1
190	неразрывно связан с	1	1
191	смысле этого слова	2	1
192	далеко не все	1	1
193	самим собою в	1	1
194	потому что он	2	1
195	что все эти	1	1
196	не может в	1	1
197	в результате такого	2	1
198	но только в	1	1
199	как же она	1	1
200	между ними существует	1	1
201	в очень тонкой	1	1
202	не подозревает о	1	1
203	и того же	1	1
204	а потому что	1	1
205	в этом случае	1	1
206	он и не	3	1
207	но в то	5	1
208	а в том	1	1
209	который был бы	1	1
210	которая заставляет его	1	1
211	они вовсе не	1	1
212	в ней не	1	1
213	и в той	1	1
214	что они не	1	1
215	для него только	1	1
216	у него нет	1	1
217	в зависимости от	5	1
218	с ним и	3	1
219	этот вопрос не	1	1
220	то что для	1	1
221	этого диалога не	1	1
222	со всей полнотой	1	1
223	самой по себе	1	1
224	в новое время	1	1
225	самим по себе	1	1
226	иначе и быть	1	1
227	и для своего	1	1
228	то же самое	1	1
229	происходит не в	1	1
230	и не подозревает	1	1
231	должны быть объяснены	1	1
232	потому что у	3	1
233	та или иная	1	1
234	что может быть	2	1
235	сам для себя	1	1
236	я не могу	1	1
237	это однако не	1	1
238	он говорит о	1	1
239	с ними в	1	1
240	является одним из	2	1
241	оно может быть	2	1
242	он все же	1	1
243	наконец в плане	1	1
244	может быть или	1	1
245	имеет смысл и	1	1
246	и свою идею	1	1
247	только в смысле	1	1
248	новые и новые	1	1
249	и не может	3	1
250	есть все то	1	1
251	может быть и	1	1
