N	2gram	Medvedev_V	VLabPisa
1	в этом	1	29
2	и в	2	26
3	и не	1	20
4	хотя бы	1	20
5	в том	2	15
6	все это	1	13
7	в частности	1	12
8	то же	1	10
9	к этому	1	9
10	только в	1	8
11	том что	2	8
12	главным образом	1	7
13	том же	1	6
14	и его	1	6
15	в их	1	5
16	в самом	1	4
17	по существу	1	4
18	и сводится	1	4
19	по поводу	1	4
20	сводится к	1	3
21	именно в	1	3
22	в конце	2	3
23	в которых	1	3
24	в значительной	1	3
25	а значит	1	3
26	далеко не	1	3
27	значит и	1	3
28	говоря иначе	1	3
29	этом и	1	2
30	да и	1	2
31	одном и	1	2
32	для них	1	2
33	что образы	1	2
34	другом месте	1	2
35	и заключается	1	2
36	в другом	1	2
37	по крайней	1	2
38	даже не	1	2
39	в книге	3	2
40	конце концов	2	2
41	и том	1	2
42	крайней мере	1	2
43	и составляет	1	1
44	в шкловский	2	1
45	и то	1	1
46	от общего	1	1
47	ведь это	1	1
48	как же	1	1
49	все то	1	1
50	самом деле	1	1
51	не будем	1	1
52	а отсюда	1	1
53	теснейшим образом	1	1
54	в устах	1	1
55	на одном	1	1
56	а только	1	1
57	ни к	1	1
58	более чем	1	1
59	от других	1	1
60	тем более	1	1
61	жизнь их	1	1
62	в теории	1	1
63	этому и	1	1
64	потому что	1	1
65	одно и	1	1
66	говоря о	1	1
67	в сугубо	1	1
68	бы уже	1	1
69	материалов и	1	1
70	сводится в	1	1
71	но это	1	1
72	образы которые	1	1
