N	3gram	Propp_Isto	RusskieA
1	в том что	7	49
2	состоит в том	1	29
3	и т д	25	21
4	тем не менее	4	14
5	в этом случае	4	12
6	вместе с тем	6	11
7	о том что	9	10
8	том что в	2	9
9	и в других	2	9
10	в том чтобы	2	9
11	для того чтобы	1	8
12	в данном случае	7	8
13	но это не	3	8
14	т е в	2	7
15	как мы увидим	1	7
16	мы не можем	2	7
17	не может быть	5	6
18	как уже указывалось	1	6
19	как мы видели	3	6
20	так же как	4	6
21	после того как	4	6
22	в связи с	1	5
23	к тому что	1	5
24	мы видели что	4	5
25	как мы уже	1	4
26	как и другие	2	4
27	не только на	1	4
28	в этих случаях	12	4
29	а иногда и	1	4
30	в то время	4	4
31	можно было бы	3	4
32	во всяком случае	3	4
33	один из них	1	4
34	мы не будем	2	4
35	к этому же	1	4
36	но вместе с	2	3
37	по отношению к	3	3
38	еще далеко не	1	3
39	мы должны признать	1	3
40	более или менее	3	3
41	до сих пор	4	3
42	как можно больше	1	3
43	одна из девушек	1	3
44	с тем и	1	3
45	же как и	1	3
46	и потому что	1	3
47	на то что	1	3
48	можно предположить что	3	3
49	с точки зрения	1	3
50	к выводу что	1	3
51	обращает на себя	1	3
52	приводит нас к	2	3
53	здесь мы имеем	8	3
54	все же не	1	3
55	в эту ночь	1	3
56	состоял в том	1	3
57	мы уже видели	3	3
58	и что в	1	3
59	с тем что	2	3
60	это делалось для	1	3
61	это не значит	1	2
62	когда мы рассмотрим	1	2
63	мы уже знаем	5	2
64	в других случаях	1	2
65	они представляют собой	1	2
66	о том как	3	2
67	выше мы видели	2	2
68	в большинстве случаев	1	2
69	и т п	1	2
70	приводят нас к	1	2
71	мы увидим ниже	1	2
72	эти представления не	1	2
73	но и на	2	2
74	дело не в	3	2
75	там же к	1	2
76	не значит что	1	2
77	для наших целей	1	2
78	совершенно очевидно что	1	2
79	и некоторые другие	1	2
80	друг с другом	1	2
81	чтобы лучше понять	1	2
82	что такие представления	1	2
83	не единственная форма	1	2
84	том что на	1	2
85	это не объясняет	1	2
86	если предположить что	1	2
87	так как это	3	2
88	можно сделать из	1	2
89	но все же	3	2
90	не только у	1	2
91	с другой стороны	17	2
92	в этой связи	1	2
93	для этой цели	1	2
94	но так как	4	2
95	в тех случаях	7	2
96	т д и	1	2
97	к себе в	2	2
98	для нас не	1	2
99	мы увидим что	2	2
