N	3gram	Berdyaev_M	Morfolog
1	не может быть	22	9
2	по отношению к	4	7
3	с точки зрения	1	6
4	подобно тому как	2	5
5	в том что	3	4
6	на самом деле	1	4
7	не могут быть	2	4
8	к тому что	1	4
9	на то что	1	3
10	о том что	3	3
11	как и в	2	3
12	для того чтобы	4	3
13	не значит что	1	3
14	в то время	2	3
15	в том случае	1	3
16	то время как	2	3
17	это не значит	2	2
18	с того что	1	2
19	мы увидим что	4	2
20	друг на друга	1	2
21	том случае если	1	2
22	к другу и	2	2
23	в иных случаях	1	2
24	не что иное	4	2
25	не все ли	1	2
26	или потому что	1	2
27	можно было бы	1	2
28	мы имеем в	1	2
29	то мы имеем	1	2
30	а вовсе не	1	2
31	во всяком случае	1	2
32	что иное как	4	2
33	в этом отношении	1	2
34	друг к другу	6	2
35	может быть и	2	2
36	он не свободен	1	1
37	человеческой природой и	1	1
38	сих пор не	1	1
39	есть не что	3	1
40	в тот момент	1	1
41	том что все	1	1
42	должны привести к	1	1
43	но это и	1	1
44	и в последней	1	1
45	принадлежат к самым	1	1
46	она должна быть	1	1
47	и действительно в	1	1
48	или нет в	1	1
49	к соединению с	1	1
50	и когда мы	1	1
51	обнаруживает что в	1	1
52	потому что в	4	1
53	более и более	1	1
54	но и его	1	1
55	решить вопрос о	1	1
56	и возможно что	1	1
57	и есть то	1	1
58	должно быть поставлено	1	1
59	на этом основании	1	1
60	в каком это	1	1
61	во многих отношениях	1	1
62	в этом нет	1	1
63	до сих пор	5	1
64	не потому что	1	1
65	все более и	1	1
66	не в той	1	1
67	не означает что	1	1
68	он ничего не	1	1
69	она все же	1	1
70	сомневаться в том	1	1
71	бросается в глаза	1	1
72	так как они	1	1
73	так же не	1	1
74	во всех этих	1	1
75	и в нашем	1	1
76	не имеет смысла	1	1
77	том что он	1	1
78	может быть названа	1	1
79	что в основе	1	1
80	и у него	1	1
81	в высшей степени	4	1
82	сказать что всякий	1	1
83	огромную роль в	1	1
84	что вопрос о	1	1
85	как бы в	1	1
86	это значит что	3	1
87	во втором случае	1	1
88	но это не	3	1
89	уже не только	2	1
90	что и в	3	1
91	после того как	2	1
92	смысле слова а	1	1
93	и в этой	5	1
94	он не может	2	1
