N	4gram	Propp_Morf	TeoriaLi
1	в то же время	1	8
2	состоит в том что	3	5
3	ни в коем случае	1	2
4	с этой точки зрения	1	2
5	во всех подобных случаях	1	2
6	в коем случае не	1	2
7	в том что он	1	2
8	одно и то же	1	2
9	бы то ни было	2	2
10	то что они хотят	1	2
11	приводит к тому что	1	2
12	бы они ни были	1	1
13	тысяча и одна ночь	1	1
14	не что иное как	2	1
15	том случае если он	1	1
16	но по отношению к	1	1
17	в том случае если	2	1
18	не может быть и	1	1
19	в связи с этим	4	1
20	ни к чему не	2	1
21	есть не что иное	1	1
