N	3gram	Vinokur_Ku	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	16	9
4	в том что	23	7
5	на самом деле	3	6
6	во всяком случае	8	6
7	для того чтобы	21	6
8	до сих пор	5	5
9	в том случае	3	4
10	не может быть	5	4
11	на то что	3	4
12	к тому чтобы	2	4
13	более или менее	3	4
14	бы то ни	1	4
15	той или иной	1	3
16	в конце концов	3	3
17	вместе с тем	3	3
18	можно было бы	11	3
19	в данном случае	1	3
20	в лучшем случае	1	3
21	в этом случае	4	3
22	с тем чтобы	1	3
23	и то что	1	3
24	том случае если	3	3
25	к вопросу о	3	3
26	лишь в том	2	2
27	в том и	3	2
28	и в том	2	2
29	того или иного	5	2
30	том и в	1	2
31	о котором идет	3	2
32	то это потому	1	2
33	точно так же	4	2
34	в большинстве случаев	2	2
35	и тем самым	1	2
36	чтобы понять что	1	2
37	котором идет речь	2	2
38	и в другом	2	2
39	о том что	6	2
40	только в том	5	2
41	в себе и	1	2
42	к тому что	2	2
43	а следовательно и	2	2
44	таким же образом	1	2
45	в другом случае	1	2
46	за последнее время	2	2
47	это потому что	1	2
48	бы речь шла	1	2
49	друг от друга	1	2
50	в настоящее время	2	2
51	если бы речь	1	2
52	и вместе с	1	2
53	что в большинстве	1	1
54	должны были бы	1	1
55	таким образом при	1	1
56	в противном случае	2	1
57	в самом деле	14	1
58	к мысли что	1	1
59	в силу этого	1	1
60	образом в последние	1	1
61	на точку зрения	1	1
62	лишь тогда когда	1	1
63	о которых идет	1	1
64	и в частности	1	1
65	и с точки	1	1
66	том основании что	1	1
67	от того чтобы	1	1
68	дело в том	1	1
69	смысле этого слова	2	1
70	не только для	1	1
71	говорить что в	1	1
72	не трудно видеть	3	1
73	речь идет о	3	1
74	всех этих случаях	1	1
75	что же это	1	1
76	на том основании	1	1
77	для борьбы с	1	1
78	заключается не в	1	1
79	есть ничто иное	1	1
80	мы не знаем	1	1
81	но для этого	1	1
82	прежде всего на	1	1
83	отнюдь не является	1	1
84	так же как	3	1
85	естественно поэтому что	2	1
86	но можно ли	1	1
87	от этого не	3	1
88	тех или иных	1	1
89	в каждый данный	1	1
90	по отношению к	8	1
91	во многих случаях	1	1
92	только для того	2	1
93	от того что	1	1
94	во всех этих	1	1
95	в том чтобы	9	1
96	не только от	1	1
97	по крайней мере	11	1
98	прежде всего в	1	1
99	в том виде	1	1
100	именно в силу	2	1
101	точки зрения в	2	1
102	что вся эта	1	1
103	заключается в том	2	1
104	а в том	2	1
105	несмотря на то	1	1
106	не может но	1	1
107	содержат в себе	1	1
108	на том же	1	1
109	роль в истории	1	1
110	потому что так	2	1
111	каждый данный момент	1	1
112	когда речь идет	1	1
113	то ни было	1	1
114	также и то	1	1
115	и того же	2	1
116	лишь к тому	1	1
117	чтобы мы были	1	1
118	на ряду с	1	1
119	совершенно ясно что	1	1
120	по сравнению со	2	1
121	не только эта	1	1
122	тем что он	1	1
123	в связи с	4	1
124	есть по существу	1	1
125	в совершенно ином	2	1
126	в этих последних	1	1
127	и все же	1	1
128	мог бы привести	1	1
129	которых идет речь	1	1
130	свое место такому	1	1
131	что с точки	1	1
132	что все это	2	1
133	тем не менее	9	1
134	в результате этого	1	1
135	но все же	3	1
136	несмотря на все	1	1
137	только то что	1	1
138	свидетельствуют о том	1	1
139	из всех этих	1	1
140	политические и экономические	1	1
141	в этом отношении	8	1
142	отнюдь не следует	1	1
143	в свою очередь	4	1
144	в применении к	1	1
145	но вряд ли	1	1
146	и не только	1	1
147	об этом и	1	1
148	что он есть	1	1
149	ничто иное как	1	1
150	тем более что	1	1
151	что в этих	1	1
152	отношениях к другим	1	1
153	заключающим в себе	1	1
154	но даже и	2	1
155	на этот вопрос	3	1
156	это как не	1	1
157	этого слова но	1	1
158	этого не меняется	1	1
159	тот или иной	1	1
160	но и для	1	1
161	состоит в том	4	1
162	к тому же	1	1
163	сводится к тому	2	1
164	одного и того	2	1
165	потому что они	1	1
166	русского языка и	1	1
167	трудно видеть что	1	1
168	разумеется только в	1	1
