N	3gram	Tiupa_Hudo	Istorich
1	и т д	5	142
2	с другой стороны	1	46
3	до сих пор	3	30
4	в этом случае	1	29
5	с одной стороны	4	28
6	так же как	2	27
7	мы знаем что	1	26
8	в том что	15	25
9	не может быть	5	24
10	но все же	2	23
11	тем не менее	6	23
12	точно так же	1	22
13	о том что	14	22
14	не только в	4	19
15	в связи с	3	17
16	мы уже знаем	2	15
17	о том как	4	15
18	в данном случае	3	15
19	по отношению к	15	14
20	на то что	2	14
21	как и в	5	10
22	можно было бы	5	10
23	друг с другом	1	9
24	уже знаем что	1	9
25	более или менее	1	9
26	же как и	2	9
27	то же самое	3	8
28	с того что	2	8
29	и то что	1	8
30	что у него	2	8
31	подобно тому как	4	8
32	с тем что	1	7
33	во всяком случае	1	7
34	что он не	3	7
35	потому что он	1	7
36	на первый взгляд	1	7
37	на том что	2	6
38	и в других	1	6
39	этой точки зрения	1	6
40	все же не	2	6
41	с этой точки	1	6
42	но тем не	2	6
43	с самого начала	1	6
44	том что в	4	5
45	для того чтобы	2	5
46	в отличие от	1	5
47	в том числе	1	5
48	так и в	1	5
49	на самом деле	1	5
50	так или иначе	3	4
51	он живет в	1	4
52	не только на	1	4
53	в этой связи	5	4
54	же самое что	2	4
55	в чистом виде	1	4
56	с точки зрения	5	4
57	состоит в том	3	4
58	однако это не	1	4
59	в одной из	1	4
60	не означает что	1	4
61	это еще не	1	4
62	содержит в себе	2	4
63	тот момент когда	3	4
64	то что она	1	4
65	о том чтобы	1	4
66	сами по себе	1	4
67	в тот момент	3	4
68	в это время	2	4
69	можно сказать что	1	4
70	одной стороны и	1	3
71	как будто бы	3	3
72	не только не	3	3
73	в иных случаях	1	3
74	к тому что	8	3
75	это своего рода	2	3
76	знаем что при	1	3
77	в одном из	1	3
78	за то что	1	3
79	дело в том	1	3
80	мы уже говорили	1	3
81	еще не совсем	1	3
82	но и для	2	3
83	дело не только	2	3
84	в ответ на	1	3
85	из этих двух	1	3
86	но это только	1	3
87	не в том	2	3
88	в соответствии с	1	3
89	не могло быть	1	3
90	бы то ни	1	3
91	в противоречие с	2	3
92	в том смысле	1	3
93	не в состоянии	1	3
94	что она при	1	3
95	при встрече с	2	3
96	еще ничего не	1	3
97	но то что	1	2
98	по себе а	1	2
99	в том как	1	2
100	и т п	10	2
101	в себя и	1	2
102	не в этом	1	2
103	в самом деле	5	2
104	друг от друга	2	2
105	она не может	1	2
106	за него и	1	2
107	в таком случае	1	2
108	ничего общего с	1	2
109	знаем что он	1	2
110	том числе и	1	2
111	между этими двумя	1	2
112	а в том	1	2
113	то и другое	2	2
114	самом же деле	1	2
115	на самом же	1	2
116	все дело в	1	2
117	сказывается и в	1	2
118	уже не может	1	2
119	мы имеем дело	1	2
120	и потому что	1	2
121	дает ключ к	1	2
122	что не только	1	2
123	к тому чтобы	1	2
124	только в том	4	2
125	в этом и	2	2
126	такой же как	1	2
127	не было ни	2	2
128	вместо того чтобы	2	2
129	мы ничего не	1	2
130	легко может быть	1	2
131	и она не	1	2
132	но как только	1	2
133	это уже не	1	2
