N	2gram	Berdyaev_V	StatiiOP
1	и в	16	103
2	в том	3	89
3	том что	2	77
4	в этом	4	76
5	что в	3	74
6	не только	2	60
7	и т	2	51
8	но и	5	46
9	то что	9	44
10	что он	4	42
11	в его	4	42
12	и не	20	41
13	может быть	1	38
14	т д	2	32
15	в этой	1	31
16	вовсе не	1	31
17	тем что	2	29
18	все это	5	29
19	а в	2	27
20	а не	7	27
21	но в	3	26
22	что это	1	25
23	так и	4	25
24	все же	1	23
25	не в	3	23
26	потому что	4	23
27	для того	1	22
28	в которой	1	22
29	как в	1	22
30	того что	5	22
31	прежде всего	2	22
32	у нас	1	22
33	того чтобы	2	21
34	это не	2	20
35	в своей	3	19
36	только в	2	19
37	в котором	4	18
38	с другой	1	18
39	в самом	1	17
40	как бы	5	17
41	в этих	3	16
42	можно было	2	16
43	в ней	4	16
44	другой стороны	1	15
45	с тем	2	15
46	как и	4	15
47	у него	1	15
48	я не	1	15
49	и на	1	15
50	для него	2	15
51	то же	1	14
52	но все	1	14
53	к тому	3	14
54	я думаю	2	14
55	между тем	2	14
56	и что	3	14
57	во всяком	2	13
58	в своем	1	13
59	а с	2	13
60	в конце	3	13
61	в нем	4	13
62	вместе с	1	13
63	но это	3	13
64	жизни и	3	13
65	тому что	3	13
66	в своих	1	12
67	хотя бы	3	12
68	ни в	3	12
69	так как	9	12
70	что они	7	12
71	в них	3	11
72	никогда не	3	11
73	не было	3	11
74	и с	1	11
75	и по	1	11
76	того как	1	11
77	вопрос о	1	11
78	все эти	3	11
79	думаю что	1	10
80	в виду	1	10
81	связь с	1	10
82	речь идет	1	10
83	так же	1	10
84	в целом	1	10
85	что и	3	10
86	это слово	1	10
87	во всех	3	10
88	в истории	8	10
89	ничего не	1	10
90	по словам	1	10
91	но не	2	10
92	с этой	1	9
93	говорит о	1	9
94	он был	1	9
95	в одном	1	9
96	говорит что	1	9
97	и это	2	9
98	в чем	3	9
99	и тем	1	9
100	и для	3	9
101	для нас	2	9
102	что мы	4	9
103	по этому	3	9
104	в результате	1	8
105	к этому	1	8
106	могут быть	2	8
107	в которых	1	8
108	не имеет	3	8
109	в их	1	8
110	отношение к	1	8
111	это в	1	8
112	с которыми	1	7
113	и очень	1	7
114	о чем	1	7
115	не просто	1	7
116	в ее	1	7
117	что все	4	7
118	это очень	1	7
119	как это	1	7
120	нельзя не	1	7
121	и то	2	7
122	нет никакого	1	7
123	еще не	8	7
124	еще и	1	7
125	уже в	1	7
126	в виде	1	7
127	но с	1	7
128	конце концов	1	7
129	лишь в	3	7
130	же и	1	6
131	вот что	1	6
132	и сам	2	6
133	в жизни	3	6
134	говорить о	4	6
135	крайней мере	1	6
136	к нему	1	6
137	и все	4	6
138	в известном	1	6
139	по крайней	1	6
